"","English","Esperanto","Novial"
"Infinitive","(to)beabsorbed","est-iabsorb-at-a(j)","esabsorba-t"
"Simplepresent","is(am,are)absorbed","est-asabsorb-at-a(j)","esabsorba-t"
"Future","will(shall)beabsorbed","est-osabsorb-at-a(j)","salesabsorba-t"
"Simplepast","wasabsorbed","est-isabsorb-at-a(j)","dides(es-ed)absorba-t"
"Pastperfect","have(has)beenabsorbed","est-asabsorb-it-a(j)","haesabsorba-t"
"Pluperfect","hadbeenabsorbed","est-isabsorb-it-a(j)","ha-desabsorba-t"
"Futureperfect","will(shall)havebeenabsorbed","est-osabsorb-it-a(j)","salhaesabsorba-t"
"Futureinthepast","wasgoingto(would,should)beabsorbed","est-isabsorb-ot-a(j)","sal-edesabsorba-t"
"Conditional","would(should)beabsorbed","est-usabsorb-at-a(j)","vudesabsorba-t"
"Conditionalperfect","would(should)havebeenabsorbed","est-usabsorb-it-a(j)","vudhaesabsorba-t"
"Firstimperative","letusbeabsorbed!","niest-uabsorb-ataj!","letnusesabsorba-t!"
"Secondimperative","beabsorbed!","est-uabsorb-at-a(j)!","esabsorba-t!"
"Thirdimperative","lethimbeabsorbed!","liest-uabsorb-at-a!","letloesabsorba-t!"
