"","Imports","Imports","Imports","Imports","Imports","Imports","Imports","Exports"
"","USGSDEM","Exports","USGSSDTS(DDF)","LandXML","GeoTIFF","Shapefile","OSM","others"
"3dsMax","Yes","Yes","Yes","?","?","?","",""
"AC3D","?","?","?","?","?","?","",""
"Blender","?","?","?","(BlenderGISaddon)","(BlenderGISaddon)","?","",""
"Bryce","Yes","Yes","?","?","?","?","VistaProDEM","USDSDEM"
"ElectricImageAnimationSystem","?","?","?","?","?","?","",""
"Cinema4D","Yes","?","?","?","?","?","VistaProDEM",""
"Clara.io","?","?","?","?","?","?","",""
"Cobalt","?","?","?","?","?","?","",""
"Houdini","?","?","?","?","?","Yes","",""
"IClone","?","?","?","?","?","?","",""
"Lightwave3D","(GroundControlplugin)","?","?","?","?","?","",""
"MakeHuman","?","?","?","?","?","?","",""
"Maya","?","?","?","?","?","?","",""
"Metasequoia","?","?","?","?","?","?","",""
"Modo","?","?","?","?","?","?","",""
"Remo3D","?","?","?","?","?","?","",""
"Shade","?","?","?","?","?","?","",""
"SolidEdge","?","?","?","?","?","?","",""
"SketchUpMake","Yes","Yes","?","?","?","?","SKP+KMZ","SKP+KMZ"
"SketchUpPro","Yes","Yes","?","?","?","?","SKP+KMZ","SKP+KMZ"
"E-onVue","Yes","Yes","?","Yes","?","?","DTED",""
"Wings3D","?","?","?","?","?","?","",""
