"TaxYear2022","(Traditional)401(k)","Roth401(k)","TraditionalIRA","RothIRA"
"Taxbenefit","Capitalgains,dividends,andinterestwithinaccountincurnotaxliability.","Capitalgains,dividends,andinterestwithinaccountincurnotaxliability.","Capitalgains,dividends,andinterestwithinaccountincurnotaxliability.","Capitalgains,dividends,andinterestwithinaccountincurnotaxliability."
"Subjectedtaxes","Contributionsareusuallypre-tax;butcanalsobepost-tax,ifallowedbyplan.Distributionsaretaxedasordinaryincome(exceptanypost-taxprincipal).","Contributionsarepost-tax.Qualifieddistributionsarenottaxable.","Contributionsaredeductible(subjecttoconditions).Whendeducted,contributionsarepre-tax,otherwise,theyarepost-tax.Distributionsaretaxedasordinaryincome(exceptanynon-deductedprincipal).","Contributionsarepost-tax.Qualifieddistributionsarenottaxable."
"EmployerorIndividual","Employerorsoleproprietorsetsupthisplan.","Individualsetsupthisplan.","Employerorsoleproprietorsetsupthisplan.","Individualsetsupthisplan."
"ContributionLimits","Employeecontributionlimitof$20,500/yrforunder50;$27,000/yrforage50orabovein2022;limitsareatotalofpre-taxTraditional401(k)andRoth401(k)contributions.Totalemployee(includingafter-taxTraditional401(k))andemployercombinedcontributionsmustbelesserof100%ofemployee'ssalaryor$58,000($64,500forage50orabove).Thereisnoincomecapforthisinvestmentclass.","$6,000/yrforage49orbelow;$7,000/yrforage50orabovein2022;limitsaretotalfortraditionalIRAandRothIRAcontributionscombined.Cannotcontributemorethanannualearnedincome.FordirectcontributionstoRothIRAs,contributionlimitisreducedina""phase-out""range,forsingleMAGI>$129,000andjointMAGI>$204,000(Forthispurpose,however,MAGIexcludesanyRothconversions.)ContributionlimitdoesnotapplytoconversionsfromtraditionalIRA(orqualifiedemployerplans)toRothIRA.","Employeecontributionlimitof$20,500/yrforunder50;$27,000/yrforage50orabovein2022;limitsareatotalofpre-taxTraditional401(k)andRoth401(k)contributions.Totalemployee(includingafter-taxTraditional401(k))andemployercombinedcontributionsmustbelesserof100%ofemployee'ssalaryor$58,000($64,500forage50orabove).Thereisnoincomecapforthisinvestmentclass.","$6,000/yrforage49orbelow;$7,000/yrforage50orabovein2022;limitsaretotalfortraditionalIRAandRothIRAcontributionscombined.Cannotcontributemorethanannualearnedincome.FordirectcontributionstoRothIRAs,contributionlimitisreducedina""phase-out""range,forsingleMAGI>$129,000andjointMAGI>$204,000(Forthispurpose,however,MAGIexcludesanyRothconversions.)ContributionlimitdoesnotapplytoconversionsfromtraditionalIRA(orqualifiedemployerplans)toRothIRA."
"Contributionnotes","","Effectivelimitishighercomparedtotraditional401(k)asthecontributionsarepost-tax.","","EffectivelimitishighercomparedtotraditionalIRAasthecontributionsarepost-tax."
"MatchingContributions","Matchingcontributionsavailablefromsomeemployers.","Matchingcontributionsavailablethroughsomeemployers,buttheymustsitinapretaxaccount.","Nomatchingcontributionsavailable.","Nomatchingcontributionsavailable."
"DeductionLimits","Generallynolimitontheamountdeductiblefromincome,butsomewhatcomplicatedduetoHCE(highlycompensatedemployees)rules.","Generallynolimitontheamountdeductiblefromincome,butsomewhatcomplicatedduetoHCE(highlycompensatedemployees)rules.","Fulldeductionavailableonincomesupto$198,000,dependingontaxfilingstatus.Seefullrules.","Tax-exemptearningsoncontributionsavailableuptoincomesof$208,000,dependingontaxfilingstatus.SeefullrulesandBackdoorRothIRAContributions."
"","(Traditional)401(k)","Roth401(k)","TraditionalIRA","RothIRA"
"Distributions","Distributionscanbeginatage59½orifownerbecomesdisabled.","Distributionscanbeginatage59½andtheaccounthasbeenopenforatleast5years,orifownerbecomesdisabled,withsomeexceptions.","Distributionscanbeginatage59½orifownerbecomesdisabled.","Distributionscanbeginatage59½aslongascontributionsare""seasoned""(5yearsfromJanuary1oftheyearthefirstcontributionwasmade)orownerbecomesdisabled."
