"Afrikaans","Dutch","English"
"aand","avond","evening"
"aartappelskyfies","(aardappel)chips","potatochips(US)crisps(UK)"
"afkappingsteken,apostroof","weglatingsteken,afkappingsteken,apostrof","apostrophe"
"afleweringswa,bestelwa,paneelwa","bestelbus(Netherlands)bestelwagen(Belgium)","deliveryvan,panelvan"
"amper","bijnaampermeans""just""","nearly,almost"
"amptelik","officieelambtelijkmeans""exofficio""","official"
"as","als","if"
"asem","ademasemalsousedinBelgium","breath"
"asseblief","alsjeblieft,alstublieft","please"
"baadjie,jas","jasje,vest","jacket"
"baba","baby,kindje","baby"
"babalaas,babelas","kater","hangover"
"baie","heel,zeer,veel","very,much"
"bakkie","pick-up","pick-uptruck"
"beeldpoetser","media-adviseur","mediaspokespersonpressofficer"
"bergie,boemelaar","zwerver","vagrant"
"bestuurslisensie","rijbewijs","drivinglicence(UK)driver'slicense(US)"
"blokkiesraaisel","kruiswoordraadsel","crosswordpuzzle"
"bobbejaan","baviaan","baboon"
"bokkie","schatje,liefje","baby,darling"
"bolla","zoetbroodje","bun"
"botsing","botsing,aanrijding","collision"
"braai","barbecue","barbecue"
"Brittanje","Groot-Brittannië","Britain,GreatBritain"
"bromponie","bromfiets,scooter","moped,scooter"
"daardie,daai","die","that,those"
"dagga","marihuana","marijuana,cannabis"
"dankie","dankje/u,bedankt","thankyou,thanks"
"deur","door","through,door"
"deurmekaar","doorelkaardoormekaardialectal","mixedup,confused"
"die","de,het","the"
"domkrag","krik","jack(deviceforliftingheavyobjects)"
"duikweg","tunnel","tunnel,underpass"
"dwelms","drugsbedwelmenmeans""intoxicate""","drugs"
"e-pos","e-maile-postpurism","email"
"eiendomsbeperk(Edms.)Bpk.","beslotenvennootschap(BV)","proprietylimited(Pty.)Ltd."
"eksie-perfeksie","fantastisch","cool,great"
"ekskuus","excuussimilarpronunciation","sorry,apology"
"enigiets","nogiets","anything"
"enigiemand","iedereen","anyone"
"enjin","motor","engine"
"gatvol","zatzijn","fedup"
"geskenk","geschenk,cadeau","gift,present"
"glo","geloven","believe"
"gogga","insect","insect,bug"
"grasperk","gazon","lawn"
"grondboontjie","pindaaardnoot,apennoot,grondnootandolienootarealsosometimesused","peanut"
"grondboontjiebotter","pindakaas","peanutbutter"
"gunsteling","favorietgunstelingolderterm","favourite"
"haas","konijnhaasmeans""hare""","rabbit"
"Heilsleër","LegerdesHeilsHeilslegerolderterm","SalvationArmy"
"hierdie,dié","dit,deze","this,these"
"hoender","kiphoen,hoenderarelesscommon","chicken"
"hoekom?","hoezo?waarom?","howcome?howso?why?"
"hoezit!(hoeisdit?)","hoegaathet?hoeishet?","how'sitgoing?"
"hoërskool","voortgezetonderwijs(Netherlands)secundaironderwijs(Belgium)","highschool,secondaryschool"
"Hollands(taal)","Nederlands(taal)","Dutch(language)"
"horlosie","horloge","watch"
"hospitaal","ziekenhuis,gasthuishospitaalmostlyusedinamilitarycontext","hospital"
