"Country","Program","Agencyengaged","Firstorbitalcrewedlaunch","Firstorbitalcrewedlaunch","Firstorbitalcrewedlaunch","Firstorbitalcrewedlaunch","Firstorbitalcrewedlaunch"
"Country","Program","Agencyengaged","Spacecraft","Term(s)forspacetraveler","Firsthuman(s)launched","Date","Launchsystem"
"People'sRepublicofChina","Project714(1968–72)","Chinesespaceprogram","Shuguangspacecraft(Intended)","???(inChinese)hángti?nyuántaikonaut","N/A","N/A","LongMarch2A(Intended)"
"People'sRepublicofChina","Project863(1976–80)","Chinesespaceprogram","PilotedFSWspacecraft(Intended)","???(inChinese)hángti?nyuántaikonaut","N/A","N/A","LongMarch2(Intended)"
"Japan","HOPE-X(late1980s–2003)","NationalSpaceDevelopmentAgencyofJapan","HOPE-Xspaceplane(Intended)","?????(inJapanese)uch?hik?shior???????astoronoto","N/A","N/A","H-IIA(Intended)"
"Ba'athistIraq","...(1989–2001)","SpaceResearchCenter,Baghdad","N/A","???????(inArabic)rajulfa???????????(inArabic)r??idfa????????????(inArabic)mall??fa???iy","N/A","N/A","Tammouz2or3(Intended)"
"People'sRepublicofChina","ChinaMannedSpaceProgram(1992–present)","ChinaMannedSpaceAgency","ShenzhoucrewedspacecraftTianzhoucargospacecraftTiangongSpaceStation","???(inChinese)hángti?nyuántaikonaut","???(YangLiwei)","2003-10-15","LongMarch2FLongMarch7LongMarch5B"
"People'sRepublicofChina","Project869(1990s)","ChinaNationalSpaceAdministration","Tianjiao-1orChangCheng-1(GreatWall-1)wingedspaceplanes(Intended)","???(inChinese)hángti?nyuántaikonaut","N/A","N/A","869reusableshuttlesystem(Intended)"
"Japan","Kankoh-maru(1993–1997,2005)","JapaneseRocketSociety,KawasakiHeavyIndustriesandMitsubishiHeavyIndustries","Kankoh-marureusableshuttlesystem(Intended)","?????(inJapanese)uch?hik?shior???????astoronoto","N/A","N/A","Kankoh-marureusableshuttlesystem(Intended)"
"Japan","...(2001–2003)","NationalSpaceDevelopmentAgencyofJapan","Fujispacecraft(Intended)","?????(inJapanese)uch?hik?shior???????astoronoto","N/A","N/A","H-IIA(Intended)"
"India","IndianHumanSpaceflightProgramme(2007–present)","HumanSpaceFlightCentre(ISRO)","Gaganyaanspacecraftandsmallspacelaboratory","Vyomanaut/Gaganaut","TBA","December2021(Planned)Before2022-08-15(Scheduled)","GSLVMkIII"
"People'sRepublicofChina","Project921-3(2000s–present)","ChinaMannedSpaceAgency","Shenlongspaceplane","???(inChinese)hángti?nyuántaikonaut","TBD","TBD","921-3RLV(orTengyuneitherHTSmaglevlaunchassist)reusableshuttlesystem"
"Japan","...(2008–present)","JapanAerospaceExplorationAgency","HTV-basedspacecraftandsmallspacelaboratory","?????(inJapanese)uch?hik?shior???????astoronoto","TBD","TBD","H-IIB"
"Iran","Iranianhumanspaceflightprogram(2005–2017,onhold)","IranianSpaceAgency","ClassEKavoshgarspacecraftandsmallspacelaboratory","","TBD","TBD","TBD"
"NorthKorea","DPRKspaceprogram(2010s-present)","NationalAerospaceDevelopmentAdministration","Spacecraftandsmallspacelaboratory","","TBD","TBD","Unha9,20"
