"Systems","Creator","LastStableVersion","ReleaseDate","License","Implementationlanguage(s)","ServerOperatingSystem","Databasebackend","FirstReleaseDate"
"Act!CRM","PatSullivanandMikeMuhney","22.1","June2020","SaaSorProprietary","C#,.NET","Windows,Web,iOS,Android","MSSQL","1987"
"Adempiere","JorgJanke","3.9.3","December2019","GPLv2","Java","Windows,Linux,Unix,Mac","","2006"
"BaseCRM","BaseCRM","2016","2009","SaaS","RubyonRails,Python","CloudComputing,iOS,Android,WindowsPhone","MySQL","2009"
"Capsule(CRM)","ZestiaLtd.","2019","2009","SaaS","Java,ScalaandJavaScript","Web,iOS,Android","MySQL","2009"
"CiviCRM","DaveGreenberg,DonaldLobo,MichalMach","5.38","June2021","AGPLv3","PHP7.2+","Cross-platform","MySQL5.7+orMariaDB10.0+","2004"
"Dolibarr","RodolpheQuiedeville,LaurentDestailleur","13.0.3","June2021","GPLv3orSaaS","PHP5.6.x,7.x","Cross-platform","MySQLorPostgreSQL","2003"
"DynamicsCRM","Microsoft","Dynamics3659.1","July2019","ProprietaryorSaaS",".NET,ASP.NET","Windows","MSSQL","2003"
"EpesiCRM","TelaxusLLC","1.8.0","2016September26","MIT","PHP5.x","Cross-platform","MySQL,PostgreSQL,AdoDB,others","2006"
"GNUEnterprise","FSF","","","GPLv3","Python","Linux,Unix,MacOSX,Windows","Firebird/Interbase,MySQL,MaxDB,MSADO(MSSQL-Server/MSAccess),Oracle,PostgreSQL,SQLite,SQLite3,CSVfiles,DBFfiles(DBase,XBaseetc.),INIstyleconfigurationfiles","2003"
"Group-Office","IntermeshBV","6.4.178","October2020","AGPLv3,SaaSandproprietary","PHP/JavaScript","Windows,Linux,Unix,MacOS","MySQL","2003"
"HubSpotCRMFree","HubSpot","N/A","N/A","SaaS","Java","Cloudcomputing","HBase","2014"
"Neolane","Adobe","v6","2012","ProprietaryorSaaS","C++,JavaScript","Windows,Linux","MSSQL,Oracle,PostgreSQL,MySQL","2001"
"NutshellCRM","NutshellCRM","2017","2017","SaaS","PHP","Web,iOS,Android","MySQL","2010"
"OracleAdvertisingandCustomerExperience(CX)","OracleCorporation","2021","Sept2021","Proprietary,SaaS","Java,PL/SQL,C/C++,Python","Cloudcomputing","OracleDatabase","2011"
"PegaCRM","Chordiant","?","?","Proprietary","?","Windows,Linux,Mac,webbrowser","?","?"
"Pipedrive","Pipedrive","2018","2018","SaaS","JavaScript,PHP","Web,iOS,Android","MySQL","2011"
"PivotalCRM","Aptean","6.6","January2019","Proprietary",".NET","Windows","MSSQL,Oracle","1996"
"ReallySimpleSystems","ReallySimpleSystems","2016","2006","SaaS","VBScript,JavaScript,ASP","CloudComputing","MySQL","2006"
"SageCRM","SageGroup","SageCRM2019R1","February2019","ProprietaryorSaaS","ASP.NET,ASP","Windows","MSSQL,ORACLE,DB2","1981"
"SalesboxCRM","SalesboxCRM","2019","2019","SaaS","JS,React","Web,iOS,Android","PostgreSQL","2014"
"Salesforce.com","MarcBenioff","Winter'21","June2019","Proprietary","APEX(ProprietaryLanguageJava-like)","CloudComputing","Proprietary","1999"
"SAPCRM","SAPSE","7.0EHP4SP11","2018","Proprietary","ABAP","Windows,Linux,Unix","SAPHANA,MSSQL,Oracle","2000"
"SAPCloudforCustomer","SAPSE","1811","2018","Proprietary","ABAP","Linux","SAPHANA","2009"
"SnapforceCRM","SnapforceCRM","2016","2013","SaaS","PHP","CloudComputing","MySQL","2011"
"Streak","AleemMawani,OmarIsmail","","","Proprietary","Java","Windows,Mac","GoogleAppEngine","2012"
"SugarCRM","JohnRoberts,ClintOram,JacobTaylor","9.0.1","June2019","ProprietaryorSaaS","PHP","Cross-platform","MySQL,MicrosoftSQLServer,IBMDB2,andOracle(IBMDB2andOracleonlyavailableforSugarEnterpriseedition)","2004"
"SuiteCRM","SalesAgility","7.11.15","June2020","AGPLv3","PHP","Cross-platform","MariaDB,MySQL,MicrosoftSQLServer","2013"
"SuperOfficeCRM","SuperOffice","7.5","2014","Proprietary","C++,C#andASP.NET","Windows","SQLServer","1990"
"OnlyOffice","AscensioSystemSIA","10.5.1","December2019","GPLv3,SaaS","ASP.NET","Windows","MicrosoftSQLServer,AmazonServer","2010"
"Tryton","Tryton","5.6","May2020","GPLv3","Python,JavaScript","Cross-platform","PostgreSQL,MySQL,SQLite","2008"
"WORKetc","DanielBarnett","v4.0","2013","SaaS","C#,.NET","Windows","MicrosoftSQLServer,AmazonServer","2009"
"ZohoCRM","ZohoCRM","ZohoCRM2018","2018","SaaS","Java","CloudComputing,CrossPlatform","Proprietary","1999"
