"Server","BSD","Solaris","Linux","MacOSX","Windows"
"BIND","Yes","Yes","Yes","Yes","Yes"
"MicrosoftDNS","No","No","No","No","Included"
"djbdns","Yes","Yes","Yes","Yes","No"
"Dnsmasq","Yes","Yes","Yes","Yes","No"
"SimpleDNSPlus","No","No","No","No","Yes"
"NSD","Yes","Yes","Yes","Yes","No"
"KnotDNS","Yes","No","Yes","Yes","No"
"PowerDNS","Yes","Yes[6]","Yes","Beta","No"
"MaraDNS","Yes","Yes[7]","Yes","Yes","Partial"
"pdnsd","Yes","Partial","Yes","Yes","No"
"Posadis","Yes","Yes","Yes","Yes","Yes[8]"
"Unbound","Yes","Yes","Yes","Yes","Yes"
"CiscoNetworkRegistrar","No","Yes","Yes","No","Yes"
"YADIFA","Yes","Yes","Yes","Yes","No"
"Secure64DNSAuthority","No","No","Yes","No","No"
"Secure64DNSCache","No","No","Yes","No","No"
