"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
"Gostraight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turnright","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turnright","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gostraightorturnright","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Roundabout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keepright/Keepleft","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maypassoneitherside","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Routeforvehiclescarryingdangerousgoods","","","","","","","","","","","","","","","","","","","","","","","","","","","or","","","",""
"Minimumspeedlimit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endofminimumspeedlimit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
"Footpath(pedestriansonly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cyclepath(pedalcyclesonly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sharedpedestrianandcyclepath","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Segregatedpedestrianandcyclepath","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bridlepath","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Austria","Belgium","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Luxembourg","Moldova","Netherlands","Norway","Poland","Portugal","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Turkey","Ukraine","UnitedKingdom"
