"English","Malay","Indonesian"
"want","mahu","mau,ingin"
"warden","warden,penjagapenjara","sipir(penjara)(fromDutchcipier)"
"Warsaw","Warsaw","Warsawa"
"website","lamanweb,lamansesawang","situsweb,lamanweb"
"weekend","hujungminggu","akhirpekan,akhirminggu"
"well(waterhole)","perigi","sumur,perigi(rarelyused)"
"wheelchair","kerusiroda","kursiroda"
"when","bila,apabila,ketika,bilamana(rarelyused)","kapan,bilamana,(questionword)bila,ketika"
"window","tingkap,jendela","jendela(fromPortuguesejanela),tingkap(lesscommon)"
"windscreen,windshield","cerminkereta","kacadepan(mobil)"
"wire","dawai,wayar","kawat(e.g.copperwire),kabel(e.g.electricalwire,cable)"
