"NMDCClient","FOSS","Softwarelicense","Active","Windows","Linux","MacOSX","OtherOS","GUI","CLI","OtherUI","Programminglanguage","Basedon"
"MLDonkey","Yes","GNUGPL","No","Yes","Yes","Yes","No","Yes","Yes","WebUI","OCaml,C,assembly",""
"Shareaza","Yes","GNUGPL","Yes","Yes","No","No","No","Yes","Unknown","Unknown","C++",""
"NeoModusDirectConnect","No","ProprietaryFreeware","No","Yes","Yes","No","No","Yes","No","No","VisualBasic,C++",""
"ShakesPeer","Yes","GNUGPL","No","No","No","Yes","No","Yes","No","No","C",""
"Valknut","Yes","GNUGPL","No","No","Yes","No","FreeBSD","Yes","No","No","C++",""
"DCTC","Yes","GNUGPL","No","","","","","No","No","Yes","C++",""
"DC#","Yes","GNUGPL","No","Yes","No","No","No","Yes","No","No","C#",""
"LDCC","Yes","GNUGPLv2","No","No","Yes","No","No","No","No","Yes","C",""
"DCDM++","Yes","GNUGPL","No","Yes","No","No","No","Yes","No","No","C++","DC++"
"fulDC","Yes","GNUGPL","No","Yes","No","No","No","Yes","No","No","C++","DC++"
"RevConnect","Yes","GNUGPL","No","Yes","No","No","No","Yes","No","No","C++","DC++"
"CzDC","Yes","GNUGPL","No","Yes","No","No","No","Yes","No","No","C++","DC++"
"EiskaltDC","Yes","GNUGPL","No","No","Yes","Yes","FreeBSD","Yes","No","No","C++","Valknut"
"microdc2","Yes","GNUGPL","No","No","Yes","Yes","FreeBSD","No","Yes","No","C",""
"NMDCClient","FOSS","Softwarelicense","Active","Windows","Linux","MacOSX","OtherOS","GUI","CLI","OtherUI","Programminglanguage","Basedon"
