"English","Danish","Norwegian(Bokmål/Nynorsk)","Swedish"
"Albania","Albanien","Albania","Albanien"
"Algeria","Algeriet","Algerie","Algeriet"
"Armenia","Armenien","Armenia","Armenien"
"Australia","Australien","Australia","Australien"
"Austria","Østrig","Østerrike/Austerrike","Österrike"
"Belarus","Hviderusland","Hviterussland/Kviterussland","Vitryssland"
"Belgium","Belgien","Belgia","Belgien"
"BosniaandHerzegovina","Bosnien-Hercegovina","Bosnia-Hercegovina","BosnienochHercegovina,Bosnien-Hercegovina,Bosnien"
"Brazil","Brasilien","Brasil","Brasilien"
"Bulgaria","Bulgarien","Bulgaria","Bulgarien"
"Cambodia","Cambodja","Kambodsja","Kambodja"
"Cameroon","Cameroun","Kamerun","Kamerun"
"CapeVerde","KapVerde","KappVerde","KapVerde"
"CentralAfricanRepublic","DenCentralafrikanskeRepublik","Densentralafrikanskerepublikk","Centralafrikanskarepubliken"
"Chad","Tchad","Tsjad","Tchad"
"Comoros","Comorerne","Komorene","Komorerna"
"Congo,Republicof","RepublikkenCongo","RepublikkenKongo","Kongo-Brazzaville,RepublikenKongo"
"Croatia","Kroatien","Kroatia","Kroatien"
"Cyprus","Cypern","Kypros","Cypern"
"CzechRepublic,Czechia","DenTjekkiskeRepublik,Tjekkiet","Dentsjekkiskerepublikk,Tsjekkia","Tjeckien"
"DemocraticRepublicofCongo","DenDemokratiskeRepublikCongo","DendemokratiskerepublikkenKongo","Kongo-Kinshasa,DemokratiskarepublikenKongo"
"EastTimor","Østtimor","Øst-Timor/Aust-Timor","Östtimor,Timor-Leste"
"Egypt","Egypten,Ægypten","Egypt","Egypten"
"EquatorialGuinea","Ækvatorialguinea","Ekvatorial-Guinea","Ekvatorialguinea"
"Ethiopia","Etiopien","Etiopia","Etiopien"
"France","Frankrig","Frankrike","Frankrike"
"Georgia(country)","Georgien","Georgia","Georgien"
"Greece","Grækenland","Hellas","Grekland"
"India","Indien","India","Indien"
"Indonesia","Indonesien","Indonesia","Indonesien"
"Italy","Italien","Italia","Italien"
"Latvia","Letland","Latvia","Lettland"
"Libya","Libyen","Libya","Libyen"
"Macedonia","Makedonien","Makedonia","Nordmakedonien"
"Mauritania","Mauretanien","Mauritania","Mauritania"
"Micronesia,FederatedStatesof","FøderalestatsforbundMikronesien","Mikronesiaføderasjonen","Mikronesiensfedereradestater,Mikronesiskafederationen"
"Mongolia","Mongoliet","Mongolia","Mongoliet"
"Mozambique","Mozambique","Mosambik","Moçambique"
"NorthKorea","Nordkorea","Nord-Korea","Nordkorea"
"Philippines","Filippinerne","Filippinene","Filippinerna"
"Romania","Rumænien","Romania","Rumänien"
"SaudiArabia","SaudiArabien","Saudi-Arabia","Saudiarabien"
"Serbia","Serbien","Serbia","Serbien"
"Slovakia","Slovakiet","Slovakia","Slovakien"
"Slovenia","Slovenien","Slovenia","Slovenien"
"SolomonIslands","Salomonøerne","Salomonøyene","Salomonöarna"
"SouthAfrica","Sydafrika","Sør-Afrika","Sydafrika"
"SouthKorea","Sydkorea","Sør-Korea","Sydkorea"
"SouthSudan","Sydsudan","Sør-Sudan","Sydsudan"
"Spain","Spanien","Spania","Spanien"
"Switzerland","Schweiz","Sveits","Schweiz"
"Syria","Syrien","Syria","Syrien"
"Tunisia","Tunisien","Tunisia","Tunisien"
"Ukraine","Ukraine","Ukraina","Ukraina"
"UnitedKingdomofGreatBritainandNorthernIreland","DetForenedeKongerigeStorbritannienogNordirland","DetforentekongerikeStorbritanniaogNord-Irland/DetsameintekongeriketStorbritanniaogNord-Irland","Storbritannien,FörenadekonungariketStorbritannienochNordirland,Förenadekungariket"
