"","Version","Operatingsystems","Officesuite","Developer","License","ISO/IEC26300:2006","Notes"
"CalligraStage","2.4+","Windows,MacOSX,Linux,Unix-basedsystems","CalligraSuite","KDEProject","GPL/LGPL","Yes",""
"CollaboraOffice","All","Windows,Linux,macOS,Android,iOS,iPadOS,ChromeOS","CollaboraOffice","Collabora","MPL2","Yes","enterprise-readyeditionofLibreOffice"
"CollaboraOnline","All","Any(Web-based)","CollaboraOnline","Collabora","MPL2","Yes","enterprise-readyeditionofLibreOffice"
"IBMLotusSymphony","1.0+","Windows,Linux,MacOSX","IBMLotusSymphony","IBM","Proprietary","Yes",""
"IBMWorkplaceDocuments","2.5+","Any(Web-based)","IBMWorkplaceCollaborationServices","IBM","Proprietary","","nolongerbeingactivelymarketed"
"KPresenter/KOfficeShowcase","1.4+","Linux,Unix-basedsystems","KOffice","KDEProject","LGPL","no(notvalid)",""
"LibreOfficeImpress","3.3.0","Windows,Linux,Unix-basedsystems,MacOSX,Solaris","LibreOffice","LibreOffice","MPL2","Yes",""
"MicrosoftOfficePowerPoint","2007SP2","Windows","MicrosoftOffice","Microsoft","Proprietary","Yes",""
"NeoOfficeImpress","1.2","MacOSX","NeoOffice","PatrickLubyandEdwardPeterlin","GPL","","Importonly"
"NeoOfficeImpress","2.2.5","MacOSX","NeoOffice","PatrickLubyandEdwardPeterlin","GPL","Yes","[2]"
"OpenOffice.orgImpress","2.0+","Windows,Linux,Unix-basedsystems,MacOSX,Solaris","OpenOffice.org","OpenOffice.org","LGPL","Yes",""
"StarOfficeImpress","8","Windows,Linux,Solaris","StarOffice","SunMicrosystems","Proprietary","Yes",""
"ZohoShow","2006","Any(Web-based)","Standalone","AdventNet","Proprietary","no(notvalid)",""
"","Version","Operatingsystems","Officesuite","Developer","License","ISO/IEC26300:2006","Notes"
