"Name","macOS","Windows","Cygwin","BSD","Linux","Solaris","Java","OpenVMS","z/OS","AIX","HP-UX","iOS","Android","Maemo","WindowsPhone"
"AbsoluteTelnet","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"BitviseSSHClient","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"ConnectBot","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"Dropbear","Yes","No","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","No","Yes","?"
"eSSHClient","Yes","Yes","?","Yes","Yes","Yes","?","?","?","No","No","No","No","No","?"
"lsh","Yes","No","No","Partial","Yes","Yes","?","?","?","No","No","No","No","No","?"
"OpenSSH(OpenBSDSecureShell)","Included","Included","Included","Included","Included","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"PuTTY","Partial","Yes","?","Yes","Yes","Yes","No","?","?","No","No","No","No","No","Beta"
"SecureCRT","Yes","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","No","?"
"SmartFTP","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"TeraTerm","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"TN3270Plus","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"TtyEmulator","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"WinSCP","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","?"
"wolfSSH","Yes","Yes","Yes","Yes","Yes","Yes","No","No","?","?","No","No","No","No","No"
"ZOC","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Name","OSX","Windows","Cygwin","BSD","Linux","Solaris","Java","OpenVMS","z/OS","AIX","HP-UX","iOS","Android","Maemo","WindowsPhone"
