"Name","Userinterface","SSH1(insecure)","SSH2","Additionalprotocols","PortforwardingandTunneling","PortforwardingandTunneling","Additionalprotocols","PortforwardingandTunneling","Sessionmultiplexing","Kerberos","IPv6","Terminal","SFTP/SCP","Proxyclient"
"Name","Userinterface","SSH1(insecure)","SSH2","TELNET","rlogin","Sessionmultiplexing","Kerberos","IPv6","Terminal","SFTP/SCP","Proxyclient","Portforwarding","SOCKS","VPN"
"AbsoluteTelnet","GUI(multi-session,single-window)","yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","SOCKS4,5;HTTP"
"BitviseSSHClient","GUIorcommandline","no","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","SOCKS4,5"
"Dropbear","commandline","no","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","?"
"lsh","commandline","no","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","?"
"OpenSSH(OpenBSDSecureShell)","commandline","no","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ProxyCommand"
"PuTTY","GUIorcommandline","yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","SOCKS4,5;HTTP;Telnet;Local"
"SecureCRT","GUI","yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","SOCKS4,5;HTTP;Telnet;Generic"
"SmartFTP","GUI(multi-session,single-window)","no","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","SOCKS4,5;HTTP"
"TeraTerm","GUI","yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","SCP","SOCKS4,5;HTTP;Telnet"
"TN3270Plus","GUI","yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","SOCKS4"
"TtyEmulator","GUIorcommandline","yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","SOCKS4,4a,5;HTTPLocal"
"WinSCP","GUIorcommandline","yes","Yes","No","No","limited","No","No","No","Yes","Yes","simple","Yes","SOCKS4,5;HTTP;Telnet;Local"
"wolfSSH","commandline","no","Yes","No","No","Yes","No","No","No","No","Yes","simple","Yes","?"
"ZOC","TDIorcommandline","yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","SCPandSFTPthroughterminal","SOCKS4;5;HTTP;Jumpserver"
"Name","Userinterface","SSH1(insecure)","SSH2","Additionalprotocols","Tunneling","Tunneling","Additionalprotocols","Tunneling","Sessionmultiplexing","Kerberos","IPv6","Terminal","SFTP/SCP","Proxyclient"
"Name","Userinterface","SSH1(insecure)","SSH2","TELNET","rlogin","Sessionmultiplexing","Kerberos","IPv6","Terminal","SFTP/SCP","Proxyclient","Portforwarding","SOCKS","VPN"
