"Implementation","SSL2.0(insecure)","SSL3.0(insecure)","TLS1.0","TLS1.1","TLS1.2","TLS1.3","DTLS1.0","DTLS1.2"
"Botan","No","No","Yes","Yes","Yes","","Yes","Yes"
"BoringSSL","","","Yes","Yes","Yes","Yes","Yes","Yes"
"BouncyCastle","No","No","Yes","Yes","Yes","Yes(draftversion)","Yes","Yes"
"BSAFESSL-J","No","Disabledbydefault","No","No","Yes","Yes","No","No"
"cryptlib","No","Disabledbydefaultatcompiletime","Yes","Yes","Yes","","No","No"
"GnuTLS","No","Disabledbydefault","Yes","Yes","Yes","Yes","Yes","Yes"
"JSSE","No","Disabledbydefault","Disabledbydefault","Disabledbydefault","Yes","Yes","Yes","Yes"
"LibreSSL","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"MatrixSSL","No","Disabledbydefaultatcompiletime","Yes","Yes","Yes","Yes","Yes","Yes"
"MbedTLS","No","No","No","No","Yes","Yes(experimental)","Yes","Yes"
"NSS","No","Disabledbydefault","Yes","Yes","Yes","Yes","Yes","Yes"
"OpenSSL","No","Disabledbydefault","Yes","Yes","Yes","Yes","Yes","Yes"
"s2n","No","Disabledbydefault","Yes","Yes","Yes","Yes","No","No"
"SChannelXP,2003","DisabledbydefaultinMSIE7","Enabledbydefault","EnabledbydefaultinMSIE7","No","No","","No","No"
"SChannelVista","Disabledbydefault","Enabledbydefault","Yes","No","No","","No","No"
"SChannel2008","Disabledbydefault","Enabledbydefault","Yes","Disabledbydefault(KB4019276)","Disabledbydefault(KB4019276)","","No","No"
"SChannel7,2008R2","Disabledbydefault","DisabledbydefaultinMSIE11","Yes","EnabledbydefaultinMSIE11","EnabledbydefaultinMSIE11","","Yes","No"
"SChannel8,2012","Disabledbydefault","Enabledbydefault","Yes","Disabledbydefault","Disabledbydefault","","Yes","No"
"SChannel8.1,2012R2,10v1507&v1511","Disabledbydefault","DisabledbydefaultinMSIE11","Yes","Yes","Yes","","Yes","No"
"SChannel10v1607/2016","No","Disabledbydefault","Yes","Yes","Yes","","Yes","Yes"
"SecureTransportOSX10.2-10.7,iOS1-4","Yes","Yes","Yes","No","No","","No","No"
"SecureTransportOSX10.8-10.10,iOS5-8","No","Yes","Yes","Yes","Yes","","Yes","No"
"SecureTransportOSX10.11,iOS9","No","No","Yes","Yes","Yes","","Yes","Unknown"
"SecureTransportOSX10.13,iOS11","No","No","Yes","Yes","Yes","Yes(draftversion)","Yes","Unknown"
"wolfSSL","No","Disabledbydefault","Disabledbydefault","Yes","Yes","Yes","Yes","Yes"
"Erlang/OTPSSLapplication","No","No","Disabledbydefault","Disabledbydefault","Yes","Partially","Disabledbydefault","Yes"
"Implementation","SSL2.0(insecure)","SSL3.0(insecure)","TLS1.0","TLS1.1","TLS1.2","TLS1.3","DTLS1.0","DTLS1.2"
