"Implementation","Platformrequirements","Networkrequirements","Threadsafety","Randomseed","Abletocross-compile","NoOS(baremetal)","Supportedoperatingsystems"
"Botan","C++11","None","Thread-safe","Platform-dependent","Yes","","Windows,Linux,macOS,Android,iOS,FreeBSD,OpenBSD,Solaris,AIX,HP-UX,QNX,BeOS,IncludeOS"
"BSAFESSL-J","Java","JavaSEnetworkcomponents","Thread-safe","Dependsonjava.security.SecureRandom","Yes","No","FreeBSD,Linux,macOS,MicrosoftWindows,Android,AIX,Solaris"
"cryptlib","C89","POSIXsend()andrecv().APItosupplyyourownreplacement","Thread-safe","Platform-dependent,includinghardwaresources","Yes","Yes","AMX,BeOS,ChorusOS,DOS,eCos,FreeRTOS/OpenRTOS,uItron,MVS,OS/2,PalmOS,QNXNeutrino,RTEMS,TandemNonStop,ThreadX,uC/OSII,Unix(AIX,FreeBSD,HPUX,Linux,macOS,Solaris,etc.),VDK,VM/CMS,VxWorks,Win16,Win32,Win64,WinCE/PocketPC/etc,XMK"
"GnuTLS","C89","POSIXsend()andrecv().APItosupplyyourownreplacement.","Thread-safe,needscustommutexhooksifneitherPOSIXnorWindowsthreadsareavailable.","Platformdependent","Yes","No","GenerallyanyPOSIXplatformsorWindows,commonlytestedplatformsincludeLinux,Win32/64,macOS,Solaris,OpenWRT,FreeBSD,NetBSD,OpenBSD."
"JSSE","Java","JavaSEnetworkcomponents","Thread-safe","Dependsonjava.security.SecureRandom","Yes","","Javabased,platform-independent"
"MatrixSSL","C89","None","Thread-safe","Platformdependent","Yes","Yes","All"
"MbedTLS","C89","POSIXread()andwrite().APItosupplyyourownreplacement.","Threadinglayeravailable(POSIXorownhooks)","Randomseedsetthroughentropypool","Yes","Yes","Knowntoworkon:Win32/64,Linux,macOS,Solaris,FreeBSD,NetBSD,OpenBSD,OpenWRT,iPhone(iOS),Xbox,Android,SeggerOS"
"NSS","C89,NSPR","NSPRPR_Send()andPR_Recv().APItosupplyyourownreplacement.","Thread-safe","Platformdependent","Yes(butcumbersome)","No","AIX,Android,FreeBSD,NetBSD,OpenBSD,BeOS,HP-UX,IRIX,Linux,macOS,OS/2,Solaris,OpenVMS,AmigaDE,Windows,WinCE,SonyPlayStation"
"OpenSSL","C89","None","Thread-safe","Platformdependent","Yes","No","Unix-like,DOS(withdjgpp),Windows,OpenVMS,NetWare,eCos"
"wolfSSL","C89","POSIXsend()andrecv().APItosupplyyourownreplacement.","Thread-safe","RandomseedsetthroughwolfCrypt","Yes","Yes","Win32/64,Linux,macOS,Solaris,ThreadX,VxWorks,FreeBSD,NetBSD,OpenBSD,embeddedLinux,YoctoProject,OpenEmbedded,WinCE,Haiku,OpenWRT,iPhone(iOS),Android,NintendoWiiandGamecubethroughDevKitPro,QNX,MontaVista,NonStop,TRON/ITRON/µITRON,MicriumµC/OS-III,FreeRTOS,SafeRTOS,NXP/FreescaleMQX,Nucleus,TinyOS,HP/UX,AIX,ARCMQX,KeilRTX,TI-RTOS,uTasker,embOS,INtime,Mbed,uT-Kernel,RIOT,CMSIS-RTOS,FROSTED,GreenHillsINTEGRITY,TOPPERS,PetaLinux,Apachemynewt"
"Implementation","Platformrequirements","Networkrequirements","Threadsafety","Randomseed","Abletocross-compile","NoOS(baremetal)","Supportedoperatingsystems"
