"Implementation","FIPS140-1,FIPS140-2","FIPS140-1,FIPS140-2","CommonCriteria","EmbeddedFIPSSolution"
"Implementation","Level1","CommonCriteria","EmbeddedFIPSSolution","Level2"
"Botan","","","",""
"BouncyCastle","BC-FJA1.0.0(#2768)BC-FJA1.0.1(#3152)","","",""
"BSAFESSL-J","Crypto-J6.0(1785,1786)Crypto-J6.1/6.1.1.0.1(2057,2058)Crypto-J6.2/6.2.1.1(2468,2469)Crypto-J6.2.4(3172,3184)Crypto-J6.2.5(#3819,#3820)","","",""
"cryptlib","","","",""
"GnuTLS","RedHatEnterpriseLinuxGnuTLSCryptographicModule(#2780)","","",""
"JSSE","","","",""
"LibreSSL","nosupport","","",""
"MatrixSSL","SafeZoneFIPSCryptographicModule:1.1(#2389)","","",""
"MbedTLS","","","",""
"NSS","NetworkSecurityServices:3.2.2(#247)NetworkSecurityServicesCryptographicModule:3.11.4(#815),3.12.4(#1278),3.12.9.1(#1837)","NetscapeSecurityModule:1(#7),1.01(#47)NetworkSecurityServices:3.2.2(#248)NetworkSecurityServicesCryptographicModule:3.11.4(#814),3.12.4(#1279,#1280)","",""
"OpenSSL","OpenSSLFIPSObjectModule:1.0(#624),1.1.1(#733),1.1.2(#918),1.2,1.2.1,1.2.2,1.2.3or1.2.4(#1051)2.0,2.0.1,2.0.2,2.0.3,2.0.4,2.0.5,2.0.6,2.0.7or2.0.8(#1747)","","",""
"SChannel","CryptographicmodulesinWindowsNT4.0,95,95,2000,XP,Server2003,CE5,CE6,Mobile6.x,Vista,Server2008,7,Server2008R2,8,Server2012,RT,Surface,Phone8SeedetailsonMicrosoftFIPS140ValidatedCryptographicModules","","",""
"SecureTransport","AppleFIPSCryptographicModule:1.0(OSX10.6,#1514),1.1(OSX10.7,#1701)AppleOSXCoreCryptoModule;CoreCryptoKernelModule:3.0(OSX10.8,#1964,#1956),4.0(OSX10.9,#2015,#2016)AppleiOSCoreCryptoModule;CoreCryptoKernelModule:3.0(iOS6,#1963,#1944),4.0(iOS7,#2020,#2021)","","",""
"wolfSSL","wolfCryptFIPSModule:4.0(#3389)SeedetailsonNISTcertificateforvalidatedOperatingEnvironmentswolfCryptFIPSModule:3.6.0(#2425)SeedetailsonNISTcertificateforvalidatedOperatingEnvironments","","","Yes"
"Implementation","Level1","Level2","CommonCriteria","EmbeddedFIPSSolution"
"FIPS140-1,FIPS140-2","Implementation","FIPS140-1,FIPS140-2","CommonCriteria","EmbeddedFIPSSolution"
