"Name","Interface","TypeofClient","DownloadingheadersXOVER","PAR","NZB","unZiporunRAR","IntegratedSearchService(retention/$$$/yr)","IPv6","SSL/TLS","AudioVideoStreaming","Price","Platform","License","Other"
"Arachne","GUI","TraditionalNewsreader","Yes","No","No","","","","","","Free","DOS,Unix-like","GPL",""
"BinTube","GUI","BinaryGrabber","No","Yes","Yes","Yes","Yes(3200Days/Free)","Yes","Yes","Yes","$59.95/Freewithsubscription","MicrosoftWindows","Proprietary","Streamsmediawhiledownloading;FreewithUsenetService"
"ClawsMail","GUI","TraditionalNewsreader","Yes","No","No","No","No","Yes","","No","Free","Cross-platform","GPL",""
"FortéAgent","GUI","Combination","Yes","Yes","Yes","Yes","","","Yes","","$29","MicrosoftWindows","Proprietary","Includes3monthnewsgroupservicetrial;Shareware"
"Gnus","Text-based","TraditionalNewsreader","Yes","No","No","No","No","Yes","Yes","No","Free","Cross-platform","GPL","RunsinEmacs;alsodoesEmail"
"GrabIt","GUI","BinaryGrabber","Yes","Yes","Yes","Yes","Yes(30days/$24.99/yr)","No","Yes","","Free(searchingextra)","MicrosoftWindows","Proprietary","UsenetSearchService"
"GroupWise","GUI","TraditionalNewsreader","Yes","No","No","","","","","","Varies","MicrosoftWindows,Unix-like","Proprietary",""
"KNode","GUI","TraditionalNewsreader","Yes","No","No","","","Yes","Yes","","Free","Unix-like","GPL","KDE"
"LotusNotes","GUI","TraditionalNewsreader","Yes","No","No","","","","","","Varies","MicrosoftWindows,Unix-like,MacOSX","Proprietary",""
"Name","Interface","TypeofClient","DownloadingheadersXOVER","PAR","NZB","unZipunRAR","IntegratedSearchService(retention/$$$/yr)","IPv6","SSL/TLS","AudioVideoStreaming","Price","Platform","License","Other"
"Lynx","Text-based","TraditionalNewsreader","Yes","No","No","","","Yes","Yes","","Free","Cross-platform","GPL","LimitedUSENETsupport"
"MozillaMail&Newsgroups","GUI","TraditionalNewsreader","Yes","No","No","No","No","","","","Free","Cross-platform","MPL/GPL/LGPLtri-license","ReplacedbySeaMonkeyMail&Newsgroups"
"MozillaThunderbird","GUI","TraditionalNewsreader","Yes","No","No","No","No","Yes","Yes","","Free","Cross-platform","MPL","Pluginsupport"
"NewsbinPro","GUI","BinaryGrabber","Yes","Yes","Yes","Yes","Yes($10/yr)","Yes","Yes","","$20","MicrosoftWindows","Proprietary","Shareware"
"NewsLeecher","GUI","Combination","Yes","Yes","Yes","Yes","YesOptionalextraAdd$10peryear","No","Yes","","Varies","MicrosoftWindows","Proprietary","Shareware"
"OperaMail","GUI","TraditionalNewsreader","Yes","No","No","","No","Yes","Yes","","Free","Cross-platform","Proprietary","PartofOperauptoversion12.17"
"OutlookExpress","GUI","TraditionalNewsreader","Yes","No","No","No","No","Yes","Yes","","","MicrosoftWindows","Proprietary","PartofMicrosoftWindows(uptoWindowsServer2003)"
"Pan","GUI","Combination","Yes","No","Yes","No","","Yes","Yes","","Free","Unix-like,MicrosoftWindows","GPL","Gtk+"
"Name","Interface","TypeofClient","DownloadingheadersXOVER","PAR","NZB","unZip&unRAR","IntegratedSearchService(retention/$$$/yr)","IPv6","SSL/TLS","AudioVideoStreaming","Price","Platform","License","Other"
"SeamonkeyMail&Newsgroups","GUI","TraditionalNewsreader","Yes","No","No","No","No","Yes","Yes","","Free","Cross-platform","MPL","ReplacedMozillaMail&Newsgroups"
"slrn","text-based","TraditionalNewsreader","Yes","Yes(usingmacros)","Yes(usingmacros)","Yes(usingmacros)","No","Yes","Yes","No","Free","Cross-platform","GPLv2+","HighlyextensibleusingS-Langscripts(macros)"
"Sylpheed","GUI","TraditionalNewsreader","Yes","No","No","","","","Yes","","Free","Cross-platform","GPL/LGPL","Gtk+"
"tin","text-based","TraditionalNewsreader","Yes","No","No","No","","Yes","No","","Free","Unix-like","BSD","FreeSoftware"
"Unison","GUI","Combination","Yes","Yes","Yes","Yes","","Yes","Yes","Yes(audioonly)","Free","MacOSX","Proprietary","Developmenthasceased.Freebutunsupported."
"UsenetExplorer","GUI","Combination","Yes","Yes","Yes","Yes","Yes(1500days/$23.34/yr)","Yes","Yes","","$35","MicrosoftWindows","Proprietary","Shareware"
"WindowsLiveMail","GUI","TraditionalNewsreader","Yes","","","","","Yes","","","Free","MicrosoftWindows","Proprietary",""
"WindowsMail","GUI","TraditionalNewsreader","Yes","","","","","Yes","","","","MicrosoftWindows","Proprietary","PartofWindowsVistaandWindowsServer2008.NoNewsgrouporUsenetsupportinWindows10."
"Xnews","GUI","Combination","Yes","No","No(CancreateNBZs)","","","No","","","Free","MicrosoftWindows","Proprietary",""
"XPN","GUI","TraditionalNewsreader","Yes","No","No","","","","Yes","","Free","Cross-platform","GPL",""
"Name","Interface","TypeofClient","DownloadingheadersXOVER","PAR","NZB","unZipunRAR","IntegratedSearchService(retention/$$$/yr)","IPv6","SSL/TLS","AudioVideoStreaming","Price","Platform","License","Other"
