"Name","Latestrelease","Active","Softwarelicense","Type","Windows","macOS","Linux","Textualeditor?","Treevieweditor?","Graphicaleditor?","WYSIWYGeditor?","XMLSchemaeditor?","Syntaxhighlighting","Tagfolding","Autocompleteusingschema","XPathsearch","XMLdiff/merge","Paymentmodel","Full-featuredfreetrialperiod"
"AdobeFrameMaker","2019","Yes","Proprietary","Standalone","Yes","No","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","","?","Yes"
"AltovaXMLSpy","2020","Yes","Proprietary","StandaloneEclipsePlugin,VisualStudioPlugin","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","30days"
"BaseX","current","Yes","BSD-3-Clause","Standalone","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","viaadd-onmodule","N/A","N/A"
"CAMEditor","2015(3.2.2)","No","MPL-2.0","Standalone","Yes","Yes","Yes","Yes","Yes","Yes","No","?","No","Yes","No","","","N/A","N/A"
"emacs/nxml-mode","2019(26.3)","Yes","GPL-3.0-or-later","Emacsmode","Yes","Yes","Yes","Yes","?","No","No","?","Yes","Yes","Yes","","","N/A","N/A"
"MadCapFlare","2019","Yes","Proprietary","Standalone","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","PerpetualandSubscription","Yes"
"LiquidXMLStudio","2020(18.0.4)","Yes","Proprietary","Standalone+VisualStudioPlugin","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"OxygenXMLEditor","2021(24.0)","Yes","Proprietary","Standalone+EclipsePluginWeb-App","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","30days"
"QuarkAuthorWebEditiononQuarkPublishingPlatform","2014(10.5)","Yes","Proprietary","Web-App","Yes","Yes","Yes","No","SectionsOnly","Yes","Yes","?","No","No","No","","","?","N/A"
"StylusStudio","2014(X15R2)","Yes","Proprietary","Standalone","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","?","Yes"
"Xeditor","April2020(6.4)","Yes","Proprietary","Web-app","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Subscription","Yes"
"Xerlin","2005(1.3)","No","OpenSource","Standalone","Yes","Yes","Yes","?","?","?","?","?","?","?","?","","","N/A","?"
"XMetaL","2021(16.0)","Yes","Proprietary","Standalone","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","?","Yes"
"XMLNotepad","2020(2.8.0.11)","Yes","MIT","Standalone","Yes","No","No","Yes","Yes","Yes","?","?","?","?","Yes","","","?","Yes"
"XMLGridStudio","2021","Yes","Proprietary","Standalone","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","?","?"
