"Audioplayer","ID3v1","ID3v2","APEv2tag","Vorbiscomment","Cuesheet","CD-Text","WAVEchunks"
"AIMP","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Amarok","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Audacious","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Audion","Yes","Yes","No","No","?","?","?"
"cmus","Yes","Yes","Yes","Yes","Yes","No","?"
"Cog","Yes","Yes","Yes","Yes","Yes","?","?"
"foobar2000","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"iTunes","Yes","Yes","Yes","?","?","?","?"
"JRiverMediaCenter","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"JuK","Yes","Yes","Yes","Yes","?","?","?"
"MediaMonkey","Yes","Yes","Yes","Yes","?","Yes","?"
"Mixxx","Yes","Yes","Yes","Yes","No","No","Yes"
"MPXPLAY","Yes","Yes","Yes","Yes","?","?","?"
"MusicBee","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MusicmatchJukebox","Yes","Yes","No","?","?","Yes","?"
"musikCube","Yes","Yes","Yes","?","?","?","?"
"QuodLibet","Yes","Yes","Yes","Yes","No","No","Yes"
"Rhapsody","Yes","Yes","No","No","?","?","?"
"Rhythmbox","Yes","Yes","Yes","Yes","?","?","?"
"SayonaraPlayer","Yes","Yes","?","Yes","?","?","?"
"Sonique","Yes","No","?","?","?","?","?"
"XMMS","Yes","Yes","No","Yes","?","?","?"
"Zinf","Yes","Yes","No","Yes","?","?","?"
"Audioplayer","ID3v1","ID3v2","APEv2tag","Vorbiscomment","Cuesheet","CD-Text","WAVEchunks"
