"Name","Shellscripting","Shellscripting","MIDI","MIDI","OSC","OSC","HID","VST","AudioUnits","AudioUnits","Other"
"Name","In","Out","In","HID","VST","Out","Other","In","Out","Ashost","Asunit"
"Bidule","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"ChucK","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","ChunityallowstorunChucKintheUnitygameengine"
"Csound","Yes","Yes","Yes","Yes","Yes","Yes","","No","","","bindingfromHaskell(hCsound),C,C++,Python,Java,Lua,Lisp,JavaScript"
"Impromptu","","","Yes","Yes","Yes","Yes","","","Yes","No","BidirectionalSchemetoObjective-Cbridge"
"Kyma","","","Yes","Yes","Yes","Yes","Yes","","","",""
"Max/MSP","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","",""
"PureData","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Some","Some","bindingsforPython,Lua,Java,GStreamer.theCamomilepluginmayhostPDaspluginwithinDAW.PD-extendedpresentlyhasmultipleoptionstohostLADSPApluginswithinPDenvironment."
"Reaktor","","","Yes","Yes","Yes","Yes","","Yes","No","Yes",""
"SuperCollider","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","No","Yes","LADSPAHost,scsynthcanbecontrolledbyOSCmessages(Haskell,Scala,Python,Ruby,Schemeetc.)"
"SynthEdit","","","Yes","Yes","No","No","","Yes","No","Yes",""
"VCVRack","","","Yes","Yes","Yes","Yes","","Yes","","",""
