"Name","Canresidein","Canbootfrom","Canbootfrom","Canbootfrom","Canbootfrom","Canbootfrom","Canbootfrom","Canbootfrom","Canresidein","Canresidein","Canresidein","Canbootfrom"
"Name","ESP(UEFI)","MBR","VBR","Floppy","Harddisk","SecondHarddisk","Logicalpartitions","CD-ROM","Floppy","USB","Zip","LAN"
"AcronisOSSelector","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"AiR-BOOT","?","Yes","No","?","?","?","?","?","?","?","?","?"
"AKernelLoader","?","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?"
"Barebox","Yes","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"BOOTBOOT","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No"
"BootItBareMetal","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"BootKey","?","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No"
"BootManager","?","Yes","No","No","Yes","?","?","?","?","?","?","No"
"BootX(Apple)","Yes","No","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes"
"BootX(Linux)","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Clover","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","Yes","?","No"
"DarwinBootLoader","Yes","?","?","?","Yes","Yes","?","?","?","Yes","?","?"
"DasU-Boot","?","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"FreeBSDloader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"GAG","?","Yes(SafeBoot)","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"GRUBLegacy","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"GNUGRUB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Grub2Win","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"GRUB4DOS","?","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gujin","?","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"systemd-boot/Gummiboot","Yes","No","No","No","Yes","Yes","Yes","?","?","Yes","?","?"
"iBoot","Yes","?","?","?","Yes","?","?","No","?","?","?","?"
"LILO","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Limine","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"loadlin","?","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MasterBooter","?","Yes","?","?","Yes","Yes","Yes","?","Yes","?","?","?"
"NTLDR","?","No","Yes","Yes","Yes","?","No","No","Yes","Yes","?","?"
"OpenCore","Yes","Yes","?","?","Yes","Yes","?","No","?","Yes","?","No"
"OSL2000BootManager","?","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"PLoPBootManager","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"RedBoot","?","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"rEFInd","Yes","No","No","No","Yes","Yes","?","Yes","?","Yes","?","Yes"
"rEFIt(notmaintained)","Yes","No","No","No","Yes","Yes","?","No","?","Yes","?","No"
"SmartBootManager","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?"
"SPFdisk","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?","?","?"
"SYSLINUX","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TianocoreEDKII","?","No","No","No","Yes","Yes","?","Yes","?","Yes","No","Yes"
"WindowsBootManager","Yes","No","Yes","No","Yes","Yes","?","Yes","Yes","Yes","Yes","?"
"XOSL","?","No","No","Yes","Yes","Yes","Yes","Yes","?","No","?","No"
"FreeLoader(ReactOSBootLoader)","?","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?"
"Name","Canresidein","Canbootfrom","Canbootfrom","Canbootfrom","Canbootfrom","Canbootfrom","Canbootfrom","Canbootfrom","Canresidein","Canresidein","Canresidein","Canbootfrom"
"Name","ESP(UEFI)","MBR","VBR","Floppy","Harddisk","SecondHarddisk","Logicalpartitions","CD-ROM","Floppy","USB","Zip","LAN"
