"Name","cpio","tar","ISO9660","romfs","SquashFS","cramfs"
"AcronisOSSelector","?","?","?","?","?","?"
"AiR-BOOT","?","?","?","?","?","?"
"AKernelLoader","?","?","?","?","?","?"
"Barebox","?","?","?","?","Yes","Yes"
"BOOTBOOT","Yes","Yes","Yes","Yes","No","No"
"BootItBareMetal","?","?","?","?","?","?"
"BootKey","?","?","?","?","?","?"
"bootload","?","?","?","?","?","?"
"BootManager","?","?","?","?","?","?"
"BootX(Apple)","?","?","?","?","?","?"
"BootX(Linux)","?","?","?","?","?","?"
"Clover","?","?","?","?","?","?"
"DarwinBootLoader","?","?","?","?","?","?"
"DasU-Boot","?","?","?","?","?","Yes"
"extipl","?","?","?","?","?","?"
"FreeLoader(ReactOS)","?","?","?","?","?","?"
"GAG","?","?","?","?","?","?"
"GNUGRUB2","Yes","Yes","Yes","Yes","Yes","?"
"GRUBLegacy","?","?","Yes","?","?","?"
"Grub2Win","?","?","?","?","?","?"
"GRUB4DOS","?","?","Yes","?","?","?"
"Gujin","?","?","?","?","?","?"
"systemd-boot/Gummiboot","?","?","?","?","?","?"
"iBoot","?","?","?","?","?","?"
"LILO","?","?","?","?","?","?"
"Limine","No","No","Yes","No","No","No"
"loader(FreeBSD)","?","?","?","?","?","?"
"loadlin","No","No","Yes","?","?","?"
"LOLO","?","?","?","?","?","?"
"MasterBooter","?","?","?","?","?","?"
"MultipleBootManager","?","?","?","?","?","?"
"NTLDR","?","?","?","?","?","?"
"OpenCore","?","?","?","?","?","?"
"OSL2000BootManager","?","?","?","?","?","?"
"PLoPBootManager","?","?","?","?","?","?"
"RedBoot","?","?","?","?","?","?"
"rEFInd","?","?","Yes","?","?","?"
"rEFIt","?","?","?","?","?","?"
"SmartBootManager","?","?","?","?","?","?"
"SPFdisk","?","?","?","?","?","?"
"Syslinux","?","?","Yes","?","?","?"
"TianocoreEDKII","?","?","?","?","?","?"
"WindowsBootManager","No","No","Yes","No","No","No"
"XOSL","?","?","?","?","?","?"
"yaboot","?","?","?","?","?","?"
