"Name","Advancedcommand","Scriptable","Supportedarchitecture","Supportedexecutable","Supportedprotocol","Supporteddecompression","Others"
"GRUBLegacy","Yes","No","x86(PC)","Multiboot1,LinuxzImage,LinuxbzImageandothers","TFTP","gzip",""
"GRUB2","Yes","Yes","x86(PC,EFI,UEFI,coreboot,OLPC),IA-64,ARM(U-Boot,UEFI),PowerPC(OpenFirmware),MIPS,SPARC(SPARCv9)","Multibootandothers","TFTP,HTTP","gzip,xz",""
"LILO","No","No","x86(PC)","LinuxzImage,LinuxbzImage","?","bzip2,gzip",""
"loader(FreeBSD)","Yes","Yes","x86(PC,EFI,UEFI,coreboot,OLPC),ARM(U-Boot,UEFI),MIPS,PowerPC,SPARCv9","FreeBSDELFkernelimage,Multiboot(incomplete,forXenimageonly)","TFTP,NFS","gzip,bzip2",""
"loadlin","No","No","x86(PC)","LinuxzImage,LinuxbzImage","?","gzip",""
"LOLO(LogicPD)","Yes","Yes","ARM7,ARM9,ARM11,Cortex-A8,StrongARM,SH,ColdFire","ELF,binary,BIN(WinCE),SREC","TFTP","?","Supporteddevices:MCF54xx,MCF5329,MCF5373,LLH7A400,LLH7A404,LLH79520,LLH79524,LSH7727,LSH7750,LSH7760,PXA270,PXA320,IMX31,IMX27,OMAP35xx,OMAP37xx"
"SYSLINUX","viacmd.c32module","vialua.c32module","x86(PC)","LinuxzImage,LinuxbzImage,Multiboot,MBRimage","TFTP","gzip,bzip2,lzo,zip,lzma,?",""
"AKernelLoader","No","No","x86(PC)","ELF,Binary","?","?",""
"BOOTBOOT","Yes","No","x86-64(PC,UEFI,ElToritoCDROM,BSSExpansionROM,UEFIOptionROM),ARMAArch64(RaspberryPi3andup)","ELF64/PE32+","?","gzip","comeswithamultiplatform,dependency-freebootablehybridimagecreator(FOSS)"
"Yaboot","No","No","PowerPC(OpenFirmware)","LinuxELFimage","TFTP","No",""
"RedBoot","Yes","yes(bootonly)","ARM,ColdFire,H8300,x86,Freescale/Motorola68000,MIPS,PowerPC,SH,SPARC,SPARCLite","ELF","TFTP,serial(X-modem)","gzip",""
"DasU-Boot","Yes","Yes","PowerPC,ARM,AVR32,Blackfin,ColdFire,IXP,Leon2,m68k,MicroBlaze,MIPS,NIOS,NIOS2,PXA,x86,RISC-V,StrongARM,SH2,SH3,SH4,...","EFI,ELF,U-Bootimageformat,LinuxzImage,raw","TFTP,NFS,serial(S-Record,Y-Modem,Kermitbinaryprotocol)","bzip2,gzip,lzma",""
"Barebox","Yes","Yes","ARM,Blackfin,NIOS2,MIPS,x86,PowerPC","ELF,U-Bootimageformat","TFTP,NFS,serial(S-Record,Y-Modem,Kermitbinaryprotocol)","bzip2,gzip,lz4,xz,lzo",""
"Linuxkexec","Dependingonuserspace","Dependingonuserspace","x86,ARM,ARM64,PowerPC64,IA-64,IBMZ","LinuxbzImage,Multiboot,otherELFimage","Dependingonconfigurationanduserspace","N/A","Thekexecsystemcallcanstartanotherkernel,replacingthecurrentrunningLinux,thusturningaLinux-basedoperatingsystemintoafancybootloader."
"NTLDR","No","No","x86(PC)","WindowsNTkernelimage(PE),MBRimage","?","?","defaultbootloaderonWindowsNT"
"TianoCoreEDKII","Yes","Yes","ARM,RISC-V,x86","EFI","HTTPS","?","UEFIreferenceimplementation"
"WindowsBootManager","No","No","x86(PC),ARM(onlyonWindowsMobileremake)","PortableExecutable","?","?","SuccessorofNTLDR;usedonVistaandup."
"FreeLoader(ReactOS)","No","No","x86(PC),ARM,PowerPC","?","?","?","cloneofNTLDR"
"extipl","?","?","?","?","?","?","IBMIPLuppercompatible"
"MultipleBootManager","?","?","?","?","?","?",""
"bootload(TechnologicSystems)","?","?","ARM","?","?","?","Proprietary"
"Limine","Yes","No","x86(PC)","Multiboot1and2,Stivale1and2,LinuxzImageandbzImage","TFTP","gzip",""
"Name","Advancedcommand","Scriptable","Supportedarchitecture","Supportedexecutable","Supportedprotocol","Supporteddecompression","Others"
