"","includedchessengine(s)","Canopen/savePGN","CanimportUCIengines","Levels","3DorAnimatedpieces","Variants","Multiplayer"
"Aquarium","Crafty,Delfi,Rybka,Spike","Yes","Yes","multivariation,uci_elo","No","Chess960","No"
"BattleChess","n/a","No","No","","Yes","No",""
"BattleChess:GameofKings","n/a","No","No","","Yes","No",""
"Battlevs.Chess","Fritz","No","No","levels1-9","Yes","",""
"Chessaria:TheTacticalAdventure","ChessariaAICE","No","No","","Yes","Yes","Yes"
"ChessAssistant","Dragon,Rybka","Yes","Yes","multivariation,uci_elo","No","Chess960","No"
"Chessbase","Fritz","Yes","Yes","uci_eloforanalysisbutnotimedgames","Yes","Chess960","No"
"Chessmaster","TheKing","Yes","No","PersonalitieswithEloratings","Yes","No","nolongersupported"
"ChessTitans","n/a","No","No","Yes","No","No",""
"ChessV","","","","","","",""
"Fritz","Rybka,earlierPandixorFritz","Yes","Yes","FriendMode,HandicapandFun,uci_elo","Yes","Chess960",""
"FritzandChesster","KoenigSchwarz","","","","","",""
"GNOMEChess","","","","","","",""
"GNUChess","GNUchess","Yes","No","","No","Knightmate,Capablanca,Gothic,Shatranj,Courier,Cylinder,Berolina","No"
"HiarcsChessExplorer","Hiarcs","Yes","Yes","uci_elo","No","No","No"
"ChessbaseHoudini","Houdini","Yes","Yes","FriendMode,HandicapandFun,uci_elo","Yes","Chess960","Yes"
"ChessbaseJunior","Junior","Yes","Yes","FriendMode,HandicapandFun,uci_elo","Yes","Chess960","Yes"
"ChessbaseKomodo","Komodo","Yes","Yes","FriendMode,HandicapandFun,uci_elo","Yes","Chess960","Yes"
"Playchess","none","Yes","No","OtherplayershaveElorating","No","Chess960","Yes"
"PlayMagnus","Glaurung","Yes","No","canchooseMagnus'age","No","No","No"
"PureChess","n/a","No","No","","Yes","",""
"pyChess","Pychessengine,Stockfish","Yes","Yes","","","","Yes"
"ChessbaseRybka","Rybka","Yes","Yes","FriendMode,HandicapandFun,uci_elo","Yes","Chess960","Yes"
"ShredderUCIGUI","Shredder","Yes","Yes","uci_elo","No","Chess960","No"
"WiiChess","LoopExpress","No","No","","","",""
"Winboard/xBoard","Crafty","Yes","viaUCI2WB","No","No","Knightmate,Capablanca,Gothic,Shatranj,Courier,Cylinder,Berolina","Yes"
