"Name","Platform","License","Builders:Windows","Builders:Java","Builders:other","Notification","Integration,IDEs","Integration,other"
"ApacheGump","Python","Apache2.0","Unknown","Ant,Maven1","Unknown","Email","Unknown","Unknown"
"AppVeyor","Hosted,Self-Hosted","Proprietary","VisualStudio,MSBuild,Psake","No","CustomScript,PowerShell","Email,HipChat,Slack,Catlight","No","GitHub,Bitbucket,Kiln,WindowsAzure"
"AzureDevOpsServer(formerlyTFSandVSTS)","Cross-platform","Proprietary,MIT","MSBuild,VisualStudio","Ant,Maven,Gradle,Android","C,C++,Go,Groovy,Java,Node.js,Perl,PHP,Python,Ruby","Email,SOAP,Catlight","VisualStudio,Eclipse,IntelliJIDEA,AndroidStudio,VisualStudioCode","GitHub,Jenkins,Slack,Hipchat,FindBugs,Checkstyle,PMD"
"Bamboo","Webcontainer","Proprietary","MSBuild,NAnt,VisualStudio","Ant,Maven1-2-3","Customscript,command-linetool,Bash,Xcode,Phing,Grunt,Grails","XMPP,GoogleTalk,Email,RSS,RemoteAPI,HipChat","IntelliJIDEA,Eclipse,VisualStudio","FishEye,Jira,Clover,Bitbucket,GitHub"
"Buddy","Cross-platform","Proprietary","No","Ant,Maven,Gradle","Elixir,Go,Haskell,Node.js,PHP,Python,Ruby,.NETCore","Desktop,Email,Slack,SMS","No","WebServices,Bitbucket,GitHub,GitLab,GoogleCloudServices,Heroku,Modulus"
"Buildbot","Python","GPL","Command-line","Command-line","Command-line","Email,Web,GUI,IRC","Unknown","Unknown"
"BuildMaster","Cross-platform","Proprietary","Yes","Yes","Cross-platformcommand-line","Email,custom","No","Many"
"GitLab","Hosted,Self-Hosted","Proprietary,MIT","Yes","Maven,Gradle","SSH,Shell,VirtualBox,Parallels,Docker,Kubernetes,Custom","Email,Web,Slackandothers","Gitpod,WebIDE","Many"
"GoCD","Cross-platform","Apache2.0","Command-line","Command-line","Command-line","Email,hipchat,Slack,Gerrit,Gitter,Riemannetc","No","GitHub"
"Jenkins","Webcontainer","CreativeCommonsandMIT","MSBuild,NAnt,BatchScript","Ant,Maven2,Kundo","CMake,Gant,Gradle,Grails,Phing,Rake,Ruby,SCons,Python,shellscript,command-line","Android,Email,GoogleCalendar,IRC,XMPP,RSS,Twitter,Slack,Catlight,CCMenu,CCTray","Eclipse,IntelliJIDEA,NetBeans","Bugzilla,GoogleCode,Jira,Bitbucket,Redmine,FindBugs,Checkstyle,PMDandMantis,Trac,HPALM"
"OpenMakeSoftwareMeister","Cross-platform","Proprietary","MSBuild,NAnt,VisualStudio","Ant,Maven1-2-3","Shellscript,batchscript,cross-platformcommand-line,Groovy,Make,RTCJazz,TFSBuild,CustomScriptInterpreter","Email,XMPP,RSS,Systray","Eclipse,VisualStudio","Bugzilla,GoogleCode,Jira,Bitbucket,Redmine,FindBugs,Checkstyle,PMDandMantis,Trac"
"Semaphore(software)","Hosted","Proprietary","No","Maven,Gradle","Ruby,Java,Python,Node.js,PHP,Clojure,C/C++,Elixir,Erlang,Go,Rake,command-line","Email,Campfire,HipChat,Slack,Flowdock,Webhooks,RemoteAPI","Unknown","GitHub,Bitbucket,Heroku,AWS,CodeClimate,Cloud66"
"TravisCI","Hosted","MIT","No","Ant,Maven,Gradle","C,C++,Clojure,Elixir,Erlang,Go,Groovy,Haskell,Java,Node.js,Perl,PHP,Python,Ruby,Rust,Scala,Smalltalk","Email,Campfire,HipChat,IRC,Slack,Catlight,CCMenu,CCTray","No","GitHub,Heroku"
"TeamCity","Webcontainer","Proprietary","MSBuild,NAnt,VisualStudio,ReSharper-based.NETcodeanalysis","Ant,Maven2-3,Gradle,IntelliJIDEA-basedbuildandcodeanalysis","command-line,PowerShell,Xcode,Rake,FxCop","Email,XMPP,RSS,IDE,SysTray,Catlight","Eclipse,VisualStudio,IntelliJIDEA,RubyMine,PyCharm,PhpStorm,WebStorm","JetBrainsYouTrack,Jira,Bugzilla,FishEye,FindBugs,PMD,dotCover,NCover"
"Vexor","Hosted","Proprietary","No","Unknown","Ruby,Clojure,Scala,Python,Node.js,Go,Rust,Haskell","Email,HipChat,Slack","Unknown","GitHub,Bitbucket,Gitlab"
