"Product","Creator","Lateststablereleasedate","Lateststablerelease","License","RunsonWindows","RunsonMacOSX","RunsonLinux","Oracle","MySQL","PostgreSQL","MSSQLServer","ODBC","JDBC","SQLite","Other","Programminglanguage"
"DaDaBIK","EugenioTacchini","2021-08-27[±]","11.0Elba","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","","PHP"
"DatabaseSpy","Altova","2019-04-02[±]","2019r3","Proprietary","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","","IBMDB2,Sybase,MSAccess","C++"
"DatabaseWorkbench","UpsceneProductions","2021-12-08","6.0.3","Proprietary","Yes","requiresWine","requiresWine","Yes","Yes","Yes","Yes","Yes","","","InterBase,Firebird,SQLAnywhere,NexusDBandMariaDB","Delphi"
"DataGrip","JetBrains","2017-09-06","2017.2.2","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Sybase,DB2,H2,HypersonicSQL,AmazonRedshift,ApacheDerby","Java"
"DBeaver","SergeRider","2021-10-03","21.2.2","ApacheLicense","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","MySQL,PostgreSQL,Oracle,EXASOL,IBMDB2,SQLServer,ApacheDerby,FirebirdallwithJDBCdriver","Java"
"DBEdit","JefVanDenOuweland","2012-05-10","2.4.6","GPL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","IBMDB2,HSQLDB,ApacheDerby,H2","Java"
"DbVisualizer","DbVisSoftwareAB","2021-11-11","12.1.5","FreeReductedFunctionVersion/ProrietaryProVersion","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","AmazonRedshift,AzureSQLDatabase,Db2,Derby,Exasol,Greenplum,H2,IBMDb2onCloud,Informix,MicrosoftSQLServer,MariaDB,MimerSQL,MySQL,MySQLCloud,Netteza,nuoDB,Oracle,OracleCloud,PostgreSQL,SAPASE,Snowflake,SQLite,Vertica,Yellowbrick,ActianX(Ingress),CData,CreaDB,DataDirectAutonomousRESTConnector,IBMDb2iSeries,IBMDb2z/OS,Elasticsearch,Firebird,FrontBase,Hive,HPENonStopSQL,HSQLDB,IBMIMS,IntersystemsIRIS,JDBCDriversforCSV,XML,dBase,MSAccess,MaxDB,ODBCaccess,Pervasive,Presto,Progress,Salesforce,Solr,SAPIQ(SybaseIQ),SAPSQLAnywhere,Teradata[1]","Java"
"Epictetus","AntilogicSoftware","?","?","Proprietary","Yes","Yes","Yes","Yes","","Yes","Yes","","","","Sybase,InterBase/Firebird,H2,HSQLDB","Java"
"HeidiSQL","AnsgarBecker","2021-05-30[±]","11.3","GPL","Yes","requiresWine","requiresWine","","Yes","Yes","Yes","","","Yes","","EmbarcaderoDelphi"
"Maatkit","BaronSchwartz","2010-06-01","5247","GPL","Yes","Yes","Yes","","Yes","","","","","","","Perl"
"MicrosoftSQLServerManagementStudio","Microsoft","2022-03-08","18.11.1","Proprietary","Yes","No","No","","","","Yes","","","","includingSSASmanagement,andMDX,DMX,andXMLAlanguages",".Net"
"ModelRight","ModelRight","2016-12-??","4.1","Proprietary","Yes","No","No","Yes","Yes","","Yes","Yes","","","SQLServer,Oracle,MySQL,PostgreSQL,DB2,DB2/zOS,MSAccess","C++"
"MySQLWorkbench","OracleCorporation","2020-09-12[±]","8.0.22","CommunityEd:GPLStandardEd:CommercialProprietary","Yes","Yes","Yes","","Yes","","","","","","","C++/C#Objective-CPython(programminglanguage)"
"Navicat","PremiumSoftCyberTechLtd.","2020-04-15","15.0.13","Proprietary","Yes","Yes","requiresWine","Yes","Yes","Yes","Yes","Yes","","Yes","","BorlandDelphiObjective-C"
"NavicatDataModeler","PremiumSoftCyberTechLtd.","2015-12-10","2.1","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","BorlandDelphiObjective-C"
"OracleEnterpriseManager","OracleCorp.","2015-06-16","12.1.0.5","Proprietary","Yes","No","Yes","Yes","Yes","","Yes","","","","DB2,Sybase,TimesTen","Java"
"OracleSQLDeveloper","OracleCorp.","2018-04-05","18.1.0.095.1630","Proprietary","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","","MicrosoftAccess,Sybase,DB2,Teradata","Java"
"Orbada","AndrzejKaluza","2016-12-06[±]","1.2.5.395","GPL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Firebird,HSQL,InterBase,DerbyallwithJDBCdriver","Java"
"pgAdmin","pgAdminDevelopmentTeam","2020-03-05","4.19","PostgreSQLLicense","Yes","Yes","Yes","","","Yes","","","","","","C++"
"phpLiteAdmin","DaneIracleous,ChristopherKramerandothers","2019-09-05","1.9.8.2","GPL","Yes","Yes","Yes","No","No","No","No","No","No","Yes","","PHP"
"phpMyAdmin","phpMyAdminDevelopmentTeam","2022-02-11[±]","5.1.3","GPL","Yes","Yes","Yes","","Yes","","","","","","Drizzle,MariaDB","php"
"SQLDatabaseStudio","JanProchazka","2016-05-27","3.4.1","Proprietary","Yes","No","No","No","No","No","Yes","","","","",".NET,WPF,C#"
"SQLyog","WebyogSoftworksPvt.Ltd.","2022-01-11[±]","13.1.9","GPLv2","Yes","requiresWine","requiresWine","","Yes","","","","","","","C++"
"SQuirreLSQL","ColinBell,GerdWagner,RobManningandothers","2021-10-02[±]","4.3.0","GPLv2&LGPLv2","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Access,AxionJavaRDBMS,ApacheDerby,DaffodilDB,FileMaker(JDBC),FujitsuSiemensSESAM/SQL,Firebird,FrontBase,HSQLDB,HypersonicSQL,H2(DBMS),IBMDB2,Informix,Ingres,OpenIngres,InstantDB,InterBase,MckoiSQLDatabase,MicrosoftSQLServer,MimerSQL,Netezza,Pointbase,SAPDB,Sybase,SunopsisXMLDriver,TeradataWarehouse,ThinkSQLRDBMS,VerticaAnalyticDatabase,andotherswithJDBCdrivers.","Java"
"Toad","QuestSoftware","Various","Various","Proprietary","Yes","No","No","Yes","Yes","","Yes","Yes","","","DB2,Sybase","EmbarcaderoDelphi,C#.NET"
"ToadDataModeler","QuestSoftware","2009-03-05","3.3.8","Proprietary","Yes","No","No","Yes","Yes","Yes","Yes","","","","DB2,MSAccess,Sybase","EmbarcaderoDelphi"
"TOra","Community","2017-07-04","3.2","GPL","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Teradata","C++/Qt"
"Product","Creator","Lateststablereleasedate","Lateststablerelease","License","RunsonWindows","RunsonMacOSX","RunsonLinux","Oracle","MySQL","PostgreSQL","MSSQLServer","ODBC","JDBC","SQLite","Other","Programminglanguage"
