"Tools","UserInterface","Create&Alterwizard","Browse","Browse","Browse","Create&Alterwizard","Create&Alterwizard","Create&Alterwizard","Browse","AutoCompletion","Syntaxcolored","Multiserversupport","Monitoringserver"
"Tools","UserInterface","Database","Table","AutoCompletion","Syntaxcolored","Multiserversupport","Monitoringserver","Procedure","Trigger","Database","Table","Procedure","Trigger"
"Adminer","Browser-based","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"AltovaDatabaseSpy","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"DaDaBIK","Browser-based","No","Some","No","No","No","Some","No","No","No","No","No","?"
"DatabaseWorkbench","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"DataGrip","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"DBeaver","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DBEdit","desktop","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","?"
"DbVisualizer","desktop/CLI","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Epictetus","desktop","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"MicrosoftSQLServerManagementStudio","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"ModelRight","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?"
"MySQLWorkbench","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Some"
"Navicat","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"NavicatDataModeler","desktop","No","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","?"
"OracleEnterpriseManager","Browser-based","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"OracleSQLDeveloper","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Orbada","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"pgAdmin","TDI","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Some"
"phpLiteAdmin","Browser-based","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","?","?"
"phpMyAdmin","Browser-based","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SQLDatabaseStudio","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SQLyog","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?"
"SQuirreLSQL","desktop","?","?","?","?","Yes","Yes","?","?","Yes","Yes","Some","?"
"Toad","desktop","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ToadDataModeler","desktop","Yes","Yes","Yes","Yes","Some","Some","Some","Some","No","Yes","?","?"
"TOra","desktop","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
