"Manager","HTTP","HTTPS","FTP","SFTP","MMS","RTSP","Metalink","Magnetlink","Podcast","RTMP","BitTorrent","eDonkey"
"4KVideoDownloader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"BitComet","Yes","Yes","Yes","?","?","?","?","Yes","?","?","Yes","Yes"
"DownloadAcceleratorPlus","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"DownloadStudio","?","?","?","?","?","?","?","?","?","?","?","?"
"DownThemAll!","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No"
"FlashGet","Yes","1.7x,1.9x","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"FreeDownloadManager","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No"
"FreemakeVideoDownloader","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"FreeStudio","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"GetRight","Yes","Paidversiononly","Yes","No","No","No","Yes","?","Yes","No","Yes","No"
"Go!Zilla","?","?","?","?","?","?","?","?","?","?","?","?"
"InternetDownloadAccelerator","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No"
"InternetDownloadManager","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No"
"JDownloader","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No"
"Jigdo","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No"
"KGet","Yes","Yes","Yes","Yes","Yes","No","Yes","?","No","No","Yes","No"
"MicrosoftDownloadManager","Yes","Yes","?","?","?","?","?","?","?","?","?","?"
"MiniDM","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No"
"MLDonkey","Yes","?","Yes","?","No","No","No","?","No","No","Yes","Yes"
"Shareaza","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes"
"Manager","HTTP","HTTPS","FTP","SFTP","MMS","RTSP","Metalink","Magnetlink","Podcast","RTMP","BitTorrent","eDonkey"
