"Client","Messagetemplates","Messagetemplates","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Messagetemplates","Messagetemplates","Messagetemplates","Messagetemplates","Messagetemplatesindividualfor","Supportinmessagetemplatesscripts,programminglanguages"
"Client","new","Messagetemplatesindividualfor","reply","forward","readconfirmation","save","print","JavaScript","VBScript","PHPScripts","Python","Regularexpressions","Java","Other(specify)"
"Alpine","Yes","Yes","Yes","?","?","?","any","No","No","No","No","?","No","?"
"Becky!InternetMail","Yes","Yes","Yes","Yes","Yes","Yes","anyaccountfolder","?","?","?","?","?","?"
"Citadel","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ClawsMail","Yes","Yes","Yes","Yes","Yes","Yes","accountfolder","No","No","No","Yes","?","?","Perl"
"Courier","Yes","Yes","Yes","No","Yes","Yes","?","No","No","No","No","No","No","No"
"Elm","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"eMClient","Yes","Yes","Yes","Yes","Yes","Yes","account","No","No","No","No","No","No","No"
"Eudora","Yes","Yes","Yes","Yes","Yes","Yes","any","No","No","No","No","Yes","No","No"
"Evolution","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?"
"Gnus","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","Yes","No","elisp"
"GroupWise","Yes","No","No","Yes","Yes","?","?","?","?","?","?","?","?","?"
"Hiri","Yes","Yes","Yes","No","Yes","Yes","any","No","No","No","No","No","No","No"
"i.Scribe/InScribe","Yes","Yes","Yes","No","No","No","any","No","No","No","No","No","No","Internalmacros(similartoJavaScript)"
"IBMNotes","Yes","Yes","Yes","Yes","?","?","?","Yes","No","No","No","Yes","Yes","LotusScript,Formulalanguage"
"KMail","Yes","Yes","Yes","No","No","No","none","?","No","No","No","?","?","?"
"Mailpile","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MicrosoftEntourage","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","AppleScript,Automator"
"MicrosoftOfficeOutlook","Yes","Yes","Yes","Yes","?","?","?","No","No","?","No","?","No","?"
"MozillaMail&Newsgroups","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MozillaThunderbird","Yes","Yes","Yes","Yes","Yes","Yes","profile","Yes","?","?","?","?","?","?"
"Mulberry","Yes","Yes","Yes","Yes","?","?","?","No","No","No","No","?","?","?"
"Mutt","Yes","Yes","Yes","No","?","?","any","No","No","No","No","Yes","?","Internalmacros"
"NetscapeMessenger","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NetscapeMessenger9","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"nmh/MH","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OperaMail","No","No","No","No","No","No","N/A","No","No","No","No","No","No","No"
"OutlookExpress","Yes","Yes","?","Yes","?","?","?","Yes","Yes","?","?","?","?","?"
"PegasusMail","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","?"
"Pine","Yes","Yes","Yes","?","?","?","any","?","No","No","?","?","No","?"
"Pocomail","Yes","Yes","Yes","?","?","Yes","?","No","No","No","No","No","No","PocoScript"
"RoundCube","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?"
"SeaMonkeyMail&Newsgroups","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SquirrelMail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","?"
"Sylpheed","Yes","Yes","Yes","?","?","?","?","No","No","No","No","No","?","?"
"TheBat!","Yes","Yes","Yes","Yes","Yes","Yes","accountfolderaddressbookgroupcontact","Yes","Yes","Yes","Yes","Yes","PCRE6.2","Internalandpluginsmacros"
"Turnpike","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"WindowsLiveMail","Yes","Yes","?","Yes","?","?","?","Yes","No","?","?","?","?","?"
"WindowsMail","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"YAM","Yes","Yes","Yes","?","Yes","Yes","?","No","No","No","No","?","?","ARexx"
"Zimbra","Yes","Yes","Yes","Yes","Yes","Yes","any","No","No","No","No","No","?","?"
"Client","Messagetemplates","Messagetemplates","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Supportinmessagetemplatesscripts,programminglanguages","Messagetemplates","Messagetemplates","Messagetemplates","Messagetemplates","Messagetemplatesindividualfor","Supportinmessagetemplatesscripts,programminglanguages"
"Client","new","Messagetemplatesindividualfor","reply","forward","readconfirmation","save","print","JavaScript","VBScript","PHPScripts","Python","Regularexpressions","Java","Other(specify)"
