"Client","MicrosoftWindows","macOS","Linux","BSD","Unix","DOS","Other"
"Alpine","Yes","Yes","Yes","Yes","Yes","No","No"
"AppleMail","No","Yes","No","No","No","No","No"
"Balsa","No","No","Yes","Yes","No","No","No"
"Becky!InternetMail","Yes","No","No","No","No","No","No"
"Citadel","No","Yes","Yes","Yes","Yes","No","No"
"ClawsMail","Yes","Yes","Yes","Yes","Yes","No","No"
"Courier","Yes","No","No","No","No","No","No"
"Elm","No","Yes","Yes","Yes","Yes","No","No"
"eMClient","Yes","Yes","No","No","No","No","No"
"EmailTray","Yes","No","No","No","No","No","No"
"Eudora","Yes","Yes","No","No","No","No","No"
"Evolution","No","No","Yes","Yes","Yes","No","No"
"FortéAgent","Yes","No","No","No","No","No","No"
"Geary","No","No","Yes","Yes","Yes","No","No"
"Gnus","Yes","Yes","Yes","Yes","Yes","Yes","No"
"GroupWise","Yes","Yes","Yes","Yes","No","No","No"
"Hiri","Yes","Yes","Yes","No","Yes","No","No"
"i.Scribe/InScribe","Yes","Yes","Yes","No","No","No","No"
"IBMLotusNotes","Yes","Yes","Yes","No","Yes","No","No"
"IMP","Yes","Yes","Yes","Yes","Yes","No","No"
"KMail","No","Yes","Yes","Yes","Yes","No","No"
"Mailbird","Yes","Yes","No","No","No","No","No"
"Mailpile","Yes","Yes","Yes","Yes","Yes","No","No"
"mailx","No","No","Yes","Yes","Yes","No","No"
"MicrosoftEntourage","No","Terminated(2008)","No","No","No","No","No"
"MicrosoftOfficeOutlook","Yes","Yes","No","No","No","No","No"
"MozillaMail&Newsgroups","Terminated(1.7.13)","Terminated(1.7.13)","Terminated(1.7.13)","Terminated(1.7.13)","Terminated(1.7.13)","No","No"
"MozillaThunderbird","Yes","Yes","Yes","Yes","Yes","No","No"
"Mulberry","Yes","Yes","Yes","Yes","Yes","No","No"
"Mutt","Yes","Yes","Yes","Yes","Yes","Yes","No"
"NetscapeMessenger","Terminated(4.80)","Terminated(4.80)","Terminated(4.80)","Terminated(4.80)","Terminated(4.80)","No","No"
"NetscapeMessenger9","Terminated(9.0a1)","Terminated(9.0a1)","Terminated(9.0a1)","Terminated(9.0a1)","Terminated(9.0a1)","No","No"
"nmh/MH","No","Yes","Yes","Yes","Yes","No","No"
"OperaMail","Yes","Yes","Yes","Yes","?","No","No"
"OutlookExpress","Included(uptoXP)","No","No","No","No","No","No"
"PegasusMail","Yes","No","No","No","No","Yes","NetWareNLM"
"Pine","Yes","Yes","Yes","Yes","Yes","Terminated(3.96)","No"
"Pocomail","Yes","No","No","No","No","No","No"
"RoundCube","Yes","Yes","Yes","Yes","Yes","No","No"
"SeaMonkeyMail&Newsgroups","Yes","Yes","Yes","Yes","Yes","No","No"
"SquirrelMail","Yes","Yes","Yes","Yes","Yes","No","No"
"Sylpheed","Yes","Yes","Yes","Yes","Yes","No","No"
"TheBat!","Yes","No","No","No","No","No","No"
"Trojitá","Yes","Yes","Yes","Yes","Yes","No","MeeGo"
"Turnpike","Yes","No","No","No","No","No","No"
"WindowsLiveMail","Yes","No","No","No","No","No","No"
"WindowsMail","Included(Vista)","No","No","No","No","No","No"
"YAM","No","No","No","No","No","No","AmigaOSAROSMorphOS"
"Zimbra","Yes","Yes","Yes","Yes","Yes","No","No"
"Client","MicrosoftWindows","macOS","Linux","BSD","Unix","DOS","Other"
