"Client","HTMLemail","UTF-8support","Imageblocking","Junkfiltering","Junkfiltering","Phishingfiltering","Threadview","PGPsupport","S/MIMEsupport","S/MIMEsupport","S/MIMEsupport","Conversationview","PGPsupport","S/MIMEsupport"
"Client","HTMLemail","UTF-8support","Imageblocking","local","Phishingfiltering","Threadview","Conversationview","server-side","inline","PGP/MIMEorOpenPGP","protocol","OCSP","CRL","certificatesontokens,smartcardssupport"
"Alpine","Readonly","Yes","Yes","?","?","?","Yes","?","Yes","?","Yes","?","?","?"
"AppleMail","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","No","No","Yes","Yes","Yes","No"
"Becky!InternetMail","Yes","Yes","Yes","No","No","No","Yes","No","Yes","?","Yes","?","?","?"
"Citadel","Yes","Yes","No","Yes","?","?","No","?","?","?","?","?","?"
"ClawsMail","Read-only","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes"
"Courier","Yes","No","No","Yes","Yes","?","No","?","?","?","?","?","?","?"
"Elm","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"eMClient","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
"EmailTray","Yes","Yes","Yes","No","Yes","?","No","No","No","No","No","No","No","No"
"Eudora","Yes","No","Yes","Proonly","Proonly","?","Yes","No","Yes","Yes","Yes","?","?","?"
"Evolution","Yes","Yes","Yes","Yes","?","No","Yes","No","Yes","Yes","Yes","?","?","?"
"Gnus","Yes","Yes","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes","?","?","Yes"
"GroupWise","Yes","Yes","Yes","Yes","?","?","Yes","?","?","?","?","?","?","?"
"Hiri","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","No","No","No","No","No"
"i.Scribe/InScribe","Read-only","Yes","Yes","Yes","No","?","Yes","?","Yes","No","No","No","No","No"
"HCLNotes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes(4.1.2+)","Yes","Yes","Yes","Yes"
"KMail","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes(withGPG)","Yes(1.5+,withGPGME)","Yes","Yes","Yes","?"
"Mailbird","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No"
"Mailpile","?","Yes","?","?","?","?","?","Yes","?","Yes","?","?","?","?"
"MicrosoftEntourage","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","?","?","Yes"
"MicrosoftOfficeOutlook","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes(2010+)","No","No","Yes","?","Yes","Yes"
"MozillaMail&Newsgroups","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MozillaThunderbird","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Mulberry","Yes","Yes","Yes","No","Yes","?","Yes","?","Yes","Yes","Yes","?","?","?"
"Mutt","Read-only","Yes","Yes(nosupportforimages)","Yes","?","?","Yes","Yes","Yes","Yes","Yes","?","Yes(withGPGME)","?"
"NetscapeMessenger","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NetscapeMessenger9","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"nmh/MH","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OperaMail","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No"
"OutlookExpress","Yes","Yes","Yes","No","?","?","Yes","?","Yes","No","Yes","?","?","?"
"PegasusMail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes(sendingisbroken)","?","No","No","No"
"Pine","Read-only","Yes","Yes","No","?","?","Yes","?","Yes(withPinePrivacyGuard)","No","Yes","?","?","?"
"Pocomail","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"RoundCube","Yes","Yes","Yes","Yes","Yes","Yes(dependsonantivirus)","Yes","?","?","Yes","Yes","?","?","?"
"SeaMonkeyMail&Newsgroups","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","Yes"
"SquirrelMail","Yes","Yes","Yes","Yes","Yes","Yes(dependsonantivirus)","Yes","?","?","Yes","Yes","?","?","?"
"Sylpheed","No","Yes","Yes","Yes","?","?","Yes","?","No","Yes","?","?","?","?"
"TheBat!","Yes","Yes","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes","Partial","Partial","Yes"
"Trojitá","Readonly","Yes","Yes","No","Yes","No","Yes","Yes","No","Readonly","Readonly","Readonly","Readonly","Readonly"
"Turnpike","Read-only","?","?","?","?","?","?","?","?","?","?","?","?","?"
"WindowsLiveMail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?","?","?"
"WindowsMail","Yes","Yes","?","Yes","?","?","?","?","?","?","?","?","?","?"
"YAM","?","Yes","?","Yes","?","?","No","No","Yes","?","?","?","?","?"
"Zimbra","Yes","Yes","Yes","Yes","Yes","Yes(dependsonantivirus)","Yes","?","?","No","?","?","?"
"Client","HTMLemail","UTF-8support","Imageblocking","Junkfiltering","Junkfiltering","Phishingfiltering","Threadview","PGPsupport","S/MIMEsupport","S/MIMEsupport","S/MIMEsupport","Conversationview","PGPsupport","S/MIMEsupport"
"Client","HTMLemail","UTF-8support","Imageblocking","local","Phishingfiltering","Threadview","Conversationview","server-side","inline","PGP/MIMEorOpenPGP","protocol","OCSP","CRL","certificatesontokens,smartcardssupport"
