"Name","Developer/Manufacturer","ReleaseYear","CurrentModel?"
"datAshurPRO","iStorageLimited","2015","Yes"
"datAshurPRO²","iStorageLimited","-","Yes"
"diskAshurPRO²","iStorageLimited","2017","Yes"
"SafeStick","BlockMaster","2004","Yes"
"SafeStickSuperSonic","BlockMaster","2009","Yes"
"IronKeyS100","IronKey","2005","No"
"IronKeyS200","IronKey","2009","Yes"
"IronKeyD200","IronKey","2009","Yes"
"CryptX2","CryptX2/OpenSource","2012","Yes"
"DataTraveler5000","KingstonTechnology","2010","Yes"
"DataTravelerLocker+","KingstonTechnology","","Yes"
"DataTravelerVault","KingstonTechnology","","Yes"
"DataTravelerVault–PrivacyEdition","KingstonTechnology","","Yes"
"JumpDriveSecureIIPlus","Lexar","","Yes"
"IronClad","LockheedMartin","2010","Yes"
"CruzerEnterprise","SanDisk","","Yes"
"Store'n'GoCorporate","Verbatim","","Yes"
"KanguruDefender2000","KanguruSolutions","2012","Yes"
"Name","Developer/Manufacturer","ReleaseYear","CurrentModel?"
