"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"ArtificialCharactersDataset","Artificiallygenerateddatadescribingthestructureof10capitalEnglishletters.","Coordinatesoflinesdrawngivenasintegers.Variousotherfeatures.","6000","Text","Handwritingrecognition,classification","1992","","H.Guveniretal."
"LetterDataset","Uppercaseprintedletters.","17featuresareextractedfromallimages.","20,000","Text","OCR,classification","1991","","D.Slateetal."
"CASIA-HWDB","OfflinehandwrittenChinesecharacterdatabase.3755classesintheGB2312characterset.","Gray-scaledimageswithbackgroundpixelslabeledas255.","1,172,907","Images,Text","Handwritingrecognition,classification","2009","","CASIA"
"CASIA-OLHWDB","OnlinehandwrittenChinesecharacterdatabase,collectedusingAnotopenonpaper.3755classesintheGB2312characterset.","Providesthesequencesofcoordinatesofstrokes.","1,174,364","Images,Text","Handwritingrecognition,classification","2009","","CASIA"
"CharacterTrajectoriesDataset","Labeledsamplesofpentiptrajectoriesforpeoplewritingsimplecharacters.","3-dimensionalpentipvelocitytrajectorymatrixforeachsample","2858","Text","Handwritingrecognition,classification","2008","","B.Williams"
"Chars74KDataset","CharacterrecognitioninnaturalimagesofsymbolsusedinbothEnglishandKannada","","74,107","","Characterrecognition,handwritingrecognition,OCR,classification","2009","","T.deCampos"
"UJIPenCharactersDataset","Isolatedhandwrittencharacters","Coordinatesofpenpositionascharacterswerewrittengiven.","11,640","Text","Handwritingrecognition,classification","2009","","F.Pratetal."
"GisetteDataset","Handwritingsamplesfromtheoften-confused4and9characters.","Featuresextractedfromimages,splitintotrain/test,handwritingimagessize-normalized.","13,500","Images,text","Handwritingrecognition,classification","2003","","YannLeCunetal."
"Omniglotdataset","1623differenthandwrittencharactersfrom50differentalphabets.","Hand-labeled.","38,300","Images,text,strokes","Classification,one-shotlearning","2015","","AmericanAssociationfortheAdvancementofScience"
"MNISTdatabase","Databaseofhandwrittendigits.","Hand-labeled.","60,000","Images,text","Classification","1998","","NationalInstituteofStandardsandTechnology"
"OpticalRecognitionofHandwrittenDigitsDataset","Normalizedbitmapsofhandwrittendata.","Sizenormalizedandmappedtobitmaps.","5620","Images,text","Handwritingrecognition,classification","1998","","E.Alpaydinetal."
"Pen-BasedRecognitionofHandwrittenDigitsDataset","Handwrittendigitsonelectronicpen-tablet.","Featurevectorsextractedtobeuniformlyspaced.","10,992","Images,text","Handwritingrecognition,classification","1998","","E.Alpaydinetal."
"SemeionHandwrittenDigitDataset","Handwrittendigitsfrom80people.","Allhandwrittendigitshavebeennormalizedforsizeandmappedtothesamegrid.","1593","Images,text","Handwritingrecognition,classification","2008","","T.Srl"
"HASYv2","Handwrittenmathematicalsymbols","Allsymbolsarecenteredandofsize32pxx32px.","168233","Images,text","Classification","2017","","MartinThoma"
"NoisyHandwrittenBanglaDataset","IncludesHandwrittenNumeralDataset(10classes)andBasicCharacterDataset(50classes),eachdatasethasthreetypesofnoise:whitegaussian,motionblur,andreducedcontrast.","Allimagesarecenteredandofsize32x32.","NumeralDataset:23330,CharacterDataset:76000","Images,text","Handwritingrecognition,classification","2017","","M.Karkietal."
