"Client","License","Firststablerelease","Firststablerelease","Lateststablerelease"
"Client","License","Date","Lateststablerelease","Version"
"Akregator","GPL","?","?","21.12.2(3February2022;45daysago(3February2022))[±]"
"Amarok","GPL-2.0-or-later","?","?","2.9.71(January31,2021;13monthsago(2021-01-31))[±]"
"AOLExplorer","Proprietary","June,2005","1.0","1.5(May10,2006)"
"Avant","Proprietary","August,2004","?","2020build3(March17,2020;2yearsago(2020-03-17))[±]"
"Awasu","Proprietary","February,2003","1.0","3.2(April26,2018)"
"BlogBridge","GPL","?","?","6.7"
"Bloglines","Proprietary","?","?","MergedwithNetVibes"
"Canto","GPL-2.0-only","January14,2009","0.6.0","0.9.7(July31,2017)"
"ClawsMail","GPL-3.0-or-later","January,2005","1.0.0","4.0.010July2021"
"CommaFeed","Apache-2.0","?","?","2.4.0(August1,2017)"
"Cooliris","?","?","?","?"
"DiggReader","Proprietary","?","?","DiscontinuedonMarch26,2018"
"FeedViewer","Proprietary","April,2006","1.0","Windows150.2.10(August10,2021)iOS0.1.39(August10,2021)"
"FeedDemon","Proprietary","?","?","4.5.0.0(FinalreleaseonJune19,2013)"
"Feedly","Proprietary","2008","?","(website,continuousupdates)"
"Feedreader","Proprietary","?","?","3.14(April20,2009)"
"Flipboard","Proprietary","?","?",""
"Flock","Proprietary","November2,2007","1.0","3.5.3.4641(February1,2011;11yearsago(2011-02-01))[±]"
"Gnus","GPL-3.0-or-later","February1,1988","?",""
"GoogleReader","Proprietary","September17,2007","2.0","DiscontinuedonJuly1,2013"
"IBMLotusNotes","Proprietary","1989","1.0","11.0.1(March31,2020;23monthsago(2020-03-31))[±]"
"Inoreader","Proprietary","?","?","(website,continuousupdates)"
"iTunes","Proprietaryfreeware","?","?",""
"Juice","GPL-2.0-or-later","?","?","2.2"
"K-Meleon","GPL","November26,2000","0.2","76.4G(February12,2021;13monthsago(2021-02-12))[±]"
"Kazehakase","GPL-2.0-or-later","January29,2003","?","0.5.8(September29,2009;12yearsago(2009-09-29))[±]"
"Liferea","GPL","?","?","1.12.928August2020"
"AppleMail","Proprietary","?","?","5.2(1257)(February1,2012)"
"Maxthon","Proprietary","September8,2005","1.0.0250","Windows6.1.2.3000/September24,2021;5monthsago(2021-09-24)Android6.0.2.3500/December9,2021;3monthsago(2021-12-09)Mac5.1.60/August27,2018;3yearsago(2018-08-27)iOS6.0.6/December14,2021;3monthsago(2021-12-14)WindowsPhone2.2.0/March30,2017;4yearsago(2017-03-30)Linux1.0.5.3/September9,2014;7yearsago(2014-09-09)","Windows","6.1.2.3000/September24,2021;5monthsago(2021-09-24)","Android","6.0.2.3500/December9,2021;3monthsago(2021-12-09)","Mac","5.1.60/August27,2018;3yearsago(2018-08-27)","iOS","6.0.6/December14,2021;3monthsago(2021-12-14)","WindowsPhone","2.2.0/March30,2017;4yearsago(2017-03-30)","Linux","1.0.5.3/September9,2014;7yearsago(2014-09-09)"
"Windows","6.1.2.3000/September24,2021;5monthsago(2021-09-24)"
"Android","6.0.2.3500/December9,2021;3monthsago(2021-12-09)"
"Mac","5.1.60/August27,2018;3yearsago(2018-08-27)"
"iOS","6.0.6/December14,2021;3monthsago(2021-12-14)"
"WindowsPhone","2.2.0/March30,2017;4yearsago(2017-03-30)"
"Linux","1.0.5.3/September9,2014;7yearsago(2014-09-09)"
"MediaMonkey","Freemium","?","?","5.0.2.2531(December22,2021;2monthsago(2021-12-22))[±]"
"MicrosoftOfficeOutlook","Proprietary/Commercialsoftware","1997","97","15.0.4517.1509(January29,2013)"
"MozillaFirefox","MPL-2.0","September23,2002","0.1","BuiltinRSSreaderwasremovedinVersion64,Availableasanadd-on.Standard98.0.1/14March2022;6daysago(14March2022)ExtendedSupportRelease91.7.1esr/14March2022;6daysago(14March2022)","Standard","98.0.1/14March2022;6daysago(14March2022)","ExtendedSupportRelease","91.7.1esr/14March2022;6daysago(14March2022)"
"Standard","98.0.1/14March2022;6daysago(14March2022)"
"ExtendedSupportRelease","91.7.1esr/14March2022;6daysago(14March2022)"
"MozillaThunderbird","MPL-2.0","December7,2004","1.0","91.7.08March2022"
"MyYahoo!","","?","?","?"
"NetNewsWire","MIT","February11,2003","1.0","5.1.1(October5,2020)"
"NetscapeBrowser","Proprietary","May19,2005","8.0","8.1.3(April2,2007;14yearsago(2007-04-02))[±]"
"NetscapeNavigator9","Proprietary","October15,2007","9.0","9.0.0.6(February20,2008)"
"Netvibes","Proprietary","?","?","?"
"News360","Proprietary","November,2010","?","?"
"NewsBlur","MIT","October26,2010","1.0","4.0"
"NewsFire","Proprietary","?","?","2.0"
"OmniWeb","Proprietary","March17,1995","1.0","5.11.2(July23,2012;9yearsago(2012-07-23))[±]"
"OperaMail","Proprietary","December,1996","2.1","1.0.1044(February16,2016;6yearsago(2016-02-16))[±]"
"PegasusMail","Proprietary,Donationware","1990","?","4.73(7June2018;3yearsago(2018-06-07))[±]"
"Protopage","Proprietary","May,2005","1.0","11.43(December2015)"
"Pulse","?","?","?","?"
"QuiteRSS","GPL-3.0-or-later","Dec,2014","0.14.0","0.19.3(01.29.2020)"
"Rhythmbox","GPL-2.0-or-later","?","?","3.4.4(January4,2020;2yearsago(2020-01-04))[±]"
"RSSBandit","BSD-3-Clause","March,2003","1.0","1.9.0.1002(July4,2010)"
"RSSGuard","GPL-3.0-only","February4,2014","1.9.9.3","4.1.210January2022"
"RSSOwl","EPL-1.0","December19,2004","1.0","2.2.1(December30,2013;8yearsago(2013-12-30))[±]"
"Safari","Proprietary","?","?","macOS15.0/10February2022;38daysago(10February2022)iOS15.0/10February2022;38daysago(10February2022)","macOS","15.0/10February2022;38daysago(10February2022)","iOS","15.0/10February2022;38daysago(10February2022)"
"macOS","15.0/10February2022;38daysago(10February2022)"
"iOS","15.0/10February2022;38daysago(10February2022)"
"Sage","MPL-1.1","?","?","1.5.5(June16,2017)"
"Shiira","BSD-3-Clause","?","?","2.3(August11,2009;12yearsago(2009-08-11))[±]"
"Sleipnir","Proprietary","October,2005","2.00","Windows(Sleipnir6)6.4.15(December16,2021;3monthsago(2021-12-16))Windows(Sleipnir4)4.7.14(December16,2021;3monthsago(2021-12-16))macOS4.7.9(March2,2021;12monthsago(2021-03-02))iOS4.6.11(November25,2021;3monthsago(2021-11-25))Android3.5.28Update1(October29,2021;4monthsago(2021-10-29))[±]"
"Songbird","GPL","?","?","2.2.0,Build2453(February4,2013;9yearsago(2013-02-04))[±]"
"TheBat!","Shareware","March,1998","1.00Build1310","9.5(December21,2021;2monthsago(2021-12-21))[±]"
"TheOldReader","Proprietary","June12,2012","Beta","Beta"
"TinyTinyRSS","GPL-3.0-or-later","?","?","rollingreleases,mostrecentFebruary2019"
"Winamp","Freemium","?","?","5.666.3516(December12,2013;8yearsago(2013-12-12))[±]"
"WindowsLiveMail","Proprietary","?","?","2012(v16.4.3528.0331)(November4,2014;7yearsago(2014-11-04))[±]"
"Zimbra","Zimbralicensing","March,2006","3.5","7.1.3(November,2011)"
"Zune","Proprietary","?","?","4.08.2345(August22,2011;10yearsago(2011-08-22))[±]"
"Client","License","Date","Version","Lateststablerelease"
"Firststablerelease","Client","License","Firststablerelease","Lateststablerelease"
