"Name","Creator","FOSS","Free","Firstpublicreleasedate","Yearoflateststableversion","Windows","Macintosh","Linux","Otherplatforms","Maxsupportedfilesize"
"BeyondCompare","ScooterSoftware","No;Proprietary","No","1996","2021-12-20(v4.4.1)","Yes","Yes","Yes","",">2GB(64bits)"
"Compare++","CoodeSoftware","No;Proprietary","No","2010","2016-7-17(3.0.1.0b)","Yes","No","No","",""
"diff,diff3","AT&T","Yes;BSD3-clause,BSD4-clause,CDDL,GPL,Proprietary","Yes","1974","","No","Yes(MacOSX)","Yes","portedtomostplatformsaspartofSCCS",">2GBbutlessthan64bits"
"Eclipse(compare)","","Yes;EclipsePublicLicense","Yes","2004-07-21","2016-09-28(4.6.1(Neon.1))","Yes","Yes","Yes","AnythingwithJava",""
"Ediff","MichaelKifer","Yes;GPL","Yes","1994","2.81.4","Yes","Yes(MacOSX)","Yes","AnythingwithEmacsanddiff",""
"ExamDiffPro","PrestoSoft","No;Proprietary","No","1998","2020-12-10(v11.0.1.11)","Yes(Win98andup)","No","No","",""
"FarManager(compare)","EugeneRoshal(original);FARGroup","Yes;RevisedBSDlicense","Yes","1996","2020-11-12(v3.0build5700)","Yes","No","No","",""
"fc","Microsoft","No;Proprietary","Yes;PartofOS","1987","","Yes(DOS)","No","No","",""
"FileMerge(akaopendiff)","AppleInc.","No;Proprietary","Yes;(partofAppleDeveloperTools)","1993(partofNEXTSTEP3.2)","2014(v2.8)","No","Yes(MacOSX)","No","",""
"FreeFileSync","Zenju","Yes;GPLv3","Yes","2008","2020-12-04(v11.4)","Yes","Yes","Yes","",""
"GuiffySureMerge","GuiffySoftware","No;Proprietary","No","2000","2022-02-08(v12.0)","Yes","Yes","Yes","AnythingwithJava",">2GB"
"IntelliJIDEA(compare)","JetBrains","No;Proprietary","No","2001","2019-08-20(2019.2.1)","Yes","Yes","Yes","",""
"jEditJDiffplugin","Various","Yes;GPL","Yes","1998","2020-09-03(5.6.0)","Yes","Yes","Yes","AnythingwithJava",""
"LazarusDiff","Lazarus(software)","Yes;GPL","Yes","2000","2020-07-11(2.0.10)","Yes","Yes","Yes","FreeBSD",""
"Meld","StephenKennedy","Yes;GPLv2+","Yes","2002","2020-02-16(3.20.2)","Yes","Yes","Yes","BSD,Solaris",""
"Notepad++(compare)","Various","Yes;GPLv3","Yes","2009","2015-01-06(1.5.6.6)","Yes","No","No","",""
"PerforceP4Merge","Perforce","No;Proprietary","Yes","","2019(2019.1/1815056)","Yes","Yes","Yes","SunSolaris",""
"PrettyDiff","AustinCheney","Yes;MIT-compatible","Yes","2009","2019-09-02(101.2.6)","Yes(Web)","Yes(Web)","Yes(Web)","Node.js",""
"Tkdiff","Tkdiff","Yes;GPLv2+","Yes","2003(orbefore)","2021-03-24(v5.2.1)","Yes(Tcl)","Yes(Tcl)","Yes(Tcl)","AnythingwithTcl",""
"TotalCommander(compare)","ChristianGhisler","No;Proprietary","No","","2020-03-25(v9.51)","Yes","No","No","",""
"twdiff(TextWranglerDiffHelper)","BareBonesSoftware,Inc.","No;Proprietary","Yes;withTextWrangler","","2012(1.0(v22))","No","Yes","No","No",""
"vimdiff","BramMoolenaaretal.","Yes;GPL-compatible","Yes","2001","2016-10-03(v8.0.0022)","Yes","Yes","Yes","Anythingwithvim",""
"WinDiff","Microsoft","No;Proprietary","Yes;PartofPlatformSDK","1992","2010-05-14(v6.1.7716.0)","Yes","No","No","No",""
"WinMerge","DeanGrimm","Yes;GPL","Yes","1998","2021-04-29(v2.16.12)","Yes(Win95andup)","Yes(inwine)","Yes(inwine)","","2GB"
"UCC","USCCSSE","No;USC-CSSELimitedPublicLicense","Yes","2009","2015-12-30(2015.12)","Yes","Yes","Yes{2.6.9}","SunSolaris",""
"Name","Creator","FOSS","Free","Firstpublicreleasedate","Yearoflateststableversion","Windows","Macintosh","Linux","Otherplatforms","Maxsupportedfilesize"
