"Name","ZIPsupport","FTPsupport","SFTPsupport","Versioncontrolbrowsing","Patchcreation","Patchapplication","Patchpreview","Unicodesupport","XML-aware"
"BeyondCompare","Yes","Yes","Yes","SVN","Yes","Yes","Yes","Yes",""
"Compare++","","","","SVN,CVS,Git,MicrosoftTFS,Perforce,VSSusingcommandline","","","","Yes",""
"diff","No","No","","No","Yes","Yeswithpatch","Yeswithpatch","No","No"
"diff3","No","No","","","","","","","No"
"Eclipse(compare)","","","","YesCVS,Subversion,Git,Mercurial,Baazar","","","","Yes",""
"Ediff","Yes","Yes","","RCS,CVS,SVN,Mercurial,git(anythingsupportedbyEmacs'VC-mode)","Yes","Yes","Yes","",""
"ExamDiffPro","Yes","Yes","","","normaldiffonly","","","Yes",""
"FarManager(compare)","No","No","","No","No","No","No","Yes","No"
"fc","No","No","","","No","","","",""
"FileMerge(akaopendiff)","No","supportedbyOS","","","No","","","No","No"
"GuiffySureMerge","Yes","","","","Yes","Yes","Yes","Yes",""
"IntelliJIDEA(compare)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"jEditJDiffplugin","Yes","Yes","","Yes","Yes","Yes","Yes","Yes",""
"LazarusDiff","","","","","","","","",""
"Meld","","","","CVS,Subversion,Git,Mercurial,Baazar","Yes","","","Yes",""
"Notepad++(compare)","No","Yes","","Git,Subversion(compareagainstbase)","No","No","No","Yes","No"
"PerforceP4Merge","","","","No","","","","Yes",""
"PrettyDiff","No","No","No","No","No","No","No","Yes","Yes"
"Tkdiff","No","No","","CVS,RCS,Subversion","No","No","No","No","No"
"TotalCommander(compare)","Yes","Yes","Yes","No","No","No","No","Yes","No"
"vimdiff","Yes","Yes","","","Yes","","","Yes",""
"WinDiff","No","No","","","No","","","No",""
"WinMerge","Yes","No","","Mercurial,Subversion,VisualSourceSafe,RationalClearCase","Yes","","","Yes",""
"UCC","Yes","No","","","","","","Yes",""
"Name","ZIPsupport","FTPsupport","SFTPsupport","Versioncontrolbrowsing","Patchcreation","Patchapplication","Patchpreview","Unicodesupport","XML-aware"
