"Name","UnicodeSupport","Singleparentfamily","Samesexmarriage","Witnesstoevents","Namevariants","Conflictingevidence","Sourcesurety","Adoption&fosterparent","non-standardcalendarindatefields"
"AgelongTree","Yes","Yes","No","Yes","Yes","?","Yes","Yes","Yes"
"Ahnenblatt","Yes","Yes","Yes","Partialchristeningandmarriageonly","Yes","?","Yes","Yes","Yes"
"AncestralQuest","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?"
"Ancestris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Brother'sKeeper","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"FamilyHistorian","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FamilyTreeBuilder","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes"
"FamilyTreeMaker","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"GEDitCOMII","Yes","?","Yes","?","?","?","?","?","?"
"GenboxFamilyHistory","Yes","?","?","?","?","?","?","?","?"
"GenealogyJ","Yes","?","PartialOnepartner'sgendermislabelled","No","Yes","Yes","?","Yes","?"
"GenoPro","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gramps","Yes","Yes","PartialOnepartner'sgendermislabelled","Yes","Yes","?","Yes","Yes","Yes"
"Heredis","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"LegacyFamilyTree","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"LifeLines","Yes","?","No","?","?","?","?","?","?"
"MacFamilyTree","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PersonalAncestralFile","Yes","?","No","?","?","?","?","?","?"
"Reunion","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"RootsMagic","Yes","?","Yes","Yes(paidversion)","Yes","Yes","Yes","Yes","Yes"
"TheMasterGenealogist","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
