"Manager","Creator(s)","Firstpublicreleasedate","Lateststableversion","Downloadablewithoutpaying?","Softwarelicense","Windows","MacOSX","Linux"
"Amarok","MarkKretschmann","2003-06-23","2.9.71(January31,2021;13monthsago(2021-01-31))[±]","Yes","GPL","Yes","Experimental(leopard)","Yes"
"Banshee","AaronBockover","2005-08","2.6.2(February18,2014;8yearsago(2014-02-18))[±]","Yes","MIT","Experimental","Experimental","Yes"
"Clementine","DavidSansome,JohnMaguire","February2010","1.3.1(April19,2016;5yearsago(2016-04-19))[±]","Yes","GPLv3","noiPodsupport","Yes","Yes"
"ephPod","ephpod","?","2.77(January16,2009)","Yes","?","Yes(XP,NT,2k)","No","No"
"gtkpod","JorgSchuler","?","2.1.5(Jun2,2015)","Yes","GPL","No","No","Yes"
"iRip","TheLittleAppFactory","2003-09","2.1(Mac)(May6,2011;10yearsago(2011-05-06))[±]1.0.1.25(Windows)(8April2010;11yearsago(2010-04-08))[±]","No","Proprietary","Yes","Yes","No"
"iTunes","AppleInc.","2001-01-08","","Yes","Proprietary","Yes","Yes","No"
"JRiverMediaCenter","J.River","2003-07","28.0.63(September10,2021;6monthsago(2021-09-10))[±]","Yes(trial)","Proprietary","Yes","Yes","No"
"MediaMonkey","VentisMediaInc.","2003-08-25","5.0.2.2531(December22,2021;2monthsago(2021-12-22))[±]","Yes(Standard)","Proprietary","Yes","No","No"
"Rhythmbox","ColinWalters","2004-04","3.4.4(January4,2020;2yearsago(2020-01-04))[±]","Yes","GPL","No","No","Yes"
"Senuti","FadingRed","2006-04-26","1.1.7(Oct6,2009)","Yes(limitedtrial)","Proprietary","No","Yes","No"
"Winampnative","Nullsoft","1997-06","5.666.3516(December12,2013;8yearsago(2013-12-12))[±]","Yes(Bundle&Full)","Proprietary","Yes","No","No"
"XPlay","Mediafour","2002-06-24","3.5.0(Dec30,2009)","No","Proprietary","Yes","No","No"
"Manager","Creator(s)","Firstpublicreleasedate","Lateststableversion","Downloadablewithoutpaying?","Softwarelicense","Windows","MacOSX","Linux"
