"IDE","License","Platform","Developer","Lateststablerelease"
"Code::Blocks","GPL","Windows,Linux,macOS,FreeBSD,OpenBSD,Solaris","Code::BlocksTeam","17.12/2017-12-30"
"Geany","GPL","Windows,Linux,macOS,FreeBSD,AIX,OpenBSD,Solaris,otherUnix","Team","1.37.1/November8,2020"
"GNATProgrammingStudio","GPL","Windows,Linux,macOS,DragonFlyBSD,FreeBSD,NetBSD,OpenBSD,Solaris","AdaCore","4.3.1/June2009"
"KDevelop","GPL","Linux","KDevelopTeam","5.5.1(May5,2020;22monthsago(2020-05-05))[±]"
"NetBeans","ApacheLicense","Windows,Linux,macOS","NetBeansCommunity","13(4March2022)[±]"
"OpenWatcom","OSIApproved","Windows,Linux,DOS,OS/2","OpenWatcomCommunity","1.9/June2,2010"
"Plato","Proprietary","Windows","Silverfrost","4.7.3.0"
"Understand","Proprietary","Windows,Linux,macOS,Solaris,otherUnix","SciTools","December4,2015"
"SimplyFortran","Proprietary","Windows,Linux,macOS","Approximatrix,LLC","3.14/August12,2020"
"SlickEdit","Proprietary","Windows,Linux,MacOS,AIX,Solaris,SolarisSPARC,HP-UX","SlickEdit","October2016"
"IntelliJIDEA","ASLv2","Windows,Linux,MacOS,FreeBSD,OpenBSD,Solaris","JetBrains","September2017"
