"","","","MSHTML","EdgeHTML","Gecko","WebKit","KHTML","Presto"
"Numbers","Numbers","Numbers","Numbers","Numbers","Numbers","Numbers","Numbers","Numbers"
"CSS2","<number>","Afloating-pointnumber","3.0","12","1.0","85","Yes","1.0"
"CSS2","<length>","<number>followedbyunits","3.0","12","1.0","85","Yes","1.0"
"CSS2","<percentage>","<number>followedby%","3.0","12","1.0","85","Yes","1.0"
"CSS2","<integer>","Aninteger","3.0","12","1.0","85","Yes","1.0"
"css-values-3","<angle>","<number>angle-unit","9.0","12","Yes","Partial","Partial","Partial"
"css-values-3","<time>","<number>time-unit","9.0","12","2.0","Yes","Yes","2.5"
"css-values-3","<frequency>","<number>frequency-unit","Yes","Yes","No","No","No","No"
"css-values-3","<fraction>","No","No","No","No","Remainingspace","No","No"
"Strings","Strings","Strings","Strings","Strings","Strings","Strings","Strings","Strings"
"CSS2","<string>","String","3.0","12","1.0","85","Yes","1.0"
"CSS2","\code","Unicodeescapes","6.0","12","1.0","85","Yes","1.0"
"Functions","Functions","Functions","Functions","Functions","Functions","Functions","Functions","Functions"
"CSS2","rect()","Arectangle","8.0","12","1.0","85","Yes","1.0"
"CSS2","url()","UniformResourceIdentifier","3.0","12","1.0","85","Yes","1.0"
"CSS2","counter()","","12","1.0","85","Yes","1.0","8.0"
"CSS2","attr()","8.0","Attributeidentifier","12","1.0","85","Yes","1.0"
"css-values-3","calc()","","9.0","12","16.0","Yes","No","No"
"css-values-3","toggle()","Togglingbetweenvalues","No","No","No","No","No","No"
"css-grid-1?","repeat()","Repeatntimes","No","No","32.0","No","No","No"
"Colors","Colors","Colors","Colors","Colors","Colors","Colors","Colors","Colors"
"CSS2","HTML4colorkeywords","16predefinedwebcolors","3.0","12","1.0","85","Yes","1.0"
"CSS2","#rrggbbor#rgb","Hexadecimalnotation","3.0","12","1.0","85","Yes","1.0"
"CSS2","rgb(r,g,b)","RGBnotation","4.0","12","1.0","85","Yes","1.0"
"CSS2","systemcolors","28predefinedsystemcolors","3.0","12","1.0","85","Yes","1.0"
"css-color-3","SVGcolorkeywords","","8.0","12","Yes","Yes","Yes","Yes"
"css-color-3","currentColor","Thevalueofthecolorproperty.","9.0","12","1.8","528","Yes","2.1"
"css-color-3","rgba(r,g,b,a)","9.0","RGBAnotation","1.9","12","525","4.0","2.2"
"css-color-3","hsl(h,s,l)","9.0","525","HSLnotation","1.5","12","3.5.5","2.1"
"css-color-3","hsla(h,s,l,a)","9.0","525","HSLAnotation","1.9","12","3.5.5","2.2"
"css-color-3","transparent","Fulltransparency","525","9.0","12","1.9","4.0","Partial"
"Imagevalues","Imagevalues","Imagevalues","Imagevalues","Imagevalues","Imagevalues","Imagevalues","Imagevalues","Imagevalues"
"CSS2","<url>","Imagetypes","3.0","12","1.0","85","Yes","1.0"
"css-images-3","<sprite>","Imagetypes","No","No","No","No","No","No"
"css-images-3","<image-list>","No","No","No","Imagetypes","No","No","No"
"css-images-3","<linear-gradient>","10.0","Imagetypes","12","16.0","No","Yes","Experimental"
"css-images-3","10.0","12","16.0","Yes","Experimental","<radial-gradient>","Imagetypes","No"
"css-images-3","10.0","12","16.0","Yes","Experimental","linear-gradient()","Colorgradients","No"
"css-images-3","Colorgradients","10.0","12","16.0","Yes","Experimental","radial-gradient()","No"
"css-images-3","Colorgradients","10.0","12","16.0","Yes","Experimental","repeating-linear-gradient()","No"
"css-images-3","Colorgradients","10.0","12","16.0","Yes","Experimental","repeating-radial-gradient()","No"
"css-images-4","conic-gradient()","","No","No","No","No","No","No"
"css-images-4","repeating-conic-gradient()","","No","No","No","No","No","No"
"css-images-4","element()","Reproduceelement","No","No","Experimental","No","No","No"
"css-images-4","cross-fade()","Transitioningbetweenimages","No","No","No","No","No","No"
"css-images-4","image-set()","Resolutionnegotiation","No","No","No","No","No","No"
"CounterStyles","CounterStyles","CounterStyles","CounterStyles","CounterStyles","CounterStyles","CounterStyles","CounterStyles","CounterStyles"
"css-counter-styles-3","symbols()","AnonymousCounterStyles","No","No","No","No","No","No"
"Keywords","Keywords","Keywords","Keywords","Keywords","Keywords","Keywords","Keywords","Keywords"
"CSS2","auto","Automaticallycalculated","6.0","12","1.0","85","Yes","1.0"
"CSS2","inherit","Inheritedfromtheparent","8.0","12","1.0","85","Yes","1.0"
"css-values-3","initial","","No","13","19.0","125","No","No"
"Units","Units","Units","Units","Units","Units","Units","Units","Units"
