"","MSHTML","Gecko","WebKit","KHTML","Presto"
"Basictableelements","Basictableelements","Basictableelements","Basictableelements","Basictableelements","Basictableelements"
"table","<3.1","1.0","Yes","Yes","1.0"
"caption","<3.1","1.0","Yes","Yes","1.0"
"tr","<3.1","1.0","Yes","Yes","1.0"
"th","<3.1","1.0","Yes","Yes","1.0"
"td","<3.1","1.0","Yes","Yes","1.0"
"Rowgroups","Rowgroups","Rowgroups","Rowgroups","Rowgroups","Rowgroups"
"thead","<3.1","1.0","Yes","Yes","1.0"
"tbody","<3.1","1.0","Yes","Yes","1.0"
"tfoot","<3.1","1.0","Yes","Yes","1.0"
"Columngroups","Columngroups","Columngroups","Columngroups","Columngroups","Columngroups"
"colgroup","<3.1","1.0","Yes","Yes","1.0"
"col","<3.1","1.0","Yes","Yes","1.0"
