"","MSHTML","Gecko","WebKit","Presto"
"Thecanvasstate","Thecanvasstate","Thecanvasstate","Thecanvasstate","Thecanvasstate"
"save","5.0","1.8","Yes","2.0"
"restore","5.0","1.8","Yes","2.0"
"Transformations","Transformations","Transformations","Transformations","Transformations"
"scale","5.0","1.8","Yes","2.0"
"rotate","5.0","1.8","Yes","2.0"
"translate","5.0","1.8","Yes","2.0"
"transform","5.0","1.8","Yes","2.6"
"setTransform","5.0","1.8","Yes","2.6"
"Compositing","Compositing","Compositing","Compositing","Compositing"
"globalAlpha","5.0","1.8","Yes","2.0"
"globalCompositeOperation","5.0","1.8","Yes","2.0"
"Colorsandstyles","Colorsandstyles","Colorsandstyles","Colorsandstyles","Colorsandstyles"
"strokeStyle","5.0","1.8","Yes","2.0"
"fillStyle","5.0","1.8","Yes","2.0"
"createLinearGradient","5.0","1.8","Yes","2.0"
"createRadialGradient","5.0","1.8","Yes","2.0"
"createPattern","5.0","1.8","Yes","2.0"
"Linestyles","Linestyles","Linestyles","Linestyles","Linestyles"
"lineWidth","5.0","1.8","Yes","2.0"
"lineCap","5.0","1.8","Yes","2.0"
"lineJoin","5.0","1.8","Yes","2.0"
"miterLimit","5.0","1.8","Yes","2.0"
"Shadows","Shadows","Shadows","Shadows","Shadows"
"shadowOffsetX","5.0","1.9.1","Yes","2.4"
"shadowOffsetY","5.0","1.9.1","Yes","2.4"
"shadowBlur","5.0","1.9.1","Yes","2.4"
"shadowColor","5.0","1.9.1","Yes","2.4"
"Simpleshapes","Simpleshapes","Simpleshapes","Simpleshapes","Simpleshapes"
"clearRect","5.0","1.8","Yes","2.0"
"fillRect","5.0","1.8","Yes","2.0"
"strokeRect","5.0","1.8","Yes","2.0"
"Complexshapes","Complexshapes","Complexshapes","Complexshapes","Complexshapes"
"beginPath","5.0","1.8","Yes","2.0"
"closePath","5.0","1.8","Yes","2.0"
"moveTo","5.0","1.8","Yes","2.0"
"lineTo","5.0","1.8","Yes","2.0"
"quadraticCurveTo","5.0","1.8.1","Yes","2.0"
"bezierCurveTo","5.0","1.8","Yes","2.0"
"arcTo","5.0","1.8.1","Yes","2.0"
"rect","5.0","1.8","Yes","2.0"
"arc","1.8","5.0","Yes","2.0"
"fill","1.8","5.0","Yes","2.0"
"stroke","1.8","5.0","Yes","2.0"
"clip","1.8","5.0","Yes","2.0"
"isPointInPath","1.8","5.0","Yes","2.0"
"Focusmanagement","Focusmanagement","Focusmanagement","Focusmanagement","Focusmanagement"
"drawFocusRing","No","28.0","No","No"
"Text","Text","Text","Text","Text"
"font","5.0","1.9.1","Yes","No"
"textAlign","5.0","1.9.1","Yes","2.6"
"textBaseline","2.6","5.0","1.9.1","Yes"
"fillText","2.6","5.0","1.9.1","Yes"
"strokeText","2.6","5.0","1.9.1","Yes"
"measureText","2.6","5.0","1.9.1","Yes"
"Images","Images","Images","Images","Images"
"drawImage","5.0","1.8","Yes","2.0"
"createImageData","5.0","1.9.1","Yes","2.7"
"getImageData","5.0","1.9","Yes","2.6"
"putImageData","5.0","2.6","2.0","Yes"
