"Profile","Element","MSHTML","Gecko","WebKit","Blink","Presto","KSVG","Prince","Amaya","AdobeSVGViewer","Batik","Renesis","LeonLabs"
"StructureModule","StructureModule","StructureModule","StructureModule","StructureModule","StructureModule","StructureModule","StructureModule","StructureModule","StructureModule","StructureModule","StructureModule"
"Tiny","svg","5.0","1.8","522","?","1.0","Yes","Yes","Yes","1.0","Yes","Yes","1.0"
"Tiny","g","5.0","1.8","522","?","2.0","Yes","Yes","Yes","1.0","Yes","1.0","1.0"
"Tiny","2.0","1.0","defs","5.0","1.8","522","?","6.0","Yes","?","1.0","Yes","1.0"
"Tiny","2.0","1.0","desc","5.0","1.8","522","?","No","No","?","1.0","Yes","1.0"
"Tiny","No","No","2.0","1.0","title","5.0","1.8","522","?","?","3.0","Yes","1.0"
"Tiny","2.0","No","1.0","metadata","5.0","1.8","522","?","?","?","2.0","Yes","1.0"
"Tiny","2.0","use","5.0","1.8","Yes","?","No","6.0","Yes","1.0","0.6","Yes","1.0"
"Basic","2.0","No","6.0","symbol","1.0","0.6","5.0","1.8","522","?","?","Yes","1.0"
"ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule","ConditionalProcessingModule"
"Tiny","switch","Yes","1.8","522","?","2.0","?","No","?","2.0","Yes","No","1.0"
"ImageModule","ImageModule","ImageModule","ImageModule","ImageModule","ImageModule","ImageModule","ImageModule","ImageModule","ImageModule","ImageModule","ImageModule"
"Tiny","image","5.0","2.0","522","?","2.0","No","5.1","4.0","1.0","Yes","0.5","1.0"
"StyleModule","StyleModule","StyleModule","StyleModule","StyleModule","StyleModule","StyleModule","StyleModule","StyleModule","StyleModule","StyleModule","StyleModule"
"Tiny","style","5.0","1.8","522","?","2.0","?","Yes","Yes","1.0","Yes","0.6","1.0"
"ShapeModule","ShapeModule","ShapeModule","ShapeModule","ShapeModule","ShapeModule","ShapeModule","ShapeModule","ShapeModule","ShapeModule","ShapeModule","ShapeModule"
"Tiny","circle","5.0","1.8","522","?","2.0","Yes","Yes","4.0","1.0","Yes","1.0","1.0"
"Tiny","ellipse","5.0","1.8","522","?","2.0","Yes","Yes","4.0","1.0","Yes","1.0","1.0"
"Tiny","line","5.0","1.8","522","?","2.0","Yes","Yes","4.0","1.0","Yes","1.0","1.0"
"Tiny","path","5.0","1.8","522","?","2.0","Yes","Yes","4.0","1.0","Yes","1.0","1.0"
"Tiny","polygon","5.0","1.8","522","?","2.0","Yes","Yes","4.0","1.0","Yes","1.0","1.0"
"Tiny","polyline","5.0","1.8","522","?","2.0","Yes","Yes","4.0","1.0","Yes","1.0","1.0"
"Tiny","rect","5.0","1.8","522","?","2.0","Yes","Yes","4.0","1.0","Yes","0.6","1.0"
"TextModule","TextModule","TextModule","TextModule","TextModule","TextModule","TextModule","TextModule","TextModule","TextModule","TextModule","TextModule"
"Tiny","text","5.0","1.8","522","?","2.0","Yes","5.1","4.0","1.0","Yes","0.7","1.0"
"Basic","tspan","5.0","1.8","522","?","2.0","Yes","Yes","4.0","1.0","Yes","0.7","1.0"
"Basic","tref","No","5.0","No","522","?","2.0","Yes","6.3","0.6","1.0","Yes","1.0"
"Basic","textPath","No","1.8.1","5.0","4.0","522","?","2.0","Yes","No","1.0","Yes","1.0"
"Full","altGlyph","4.0","No","No","5.0","Partial","Partial","?","2.2","?","2.0","Yes","1.0"
"Full","altGlyphDef","No","4.0","2.2","No","2.0","No","5.0","No","?","?","Yes","1.0"
"Full","No","No","altGlyphItem","?","4.0","No","No","5.0","?","No","?","Yes","1.0"
"Full","No","No","glyphRef","2.2","4.0","No","No","5.0","?","2.0","?","Yes","1.0"
"Profile","Element","MSHTML","Gecko","WebKit","Blink","Presto","KSVG","PrinceXML","Amaya","AdobeSVGViewer","Batik","Renesis","LeonLabs"
"MarkerModule","MarkerModule","MarkerModule","MarkerModule","MarkerModule","MarkerModule","MarkerModule","MarkerModule","MarkerModule","MarkerModule","MarkerModule","MarkerModule"
"Full","marker","5.0","1.8","522","?","2.0","?","6.0","?","3.0","Yes","1.0","1.0"
"ColorProfileModule","ColorProfileModule","ColorProfileModule","ColorProfileModule","ColorProfileModule","ColorProfileModule","ColorProfileModule","ColorProfileModule","ColorProfileModule","ColorProfileModule","ColorProfileModule","ColorProfileModule"
"Full","color-profile","No","No","No","?","No","No","No","?","3.0","Yes","No","1.0"
"GradientModule","GradientModule","GradientModule","GradientModule","GradientModule","GradientModule","GradientModule","GradientModule","GradientModule","GradientModule","GradientModule","GradientModule"
"Basic","linearGradient","5.0","1.8","522","?","1.0","Yes","6.0","?","1.0","Yes","0.5","1.0"
"Basic","radialGradient","5.0","1.8","522","?","2.0","Yes","6.0","?","1.0","Yes","0.5","1.0"
"Basic","stop","5.0","1.8","522","?","1.0","Yes","?","?","1.0","Yes","0.5","1.0"
"PatternModule","PatternModule","PatternModule","PatternModule","PatternModule","PatternModule","PatternModule","PatternModule","PatternModule","PatternModule","PatternModule","PatternModule"
"Basic","pattern","5.0","1.9","522","?","2.0","Yes","?","?","2.0","Yes","0.5","1.0ttt"
"ClipModule","ClipModule","ClipModule","ClipModule","ClipModule","ClipModule","ClipModule","ClipModule","ClipModule","ClipModule","ClipModule","ClipModule"
"Basic","clipPath","5.0","1.8","Mostly","?","2.0","?","?","?","1.0","Yes","0.6","1.0"
"MaskModule","MaskModule","MaskModule","MaskModule","MaskModule","MaskModule","MaskModule","MaskModule","MaskModule","MaskModule","MaskModule","MaskModule"
"Basic","mask","5.0","1.9","522","?","2.0","?","?","?","1.0","Yes","No","1.0"
"FilterModule","FilterModule","FilterModule","FilterModule","FilterModule","FilterModule","FilterModule","FilterModule","FilterModule","FilterModule","FilterModule","FilterModule"
"Basic","feBlend","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No",""
"Basic","feColorMatrix","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No","1.0"
"Basic","feComponentTransfer","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No",""
"Basic","feComposite","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No",""
"Basic","feFlood","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No",""
"Basic","feGaussianBlur","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No","1.0"
"Basic","feImage","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No","1.0"
"Basic","feMerge","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No",""
"Basic","feOffset","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No","1.0"
"Basic","feTile","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No",""
"Full","filter","6.0","1.9","Nightlybuild","?","2.0","?","No","?","1.0","Yes","No",""
"Full","feConvolveMatrix","Nightlybuild","6.0","1.9","?","?","2.0","?","No","","1.0","Yes","No"
"Full","feDiffuseLighting","Nightlybuild","6.0","1.9","?","?","2.0","?","No","","1.0","Yes","No"
"Full","feDisplacementMap","Nightlybuild","6.0","1.9","?","?","2.0","?","No","","1.0","Yes","No"
"Full","Nightlybuild","feMergeNode","?","6.0","1.9","?","?","2.0","","No","1.0","Yes","No"
"Full","Nightlybuild","feMorphology","?","6.0","1.9","?","?","2.0","","No","1.0","Yes","No"
"Full","feSpecularLighting","Nightlybuild","6.0","1.9","?","?","2.0","?","No","","1.0","Yes","No"
"Full","feTurbulence","Nightlybuild","6.0","1.9","?","?","2.0","?","No","","1.0","Yes","No"
"Full","feDistantLight","No","6.0","1.9","?","?","2.0","?","No","","1.0","Yes","No"
"Full","No","fePointLight","?","6.0","1.9","?","?","2.0","","No","1.0","Yes","No"
"Full","No","feSpotLight","?","6.0","1.9","?","?","2.0","","No","1.0","Yes","No"
"Full","feFuncR","Nightlybuild","6.0","1.9","?","?","2.0","?","No","","1.0","Yes","No"
"Full","Nightlybuild","feFuncG","?","6.0","1.9","?","?","2.0","","No","1.0","Yes","No"
"Full","Nightlybuild","feFuncB","?","6.0","1.9","?","?","2.0","","No","1.0","Yes","No"
"Full","Nightlybuild","feFuncA","?","6.0","1.9","?","?","2.0","","No","1.0","Yes","No"
"Profile","Element","MSHTML","Gecko","WebKit","Blink","Presto","KSVG","PrinceXML","Amaya","AdobeSVGViewer","Batik","Renesis","LeonLabs"
"CursorModule","CursorModule","CursorModule","CursorModule","CursorModule","CursorModule","CursorModule","CursorModule","CursorModule","CursorModule","CursorModule","CursorModule"
"Full","cursor","No","No","Partial","?","No","?","?","?","No","Yes","0.6",""
"HyperlinkingModule","HyperlinkingModule","HyperlinkingModule","HyperlinkingModule","HyperlinkingModule","HyperlinkingModule","HyperlinkingModule","HyperlinkingModule","HyperlinkingModule","HyperlinkingModule","HyperlinkingModule","HyperlinkingModule"
"Tiny","a","Yes","1.8","522","?","1.0","Yes","5.1","8.2","1.0","Yes","0.6","1.0"
"ViewModule","ViewModule","ViewModule","ViewModule","ViewModule","ViewModule","ViewModule","ViewModule","ViewModule","ViewModule","ViewModule","ViewModule"
"Basic","view","No","15.0","Partial","?","2.0","?","?","?","3.0","Yes","No","1.0"
"ScriptingModule","ScriptingModule","ScriptingModule","ScriptingModule","ScriptingModule","ScriptingModule","ScriptingModule","ScriptingModule","ScriptingModule","ScriptingModule","ScriptingModule","ScriptingModule"
"Tiny","script","Yes","1.8","522","?","2.0","?","?","?","1.0","Yes","0.5",""
"AnimationModule","AnimationModule","AnimationModule","AnimationModule","AnimationModule","AnimationModule","AnimationModule","AnimationModule","AnimationModule","AnimationModule","AnimationModule","AnimationModule"
"Tiny","animate","No","2.0","No","?","2.0","Yes","No","Yes","1.0","Yes","No","1.0"
"Tiny","set","No","2.0","Partial","?","2.0","Yes","No","Yes","1.0","Yes","No",""
"Tiny","Partial","animateMotion","No","2.0","No","?","2.0","1.0","No","Yes","1.0","Yes","No"
"Tiny","Partial","No","animateTransform","No","2.0","1.0","?","2.0","No","Yes","1.0","Yes","No"
"Tiny","Partial","animateColor(deprecated)","No","No","Yes","?","2.0","","No","Yes","1.0","Yes","No"
"Tiny","mpath","No","2.0","522","?","2.0","?","No","?","2.0","Yes","No",""
"FontModule","FontModule","FontModule","FontModule","FontModule","FontModule","FontModule","FontModule","FontModule","FontModule","FontModule","FontModule"
"Tiny","font","No","No","Yes","?","2.0","?","?","?","2.0","Yes","1.0","1.0"
"Tiny","font-face","No","No","Yes","?","1.0","?","?","?","2.0","Yes","Dropped","1.0"
"Tiny","1.0","glyph","No","No","Yes","?","?","?","?","1.0","2.0","Yes","1.0"
"Tiny","1.0","missing-glyph","No","1.0","No","Yes","?","?","?","?","2.0","Yes","1.0"
"Full","hkern","No","No","Nightlybuild","?","2.0","?","?","?","2.0","Yes","No","1.0"
"Full","vkern","Nightlybuild","2.0","No","No","?","No","?","?","?","2.0","Yes","1.0"
"Full","font-face-src","Yes","No","No","No","?","No","?","?","?","No","Yes","1.0"
"Full","Yes","font-face-uri","2.0","No","No","No","?","?","No","?","?","Yes","1.0"
"Full","Yes","font-face-format","No","No","No","No","?","?","No","?","?","No","1.0"
"Full","No","Yes","font-face-name","?","No","No","No","?","?","No","?","Yes","1.0"
"ExtensibilityModule","ExtensibilityModule","ExtensibilityModule","ExtensibilityModule","ExtensibilityModule","ExtensibilityModule","ExtensibilityModule","ExtensibilityModule","ExtensibilityModule","ExtensibilityModule","ExtensibilityModule","ExtensibilityModule"
"Full","foreignObject","No","1.9","522","?","2.0","?","No","7.2","No","No","No","No"
"Profile","Element","MSHTML","Gecko","WebKit","Blink","Presto","KSVG","PrinceXML","Amaya","AdobeSVGViewer","Batik","Renesis","LeonLabs"
