"Mailserver","SMTPAUTH","POPbeforeSMTP","APOP","FileSystem","Database","LDAP","NativeAntiHammer-Brute-forceattackprotection","Other"
"agorumcore","Yes","No","No","No","Yes","Yes","?","PLAIN,LOGIN,CRAM-MD5,NTLM"
"ApacheJames","Yes","?","?","?","Yes","Yes","?","PLAIN,LOGIN"
"Axigen","Yes","No","Yes","Yes","No","Yes","No","GSSAPI,CRAM-MD5,DIGEST-MD5,APOP,CLRTXT,LOGIN,PLAIN,LDAP,Internal"
"CommuniGatePro","Yes","Yes","Yes","Yes","Yes","Yes","?","ActiveDirectory(LDAP),CLRTXT,CRAM-MD5,DIGEST-MD5,APOP,GSSAPI,NTLM,MSN,SESSIONID,ExternalAuthenticationPlug-in.AlsosupportsX.509PKIauthviaSTARTTLS/SSL"
"CourierMailServer","Yes","Yes","Yes","Yes","Yes","Yes","?","ManagedbyCourierauthenticationlibrarywhichcanusePAM,Userdb,PostgreSQL(beta),MySQL,LDAP,andEXTERNAL."
"CyrusIMAP","Yes","Yes","Yes","Yes","Yes","Yes","?","SupportsX.509PKIauthviaSTARTTLSandEXTERNAL.UsesCyrusSASLauthenticationlibraryforsupportforothermechanisms:BerkeleyDB,GDBM,orNDBM(sasldb),PAM,MySQL,PostgreSQL,SQLite,LDAP,ActiveDirectory(LDAP),DCE,Kerberos4and5,proxiedIMAPauth,getpwent,shadow,SIA,CourierAuthdaemon,httpform,APOPandSASLmechanisms:ANONYMOUS,CRAM-MD5,DIGEST-MD5,SCRAM-SHA-1(-PLUS),SCRAM-SHA-224(-PLUS),SCRAM-SHA-256(-PLUS),SCRAM-SHA-384(-PLUS),SCRAM-SHA-512(-PLUS),EXTERNAL,GSSAPI,LOGIN,NTLM,OTP,PASSDSS,PLAIN,SRP"
"Dovecot","Yes","Yes","Yes","Yes","Yes","Yes","?","SubmissionservicesupportsSMTPAUTH.OffersSASLtoMTAs.POP-before-SMTPviaDRACplugin.PAM,MySQL,PostgreSQL,SQLite,LDAP,ActiveDirectory(LDAP),Kerberos5,proxiedIMAPauth,getpwent,shadow,SIA,BSDauth,Vpopmail.APOPandSASLmechanisms:ANONYMOUS,PLAIN,LOGIN,CRAM-MD5,DIGEST-MD5,SCRAM-SHA-1,EXTERNAL,GSSAPI,NTLM,OTP,SKEY,RPA."
"EudoraInternetMailServer","Yes","No","Yes","Yes","No","No","Yes","CRAM-MD5,DIGEST-MD5,PLAIN,LOGIN"
"Exim","Yes","Yes","Yes","Yes","Yes","Yes","?","CyrusSASL,DovecotSASL,GNUSASL,CRAM-MD5,HeimdalGSSAPI,PLAIN,LOGIN,SPA"
"FirstClass","Yes","?","?","Yes","Yes","Yes","?",""
