"Client","Firstpublicrelease","Firststablerelease","Firstpublicrelease","Firststablerelease","Lateststablerelease"
"Client","Date","Version","Lateststablerelease","Date","Version"
"AndroidChat","2008","","","","2008-12-29(December29,2008;13yearsago(2008-12-29))[±]"
"Colloquy(software)","January28,2009","1.0","","","2.4.3(6011)(March22,2014;7yearsago(2014-03-22))[±]"
"fIRC","December22,2008","0.1.0","","","0.2.11(March26,2009;12yearsago(2009-03-26))[±]"
"jmIrc","May14,2004","0.60","","","0.96(November23,2009;12yearsago(2009-11-23))[±]"
"k-IRC","August20,2002","1.0","","","1.1(October4,2003;18yearsago(2003-10-04))[±]"
"RevolutionIRC","August25,2017","0.2.0","","",""
"Virca","2003","0.0.1","","","1.1.20(November22,2004;17yearsago(2004-11-22))[±]"
"wIRC","","","","","0.3.2(September6,2010;11yearsago(2010-09-06))[±]"
"WLIrc","September15,2003","0.90","","","2.0.1(August16,2007;14yearsago(2007-08-16))[±]"
"Yaaic","March14,2010","0.1","","","0.9(July17,2011;10yearsago(2011-07-17))[±]"
"SimpleIRC","November18,2016","1.0","","","1.7(December23,2016;5yearsago(2016-12-23))[±]"
"zsIRC","June13,2006","","","","2009.12.26(December26,2009;12yearsago(2009-12-26))[±]"
"Client","Date","Version","Date","Version","Lateststablerelease"
"Firstpublicrelease","Firststablerelease","Client","Firstpublicrelease","Firststablerelease","Lateststablerelease"
