"Cameramodel","Cameraline","Manufacturer","Introduced","Weight","MOS/sync","Noiselevel"
"Eyemo71K","Eyemo","BellandHowell","1925","11lb(5.0kg)","MOS","N/A"
"Arriflex35-2C","Arriflex35II","Arri","1964","13.5lb(6.1kg),withemptymagazine","MOS","N/A"
"Arriflex35BL-1","Arriflex35BL","Arri","1972","28.5lb(12.9kg),withemptymagazine","Sync","26dB"
"Panaflex-X","Panaflex","Panavision","1974","20.5lb(9.3kg)","Sync","<24dB"
"Arriflex35BL-2","Arriflex35BL","Arri","1975","28.5lb(12.9kg),withemptymagazine","Sync","26dB"
"PanaflexGoldII","Panaflex","Panavision","1976","24.4lb(11.1kg),withshorteyepiece","Sync","<24dB"
"Arriflex35BL-3","Arriflex35BL","Arri","1980","28.7lb(13.0kg),withemptymagazine","Sync","22dB"
"Arriflex35-3C","Arriflex35III","Arri","1982","8.8lb(4.0kg);13.5lb(6.1kg),withemptymagazine","MOS","N/A"
"MoviecamSuperAmerica","MoviecamSuperAmerica","Moviecam","1984","29lb(13kg)","Sync","20dB"
"Arriflex35BL-4","Arriflex35BL","Arri","1986","30.9lb(14.0kg),withemptymagazine","Sync","22dB"
"PanaflexPlatinum","Panaflex","Panavision","1986","24lb(11kg)","Sync","<22dB"
"PanaflexPanastarII","PanaflexPanastar","Panavision","1987","24.4lb(11.1kg)","MOS","N/A"
"Arriflex35BL-4s","Arriflex35BL","Arri","1988","31.9lb(14.5kg),withemptymagazine","Sync","20dB"
"Arriflex535","Arriflex535","Arri","1990","21.6lb(9.8kg),bodyonly;29.4lb(13.3kg),withfinder;36.4lb(16.5kg),withfinderandemptymagazine","Sync","19dB"
"MoviecamCompact","MoviecamCompact","Moviecam","1990","13.6lb(6.2kg)","Sync","<20dB"
"Arriflex535B","Arriflex535","Arri","1992","26lb(12kg),withemptymagazine","Sync","19dB"
"Arriflex435","Arriflex435","Arri","1995","14.3lb(6.5kg),withoutmagazine","MOS","N/A"
"Arriflex435ES","Arriflex435","Arri","1995","14.3lb(6.5kg),withoutmagazine","MOS","N/A"
"MoviecamSL","MoviecamSL","Moviecam","1995","8.25lb(3.74kg)","Sync","25dB"
"Aaton35-III","Aaton35","Aaton","1997","16lb(7.3kg),withfullmagazineandonboardbattery","Sync","30dB(4perf),26dB(3perf)"
"PanaflexMillennium","PanaflexMillennium","Panavision","1997","17.5lb(7.9kg)","Sync","<19dB"
"PanaflexMillenniumXL","PanaflexMillennium","Panavision","1999","11.8lb(5.4kg)","Sync","<23dB"
"ArricamLT","Arricam","Arri","2000","8.7lb(3.9kg),bodyonly;11.56lb(5.24kg),withfinder","Sync","<24dB"
"ArricamST","Arricam","Arri","2000","11.9lb(5.4kg),bodyonly;17.95lb(8.14kg),withfinder","Sync","<20dB"
"Arriflex435Advanced","Arriflex435","Arri","2001","14.3lb(6.5kg),withoutmagazine","MOS","N/A"
"Aaton35-3P","Aaton35","Aaton","2002","16lb(7.3kg),withfullmagazineandonboardbattery","Sync","30dB(4perf),24dB(3perf)"
"Arriflex235","Arriflex235","Arri","2004","7.7lb(3.5kg),withviewfinder","MOS","N/A"
"Arriflex435Xtreme","Arriflex435","Arri","2004","14.3lb(6.5kg),withoutmagazine","MOS","N/A"
"AatonPenelope","AatonPenelope","Aaton","2008","17lb(7.7kg),withfullmagazineandonboardbattery","Sync","23dB(3perf),22dB(2perf)"
