"Name","Drawingatoptext","Textbox,flowdiagram","Textandparagraphformatting","Inserthyperlink","Insertimage","Resizeimage","Inserttable","Insertaudio","Insertvideo","Attachment","Otherobjects","Remarks/otherfeatures"
"AllMyNotesOrganizer","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Alarms,check-boxes,bullets,phones,advancedlinks,autosaving;lastcursorpositionmemory,passwordsontreefolders,failure-resistantself-healingDBengine",""
"BasKetNotePads","?","?","Yes","Yes","Yes","?","No","No","No","Yes","tags(checkboxes,etc.)","Adding,managingnotesbycategory,autosave"
"CintaNotes","No","No","Yes","Yes","No","?","No","No","No","Yes","Linkstonotes","Taggingandsearchingfortags,taghierarchy"
"ConnectedText","No","Yes","Yes","Yes","Yes","?","Yes","No","Yes","Yes","ScriptingofpageswithPythonandotherscriptinglanguages.","LaTeX,Scripts,RSSFeeds,Transclusion,DirectedGraphsandFlowchartsbyGraphViz,manyotherfeatures."
"DayOne","No","No","Yes","Yes","Yes","?","Yes","No","Yes","No","tags,bullets,numbering,line,programmingcodesnippets","editablenotemetadata(date/time,location,weather,motionactivity,musicplaying,stepcount)"
"Evernote","No","No","Yes","Yes","Yes","Yes(atleastMicrosoftWindowsversion(06/2016))","Yes","Yes","Yes","Yes","Check-box,line,tags","Businessandpersonalnotesintegratedinsameclient;businesseshavecontroloverbusinessnotes,butcannotseepersonalnotes"
"Gnote","No","No","Yes","Yes","No","No","No","No","No","No","?","PortofTomboytoC++;wiki-stylelinkednotes"
"GoogleKeep","No","No","Yes","Yes","Yes","?","Partial","Yes","?","No","GoogleCalendarreminders","NotescanbesharedwithotherGoogleKeepusers."
"IPythonNotebook","?","?","?","?","?","?","?","?","?","?","?","PartofIPythonshell;allowsforprogrammingcode,outputandannotationtobecombinedinsingleinteractiveenvironment"
"KeyNoteNF","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","OLEobjects;""virtualnodes""whichintegrateandeditthecontentofexternalplain-textorrich-textfiles;internallinks;mirrornodes.","Textprocessing;treenumberingandsorting;customtreeicons;nodecheckboxes;checkboxfiltering;searchfiltering;reminderalarms;compressedorencryptednotebooks;auto-minimizeand/orauto-lockwhenidle;quickaccesskeyforfastnotes;additionalscratchpad;autosaveofupto9previousfileversions;automaticclipboardcapturing;read-onlynotebooksornotes;macros;templates;textshortcuts;plug-ins;bookmarks;customkeyboardshortcuts;programcanbemadeportablethrough""Options""setting"
