"","AIX","*BSD","HP-UX","Linux","OSX","Solaris","Windows","Others"
"Ansible","Yes","Yes","Yes","Yes","Yes","Yes","Yes(Needlinuxcontrolmachine)","Yes"
"Bcfg2","Partial","Yes","No","Yes","Partial","Yes","No","No"
"CFEngine","Yes","Yes","Yes","Yes","Yes","Yes","Yes(Enterpriseversiononly)","Yes"
"cdist","","Yes","","Yes","Yes","","No",""
"Chef","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ISconf","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Juju","","","","Yes","","","Yes",""
"LocalConFiGurationsystem(LCFG)","No","No","No","Partial","Partial","Partial","No","No"
"OCSInventoryNG","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Openpcserverintegration(Opsi)","No","No","No","Yes","No","No","Yes","No"
"PIKT","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Puppet","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Quattor","No","No","No","Yes","Partial","Yes","No","No"
"Radmind","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"Rex","","Yes","","Yes","Yes","Yes","Yes","No"
"Rudder","Yes","Partial","No","Yes","Partial","Partial","Yes","Yes"
"SmartFrog","No","No","Yes","Yes","Yes","Yes","Yes","No"
"Salt","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Partial"
"Spacewalk","No","No","No","Yes","No","No","No","No"
"STAF","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Synctool","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Uyuni","No","No","No","Yes","No","No","No","No"
"","AIX","*BSD","HP-UX","Linux","OSX","Solaris","Windows","Others"
