"Name","RAID","quota","Resourceaccesscontrol","encryption","otherspecialfilesystemfeatures"
"Linux","Yes","Yes","Unix,ACL,MAC","Yes","LVM,EVMS"
"FreeBSD","Yes","Yes","Unix,ACL,MAC","Yes","GEOM,snapshots,backgroundfsck,user-mountablefilesystems"
"OpenBSD","Yes","Yes","Unix","Yes",""
"NetBSD","Yes","Yes","Unix,Veriexec","Yes","Snapshots,Journaling"
"DragonFlyBSD","Yes","Yes","Unix","Yes","HAMMER,Snapshots,Checksumming,Deduplication"
"OpenSolaris,illumos","Yes","Yes","Unix,ACL,MAC","Yes","SolarisVolumeManager,ZFS,snapshots,transparentdatarepair"
"Darwin,OpenDarwin","","Yes","Unix,ACL","Yes",""
"MINIX","","","Unix","",""
"FreeDOS","","","No","",""
"Genode","No","No","No","No","Per-processvirtualfile-systemlayer"
"KolibriOS","","","No","",""
"MenuetOS","","","No","",""
"GNU","","","Unix","",""
"ReactOS","","","No","",""
"L4,Fiasco,Pistachio","","","","",""
"Plan9","No","No","Unix-like,noroot","No","snapshots,ventiarchivalstorage,per-processnamespace,user-mountablefilesystems"
"AROS","","","","",""
"Syllable","","","Unix","","64-bit,journaling,extendedfileattributes"
"Inferno","No","No","Unix-like,noroot","No","per-processnamespace,user-mountablefilesystems"
"FreeRTOS","","","","",""
"eCos","","","","",""
"RTEMS","","","","",""
"HelenOS","No","No","No","No","No"
"E/OS","Yes","Yes","Unix","Yes","No"
"Name","RAID","quota","Resourceaccesscontrol","encryption","otherspecialfilesystemfeatures"
