"Driver","Chipset","Integration","Non-freefirmwarerequired","License","Original/Primarydeveloper","Development"
"acx","TexasInstrumentsACX100/ACX111","Separateproject","Yes","BSD","","Reverseengineering"
"an","Aironet4500/4800,CiscoAironet340/350,XircomWirelessEthernet","Integrated","OnDevice","BSD","BillPaul(FreeBSD)",""
"arl","AironetArlan655","Integrated/Removedin8.0","OnDevice","BSD","",""
"ath","AtherosAR5210/AR5211/AR5212/AR5416/AR9130/AR9160/AR9280/AR9285/AR9287/AR9565(andderivatives)","Integrated","No","BSD","OriginallybyAtherosviaSamLeffler(FreeBSD);supportedbythecommunity","Documentationbased"
"awi","AMDPCnetMobile","Integrated/Removedin8.0","OnDevice","BSD","BillSommerfeld(NetBSD)andAtsushiOnoe(NetBSD)",""
"bwi","BroadcomBCM43xx/4318","Integratedsince8.0","Yes","BSD","SepherosaZiehau(DragonFlyBSD),AndrewThompson(FreeBSD),SamLeffler(FreeBSD)","PortedfromDragonFlyBSD"
"bwn","BroadcomBCM43xx/4318v4firmware","Integratedsince8.1","Yes","BSD","WeongyoJeong","?"
"cnw","NetwaveAirSurfer","Integrated/Removedin8.0","OnDevice","BSD","ImportedfromNetBSD",""
"ipw","IntelPRO/Wireless2100","Integrated","Yes","BSD","DamienBergamini(OpenBSD/FreeBSD)","Reverseengineering"
"iwi","IntelPRO/Wireless2200BG/2225BG/2915ABG","Integrated","Yes","BSD","DamienBergamini(OpenBSD/FreeBSD)","Reverseengineering"
"iwm","IntelDualBandWireless-AC3160/3165/7260/7265/8260","?","?","","?","?"
"iwn","IntelPRO/Wireless4965ABGN/5100/5300/5350/1000IntelCentrino6000/6150/6200/6205/6230/6250/6300","Integratedsince8.0/Availablefor7.1andaboveasseparatepatch","Yes","BSD","DamienBergamini,BenjaminClose,SamLeffler(OpenBSD/FreeBSD)","Reverseengineering"
"malo","Marvell88W8335","Integrated","Yes","BSD","WeongyoJeong(FreeBSD),SamLeffler(FreeBSD)",""
"mwl","Marvell88W8363","Integratedsince8.0","Yes","BSD","SamLeffler(FreeBSD)","?"
"ral","RalinkTechnologyRT2500/RT2501/RT2600/RT3090/RT3592","Integrated","OnDevice","BSD","DamienBergamini(OpenBSD/FreeBSD)","Basedonpartialdocumentation"
"ray","RaytheonRaylink/WebgearAviator","Integrated/Removedin8.0","OnDevice","BSD","ImportedfromNetBSD",""
"rsu","RealtekRTL8188SU/RTL8192SU","Integratedsince10.0","Yes","BSD","DamienBergamini(OpenBSD),ImportedfromOpenBSDbyRuiPaulo","?"
"rum","RalinkRT2501USB/RT2601USB","Integrated","No","BSD","NiallO'HigginsandDamienBergamini","Basedonpartialdocumentation"
"run","RalinkRT2700U/RT2800U/RT3000U","Integratedsince8.1","No","BSD","DamienBergamini(OpenBSD),ImportedfromOpenBSDbyAkinoriFurukoshi","Basedonpartialdocumentation"
"uath","AtherosAR5005UG/AR5005UX","Integratedsince8.0","Yes","BSD","WeongyoJeong(FreeBSD),SamLeffler(FreeBSD)","?"
"upgt","GW3887(Conexant/IntersilPrismGTseries)","Integratedsince8.0","Yes","BSD","ImportedfromOpenBSD","Reverseengineering"
"ural","RalinkTechnologyRT2500USB","Integrated","OnDevice","BSD","DamienBergamini(OpenBSD/FreeBSD)","Basedonpartialdocumentation"
"urtw","RealtekRTL8187L/RTL8187B","Integratedsince8.0","N/A","BSD","WeongyoJeong(FreeBSD)","?"
"urtwn","RealtekRTL8188CU/RTL8188EU/RTL8192CU","Integratedsince10.0","Yes","BSD","DamienBergamini(OpenBSD/FreeBSD)","Reverseengineering"
"wi","LucentHermes(WaveLAN/ORiNOCO);IntersilPRISM-2,PRISM-2.5,PRISM-3;SymbolSpectrum24802.11B(Symbolsupportremovedin8.0)","Integrated","OnDevice","BSD","BillPaul(FreeBSD)","Documentationbased"
"wpi","IntelPRO/Wireless3945ABG","Integrated","Yes","BSD","DamienBergamini,BenjaminClose","Reverseengineering"
"zyd","ZyDASZD1211/ZD1211B","Integrated","No","BSD","FlorianStoehr,DamienBergaminiandJonathanGray(OpenBSD)","Documentationbased"
