"Vehicle","Origin","Manufacturer","Massto...(kg)","Massto...(kg)","Dateofflight","Massto...(kg)","Launches(+suborbital)","Dateofflight"
"Vehicle","Origin","Manufacturer","LEO","Launches(+suborbital)","GTO","Other","First","Last"
"Antares110–130","UnitedStates","Orbital","5,100","","1,500toSSO","5","2013","2014"
"Ariane1","Europe","Aérospatiale","","1,830","","11","1979","1986"
"Ariane2","Europe","Aérospatiale","","2,270","","6","1986","1989"
"Ariane3","Europe","Aérospatiale","","2,650","","11","1984","1989"
"Ariane440","Europe","Aérospatiale","4,600","2,105","2,740toSSO","7","1990","1999"
"Ariane442L","Europe","Aérospatiale","7,000","3,480","4,500toSSO","13","1993","2002"
"Ariane442P","Europe","Aérospatiale","6,000","2,930","3,400toSSO","15","1990","2002"
"Ariane444L","Europe","Aérospatiale","7,000","4,720","6,000toSSO","40","1989","2003"
"Ariane444LP","Europe","Aérospatiale","7,000","4,220","5,000toSSO","26","1988","2001"
"Ariane444P","Europe","Aérospatiale","6,500","3,465","4,100toSSO","15","1991","2001"
"Ariane5G","Europe","EADSAstrium","18,000","6,900","","16","1996","2003"
"Ariane5G+","Europe","EADSAstrium","","7,100","","3","2004","2004"
"Ariane5GS","Europe","EADSAstrium","16,000","6,600","","6","2005","2009"
"Ariane5ES","Europe","EADSAstrium","21,000","8,000","","8","2008","2018"
"ASLV","India","ISRO","150","","","4","1987","1994"
"AthenaI","UnitedStates","LockheedMartin","795","515","","4","1995","2001"
"AthenaII","UnitedStates","LockheedMartin","1,800","","","3","1998","1999"
"Atlas-Centaur","UnitedStates","Lockheed","1,134","2,222","","148","1962","1983"
"AtlasG","UnitedStates","Lockheed","5,900","2,222","1,179toHCO","7","1984","1989"
"AtlasH/MSD","UnitedStates","Lockheed","3,630","","","5","1983","1987"
"AtlasI","UnitedStates","LockheedMartin","5,900","2,340","","11","1990","1997"
"AtlasII","UnitedStates","LockheedMartin","6,780","2,810","2,000toHCO","10","1991","1998"
"AtlasIIA","UnitedStates","LockheedMartin","7,316","3,180","2,160toHCO","23","1992","2002"
"AtlasIIAS","UnitedStates","LockheedMartin","8,618","3,833","2,680toHCO","30","1993","2004"
"AtlasIIIA","UnitedStates","LockheedMartin","8,686","4,060","2,970toHCO","2","2000","2004"
"AtlasIIIB/DEC","UnitedStates","LockheedMartin","10,759","4,609","","1","2002","2002"
"AtlasIIIB/SEC","UnitedStates","LockheedMartin","10,218","4,193","","3","2003","2005"
"AtlasV511","UnitedStates","ULA","11,000","5,250","7,820toSSO1,750toGEO","1","2022","2022"
"BlackArrow","UnitedKingdom","RAE","73","","","2(+2)","1969","1971"
"CommercialTitanIII","UnitedStates","MartinMarietta","13,100","","","4","1990","1992"
"Delta0300","UnitedStates","McDonnellDouglas","","340","747toSSO","3","1972","1973"
"Delta0900","UnitedStates","McDonnellDouglas","1,300","","818toSSO","2","1972","1972"
"Delta1410","UnitedStates","McDonnellDouglas","340","","","1","1975","1975"
"Delta1604","UnitedStates","McDonnellDouglas","390","","","2","1972","1973"
"Delta1900","UnitedStates","McDonnellDouglas","1,800","","","1","1973","1973"
"Delta1910","UnitedStates","McDonnellDouglas","1,066","","","1","1975","1975"
"Delta1913","UnitedStates","McDonnellDouglas","328","","","1","1973","1973"
"Delta1914","UnitedStates","McDonnellDouglas","","680","","2","1972","1973"
"Delta2310","UnitedStates","McDonnellDouglas","336","","","3","1974","1981"
"Delta2313","UnitedStates","McDonnellDouglas","","","243toGEO","3","1974","1977"
"Delta2910","UnitedStates","McDonnellDouglas","1,887","","","6","1975","1978"
"Delta2913","UnitedStates","McDonnellDouglas","2,000","700","","6","1975","1976"
"Delta2914","UnitedStates","McDonnellDouglas","","724","","30","1974","1979"
"Delta3910","UnitedStates","McDonnellDouglas","2,494","1,154withPAM-D","","10","1980","1988"
"Delta3913","UnitedStates","McDonnellDouglas","816","","","1","1981","1981"
"Delta3914","UnitedStates","McDonnellDouglas","","954","","13","1975","1987"
"Delta3920","UnitedStates","McDonnellDouglas","3,452","1,284withPAM-D","","10","1982","1989"
"Delta3924","UnitedStates","McDonnellDouglas","","1,104","","4","1982","1984"
"Delta4925","UnitedStates","McDonnellDouglas","3,400","1,312","","2","1989","1990"
"Delta5920","UnitedStates","McDonnellDouglas","3,848","","","1","1989","1989"
"DeltaII6920","UnitedStates","McDonnellDouglas","3,983","","","3","1990","1992"
"DeltaII6925","UnitedStates","McDonnellDouglas","","1,447","","14","1989","1992"
"DeltaII7320","UnitedStates","BoeingIDS/ULA","2,865","","1,651toSSO","12","1999","2015"
"DeltaII7326","UnitedStates","BoeingIDS","","934","636toTLI629toHCO","3","1998","2001"
"DeltaII7420","UnitedStates","ULA","3,185","","1,966toSSO","14","1998","2018"
"DeltaII7425","UnitedStates","BoeingIDS","","1,100","804toHCO","4","1998","2002"
"DeltaII7426","UnitedStates","BoeingIDS","","1,058","734toTLI711toHCO","1","1999","1999"
"DeltaII7920","UnitedStates","BoeingIDS/ULA","5,030","","3,123toSSO","29","1998","2017"
"DeltaII7925","UnitedStates","BoeingIDS/ULA","","1,819","1,177toTLI1,265toHCO","69","1990","2009"
"DeltaII-H7920H","UnitedStates","BoeingIDS/ULA","6,097","","","3","2003","2011"
"DeltaII-H7925H","UnitedStates","BoeingIDS/ULA","","2,171","1,508toHCO","3","2003","2007"
"DeltaIII8930","UnitedStates","BoeingIDS","8,292","3,810","","3","1998","2000"
"DeltaIVM","UnitedStates","BoeingIDS","9,440","4,440","7,690topolar","3","2003","2006"
"DeltaIVM+(4,2)","UnitedStates","ULA","13,140","6,390","10,250topolar","14","2002","2019"
"DeltaIVM+(5,2)","UnitedStates","ULA","11,470","5,490","9,600topolar","3","2012","2018"
"DeltaIVM+(5,4)","UnitedStates","ULA","14,140","7,300","11,600topolar","8","2009","2019"
"Diamant","France","SEREB","107","","","12","1965","1975"
"Dnepr","Ukraine","Yuzhmash","3,700","","","22","1999","2015"
"Energia","SovietUnion","NPOEnergia","100,000","","20,000toGEO32,000toTLI","1(failedtoorbit)","1987","1987"
"Energia-Buran","SovietUnion","NPOEnergia(Launcher)NPOMolniya(Orbiter)","30,000","","","1","1988","1988"
"Falcon1","UnitedStates","SpaceX","470","","","5","2006","2009"
"Falcon9v1.0","UnitedStates","SpaceX","10,450","4,540","","5","2010","2013"
"Falcon9v1.1","UnitedStates","SpaceX","13,150","4,850","","15","2013","2016"
"FengBao1","China","ShanghaiBureauNo.2","2,500","","","8(+3)","1972","1981"
"GSLVMk.I(a)","India","ISRO","5,000","1,540","","1","2001","2001"
"GSLVMk.I(b)","India","ISRO","5,000","2,150","","4","2003","2007"
"GSLVMk.I(c)","India","ISRO","5,000","","","1","2010","2010"
"H-I","JapanUnitedStates","Mitsubishi","1,400","","","9","1986","1992"
"H-II/IIS","Japan","Mitsubishi","10,060","4,000","","7","1994","1999"
"H-IIA2022","Japan","Mitsubishi","","4,500","","3","2005","2007"
"H-IIA2024","Japan","Mitsubishi","11,000","5,000","","7","2002","2008"
"H-IIB","Japan","Mitsubishi","16,500(ISS)","8,000","","8","2009","2020"
"J-I","Japan","NissanMotors","1,000","","","0(+1)","1996","1996"
"Kaituozhe-1","China","CALT","100","","","2","2002","2003"
"Kosmos-3M","SovietUnionRussia","NPOPolyot","1,500","","","442","1967","2010"
"Lambda4S","Japan","NissanMotors","26","","","5","1966","1970"
"LongMarch1","China","CALT","300","","","2","1970","1971"
"LongMarch1D","China","CALT","740","","","0(+3)","1995","2002"
"LongMarch2A","China","CALT","2,000","","","4","1974","1978"
"LongMarch2E","China","CALT","9,200","","","7","1990","1995"
"LongMarch3","China","CALT","5,000","","","13","1984","2000"
"LongMarch3B","China","CALT","11,200","5,100","5,700toSSO","12","1996","2012"
"LongMarch4A","China","CALT","4,000","","","2","1988","1990"
"M-V","Japan","NissanMotors(1997–2000)IHIAerospace(2000–2006)","1,850","","","7","1997","2006"
"Molniya","SovietUnion","RSCEnergia","1,800","","","40","1960","1967"
"Molniya-M","SovietUnionRussia","RSCEnergia","2,400","","","280","1965","2010"
"Mu-3C","Japan","NissanMotors","195","","","4","1974","1979"
"Mu-3H","Japan","NissanMotors","300","","","3","1977","1978"
"Mu-3S","Japan","NissanMotors","300","","","4","1980","1984"
"Mu-3SII","Japan","NissanMotors","770","","","8","1985","1995"
"Mu-4S","Japan","NissanMotors","180","","","4","1971","1972"
"N1","SovietUnion","NPOEnergia","95,000","","","4(neverreachedorbit)","1969","1972"
"N-I","JapanUnitedStates","Mitsubishi","1,200","","","7","1975","1982"
"N-II","JapanUnitedStates","Mitsubishi","2,000","","","8","1981","1987"
"Naro-1","SouthKoreaRussia","KARI/Khrunichev","100","","","3","2009","2013"
"NOTS-EV-1Pilot","UnitedStates","UnitedStatesNavy","1.05","","","10","1958","1958"
"Paektusan","NorthKorea","KCST","700","","","0(+1)","1998","1998"
"Polyot","SovietUnion","RSCEnergia","1,400","","","2","1963","1964"
"Proton-K","SovietUnionRussia","Khrunichev","19,760","4,930","","311","1965","2012"
"PSLV-G","India","ISRO","3,200","1,050","1,600toSSO","12","1993","2016"
"Rokot","Russia","Khrunichev","1,950","","1,200toSSO","34","1990","2019"
"Safir","Iran","IranianSpaceAgency","65","","","7","2008","2019"
"SaturnI","UnitedStates","Chrysler(S-I)Douglas(S-IV)","9,000","","","10","1961","1965"
"SaturnIB","UnitedStates","Chrysler(S-IB)Douglas(S-IVB)","18,600","","","9","1966","1975"
"SaturnV","UnitedStates","Boeing(S-IC)NorthAmerican(S-II)Douglas(S-IVB)","140,000","","47,000toTLI","13","1967","1973"
"Scout","UnitedStates","USAirForce/NASA","174","","","125","1961","1994"
"Shtil'","Russia","Makeyev","280–420","","","2","1998","2006"
"SLV","India","ISRO","40","","","4","1979","1983"
"Soyuz","SovietUnion","RSCEnergia","6,450","","","31","1966","1976"
"Soyuz-FG","Russia","TsSKB-Progress","6,900","","","70","2001","2019"
"Soyuz-L","SovietUnion","RSCEnergia","5,500","","","3","1970","1971"
"Soyuz-M","SovietUnion","RSCEnergia","6,600","","","8","1971","1976"
"SoyuzST-A","RussiaEurope","TsSKB-ProgressArianespace","7,800fromKourou","2,810withFregat","","6","2011","2020"
"SoyuzST-B","RussiaEurope","TsSKB-ProgressArianespace","9,000fromKourou","3,250withFregat","4,400toSSO","16","2011","2019"
"Soyuz-U","SovietUnionRussia","TsSKB-Progress","6,650fromBaikonour6,150fromPlesetsk","","","786","1973","2017"
"Soyuz-U2","SovietUnionRussia","TsSKB-Progress","7,050","","","72","1982","1995"
"SpaceShuttle","UnitedStates","ATK(SRBs)MartinMarietta(Externaltank)Rockwell(Orbiter)","24,400","4,944withIUS1,200withPAM-D","3,550toescapewithIUS","135","1981","2011"
"Sputnik8K71PS","SovietUnion","RSCEnergia","500","","","2","1957","1957"
"Sputnik8A91","SovietUnion","RSCEnergia","1,327","","","2","1958","1958"
"Start-1","Russia","MITT","532","","350toSSO","5","1993","2006"
"Strela","Russia","Khrunichev","1,400","","","3","2003","2014"
"TitanIIGLV","UnitedStates","MartinMarietta","3,600","","","11(+1)","1964","1966"
"TitanII(23)G","UnitedStates","MartinMarietta","3,600","","","13","1988","2003"
"TitanIIIA","UnitedStates","MartinMarietta","3,100","","","4","1964","1965"
"TitanIIIB","UnitedStates","MartinMarietta","3,000","","","70","1966","1987"
"TitanIIIC","UnitedStates","MartinMarietta","13,100","","","36","1965","1982"
"TitanIIID","UnitedStates","MartinMarietta","12,300","","","22","1971","1982"
"TitanIIIE","UnitedStates","MartinMarietta","15,400","","","7","1974","1977"
"Titan34D","UnitedStates","MartinMarietta","4,515","","","15","1982","1989"
"TitanIVA","UnitedStates","MartinMarietta","17,110","4,944withIUS","14,090toSSO4,536toGSOwithCentaur3,550toescapewithIUS","22","1989","1998"
"TitanIVB","UnitedStates","LockheedMartin","21,682","5,761(9,000withupperstage)","","17","1997","2005"
"Tsyklon-2A","SovietUnion","Yuzhmash","3,350","","","8","1967","1969"
"Tsyklon-2","SovietUnionUkraine","Yuzhmash","2,820","","","106","1969","2006"
"Tsyklon-3","SovietUnionUkraine","Yuzhmash","1,920","","","122","1977","2009"
"Vanguard","UnitedStates","Martin","9","","","11(+1)","1957","1959"
"VLS-1","Brazil","AEB,IAE","380","","","2(neverreachedorbit)","1997","2003"
"Volna","Russia","Makeyev","100","","","1(+5)","1995","2005"
"Voskhod","SovietUnion","RSCEnergia","6,000","","","306","1963","1976"
"Vostok-L","SovietUnion","RSCEnergia","","","390toTLI","4","1960","1960"
"Vostok-K","SovietUnion","RSCEnergia","2,460","","","16","1960","1964"
"Vostok-2","SovietUnion","RSCEnergia","4,730","","","45","1962","1967"
"Vostok-2M","SovietUnion","RSCEnergia","1,300","","","93","1964","1991"
"Soyuz/Vostok","SovietUnion","RSCEnergia","6,000","","","2","1965","1966"
"Zenit-2","SovietUnionUkraine","Yuzhnoye","13,740","","","36","1985","2004"
"Zenit-2M/2SLB","Ukraine","Yuzhnoye","13,920","","","2","2007","2011"
"Zenit-3F","Ukraine","Yuzhnoye","","","1,740toGEO","4","2011","2017"
"Zenit-3SL","Ukraine","YuzhmashRSCEnergia","7,000","6,160","","36","1999","2014"
"Zenit-3SLB/3M","Ukraine","YuzhmashRSCEnergia","","3,750","","6","2008","2013"
