"Name","Lexeralgorithm","Outputlanguages","Grammar,code","Developmentplatform","License"
"Alex","DFA","Haskell","Mixed","All","Free,BSD"
"AnnoFlex","DFA","Java","Mixed","Javavirtualmachine","Free,BSD"
"Astir","DFAtabledriven,withbranching","C++","Onlygrammar(actioned)","All","Free,MIT"
"AustenX","DFA","Java","Separate","All","Free,BSD"
"C#Flex","DFA","C#","Mixed",".NETCLR","Free,GNUGPL"
"C#Lex","DFA","C#","Mixed",".NETCLR","?"
"Carburetta","DFA","C,C++","Mixed","All","Free,Apache2.0"
"CookCC","DFA","Java","Mixed","Javavirtualmachine","Free,Apache2.0"
"DFA(inc.w.LRSTAR)","DFAcompressedmatrix","C,C++","Separate","VisualStudio","BSD"
"Dolphin","DFA","C++","Separate","All","Proprietary"
"Flex","DFAtabledriven","C,C++","Mixed","All","Free,BSD"
"gelex","DFA","Eiffel","Mixed","Eiffel","Free,MIT"
"golex","DFA","Go","Mixed","Go","Free,BSD-style"
"gplex","DFA","C#","Mixed",".NETCLR","Free,BSD-like"
"JFlex","DFA","Java","Mixed","Javavirtualmachine","Free,BSD"
"JLex","DFA","Java","Mixed","Javavirtualmachine","Free,BSD-like"
"lex","DFA","C","Mixed","POSIX","Partial,proprietary,CDDL"
"lexertl","DFA","C++","?","All","Free,GNULGPL"
"Quex","DFAdirectcode","C,C++","Mixed","All","Free,GNULGPL"
"Ragel","DFA","Go,C,C++,assembly","Mixed","All","Free,GNUGPL,MIT"
"RE/flex","DFAdirectcode,DFAtabledriven,andNFAregexlibraries","C++","Mixed","All","Free,BSD"
"re2c","DFAdirectcode","C,Go","Mixed","All","Free,publicdomain"
