"Name","Parsingalgorithm","Inputgrammarnotation","Outputlanguages","Grammar,code","Lexer","Developmentplatform","IDE","License"
"ACCENT","Earley","Yaccvariant","C","Mixed","external","All","No","Free,GNUGPL"
"APaGeD","GLR,LALR(1),LL(k)","?","D","Mixed","generated","All","No","Free,Artistic"
"Bison","LALR(1),LR(1),IELR(1),GLR","Yacc","C,C++,Java,XML","Mixed,exceptXML","external","All","No","Free,GNUGPL"
"DMSSoftwareReengineeringToolkit","GLR","?","Parlanse","Mixed","generated","Windows","No","Proprietary"
"DParser","ScannerlessGLR","?","C","Mixed","scannerless","POSIX","No","Free,BSD"
"Dypgen","Runtime-extensibleGLR","?","OCaml","Mixed","generated","All","No","Free,CeCILL-B"
"E3","Earley","?","OCaml","Mixed","external,orscannerless","All","No","?"
"Elkhound","GLR","?","C++,OCaml","Mixed","external","All","No","Free,BSD"
"GDK","LALR(1),GLR","?","C,Lex,Haskell,HTML,Java,ObjectPascal,Yacc","Mixed","generated","POSIX","No","Free,MIT"
"Happy","LALR,GLR","?","Haskell","Mixed","external","All","No","Free,BSD"
"HimeParserGenerator","GLR","?","C#,Java,Rust","Separate","generated",".NETFramework,Javavirtualmachine","No","Free,GNULGPL"
"IronTextLibrary","LALR(1),GLR","C#","C#","Mixed","generatedorexternal",".NETFramework","No","Free,Apache2.0"
"Jison","LALR(1),LR(0),SLR(1)","Yacc","JavaScript,C#,PHP","Mixed","generated","All","No","Free,MIT"
"Syntax","LALR(1),LR(0),SLR(1)CLR(1)LL(1)","JSON/Yacc","JavaScript,Python,PHP,Ruby,C++,C#,Rust,Java","Mixed","generated","All","No","Free,MIT"
"Laja","Scannerless,twophase","Laja","Java","Separate","scannerless","All","No","Free,GNUGPL"
"ModelCC","Earley","Annotatedclassmodel","Java","Generated","generated","All","No","Free,BSD"
"P3","Earley–combinators","BNF-like","OCaml","Mixed","external,orscannerless","All","No","?"
"P4","Earley–combinators,infinitaryCFGs","BNF-like","OCaml","Mixed","external,orscannerless","All","No","?"
"ScannerlessBooleanParser","ScannerlessGLR(Booleangrammars)","?","Haskell,Java","Separate","scannerless","Javavirtualmachine","No","Free,BSD"
"SDF/SGLR","ScannerlessGLR","SDF","C,Java","Separate","scannerless","All","Yes","Free,BSD"
"SmaCC","GLR(1),LALR(1),LR(1)","?","Smalltalk","Mixed","internal","All","Yes","Free,MIT"
"SPARK","Earley","?","Python","Mixed","external","All","No","Free,MIT"
"Tom","GLR","?","C","Generated","none","All","No","Free,""Nolicensingorcopyrightrestrictions"""
"UltraGram","LALR,LR,GLR","?","C++,C#,Java,VisualBasic.NET","Separate","generated","Windows","Yes","Proprietary"
"Wormhole","Pruning,LR,GLR,ScannerlessGLR","?","C,Python","Mixed","scannerless","Windows","No","Free,MIT"
"WhaleCalf","Generaltabular,SLL(k),Linearnormalform(conjunctivegrammars),LR,Binarynormalform(Booleangrammars)","?","C++","Separate","external","All","No","Proprietary"
"yaep","Earley","Yacc-like","C","Mixed","external","All","No","Free,GNULGPL"
