"Name","H.264","ASF","WMV","DivX/Xvid","MPEG-4","AVI","QuickTime","Otherformats"
"Archos105","No","No","Yes","No","No","No","No","No"
"Archos405","No","No","Yes","No","Yes","Yes","No","MPEG-2"
"Archos5","No","No","Yes","Yes","Yes","Yes","No","MPEG-2,MKV"
"Archos605WiFi/GPS","No","No","Yes","Yes","Yes","Yes","No","MPEG-2"
"Archos705WiFi","No","No","Yes","Yes","Yes","Yes","No","MPEG-2"
"CowonA3","Yes","Yes","Yes","Yes","Yes","Yes","No","MKV,MTV,OGM,VOB,DAT,AMV,MJPEG,MPEG-1"
"CowonD2","No","No","Yes","No","No","Yes","No","No"
"CowonQ5W","No","Yes","Yes","Yes","Yes","Yes","No","OGM"
"GigabeatT-Series","No","Yes","Yes","No","No","No","No","No"
"GP2XF-200","No","No","No","Yes","Yes","Yes","No","No"
"iPod(beforeNano6G;iPod6Gdoes)","Yes","No","No","withplugin","Yes","withplugin","Yes","No"
"iriverclix2G","No","Yes","Yes","Yes","Yes","Yes","No","No"
"PSPSlim&Lite","Yes","No","No","No","Yes","No","No","MJPEG"
"RioPMP300","No","No","No","No","Yes","No","No","No"
"SamsungGalaxyPlayer","Yes","Yes","Yes","Yes","Yes","Yes","No","MKV"
"SamsungT10","No","No","Yes",".svionly","Yes","No","No","No"
"SamsungP2","No","No","Yes",".svionly","Yes","No","No","No"
"SansaFuze","No","No","No","No","No","Yes","No","No"
"SansaFuze+","Yes","No","Yes","No","No","No","No","MPEG-4Part14"
"WalkmanNWZ-A810series","Yes","No","No","No","Yes","No","No","No"
"ZEN","No","No","Yes","Yes","No","Yes","No","MJPEG"
"ZENVisionW","No","No","Yes","Yes","No","Yes","No","MJPEG"
"Zune","Yes","No","Yes","Yes","Yes","Yes","No","DVR-MS"
"ZVUE260","No","Yes","Yes","Xvidonly","Yes","Yes","No","No"
