"Name","FMradio","Microphone","Line-inrecording","DVRrecording","Playbackwhilecharging","USBhost","HDMIout"
"Archos105","No","No","No","No","Unknown","",""
"Archos405","No","No","No","Yes","Unknown","",""
"Archos5","WithFMremote","WithFMremote","Withdock","WithDVRdock","Withdock","",""
"Archos605WiFi/GPS","No","No","No","Yes","Yes","",""
"Archos705WiFi","No","No","No","Yes","Unknown","",""
"CowonA3","Yes","Yes","Yes","No","Unknown","Yes",""
"CowonD2","Yes","Yes","Yes","No","Yes","",""
"CowonQ5W","Yes","Yes","No","No","Unknown","",""
"GigabeatT-Series","No","No","Yes","No","Unknown","",""
"GP2XF-200","No","No","No","No","Unknown","",""
"iPod","Nanogenerations5&6only","Yes","No","No","Yes","","iPodTouchonly"
"iriverclix2G","Yes","Yes","No","No","Unknown","",""
"PSP1000Series","No","No","No","No","Yes","",""
"PSPSlim&Lite2000Series","No","Accessoryonly","No","No","Yes","",""
"PSPSlim&Lite3000Series","No","Yes","No","No","Yes","",""
"SamsungGalaxyPlayer","Yes","Yes","No","No","Yes","No","Koreanversiononly"
"SamsungT10","Yes","Yes","No","No","Poweronly;nodata","",""
"SamsungP2","Yes","Yes","No","No","Poweronly;nodata","",""
"SansaFuze","Yes","Yes","No","No","Poweronly;nodata","",""
"SansaFuze+","withpauseandrecord","Yes","No","No","Poweronly;nodata","",""
"SansaView","Yes","Yes","No","No","Poweronly;nodata","",""
"WalkmanNWZ-A810series","No","No","No","No","Yes","",""
"ZEN","Yes","Yes","No","No","Yes","",""
"ZENVisionW","Yes","Yes","No","No","Poweronly;nodata","",""
"Zune","Yes(HDRadio)","No","No","No","Yes","","Yes,ZuneHD"
"Zvue260","No","No","No","No","No","",""
