"Language","Defaultbaseindex","Specifiableindextype","Specifiablebaseindex","Boundcheck","Multidimensional","Dynamically-sized","Vectorizedoperations"
"Ada","indextype","yes","yes","checked","yes","init","some,othersdefinable"
"ALGOL68","1","no","yes","varies","yes","yes","userdefinable"
"APL","1","?","0or1","checked","yes","yes","yes"
"AWK","1","yes,implicitly","no","unchecked","yes,asdelimitedstring","yes,rehashed","no"
"BASIC","0","?","no","checked","no","init","?"
"C","0","no","no","unchecked","partially","init,heap","no"
"Ch","0","no","no","checked","yes,alsoarrayofarray","init,heap","yes"
"C++","0","no","no","unchecked","yes,alsoarrayofarray","heap","no"
"C#","0","no","partial","checked","yes","heap","yes(LINQselect)"
"CFML","1","no","no","checked","yes,alsoarrayofarray","yes","no"
"COBOL","1","no","no","checked","arrayofarray","no","someintrinsics"
"Cobra","0","no","no","checked","arrayofarray","heap","?"
"CommonLisp","0","?","no","checked","yes","yes","yes(mapormap-into)"
"D","0","yes","no","varies","yes","yes","?"
"F#","0","no","partial","checked","yes","heap","yes(map)"
"FreeBASIC","0","no","yes","checked","yes","init,init","?"
"Fortran","1","yes","yes","varies","yes","yes","yes"
"FoxPro","1","?","no","checked","yes","yes","?"
"Go","0","no","no","checked","arrayofarray","no","no"
"Hack","0","yes","yes","checked","yes","yes","yes"
"Haskell","0","yes","yes","checked","yes,alsoarrayofarray","init","?"
"IDL","0","?","no","checked","yes","yes","yes"
"ISLISP","0","?","no","checked","yes","init","yes(mapormap-into)"
"J","0","?","no","checked","yes","yes","yes"
"Java","0","no","no","checked","arrayofarray","init","?"
"JavaScript","0","no","no","checked","arrayofarray","yes","yes"
"Julia","1","yes","yes","checked","yes","yes","yes"
"Lingo","1","?","?","unchecked","yes","yes","yes"
"Lua","1","?","partial","checked","arrayofarray","yes","?"
"Mathematica","1","no","no","checked","yes","yes","yes"
"MATLAB","1","?","no","checked","yes","yes","yes"
"Nim","0","yes","yes","optional","arrayofarray","yes","yes"
"Oberon","0","?","no","checked","yes","no","?"
"Oberon-2","0","?","no","checked","yes","yes","?"
"Objective-C","0","no","no","checked","arrayofarray","yes","no"
"OCaml","0","no","no","checkedbydefault","arrayofarray","init","?"
"Pascal,ObjectPascal","indextype","yes","yes","varies","yes","varies","some"
"Perl","0","no","yes($[)","checked","arrayofarray","yes","no"
"Raku","0","no","no","checked","yes","yes","yes"
"PHP","0","yes","yes","checked","yes","yes","yes"
"PL/I","1","?","yes","checked","yes","no","?"
"Python","0","no","no","checked","arrayofarray","yes","no"
"RPG","1","no","no","?","no","no","?"
"R","1","?","no","unchecked","yes,alsoarrayofarray","yes","yes"
"Ring","1","?","partial","checked","arrayofarray","yes","?"
"Ruby","0","no","no","checked","arrayofarray","yes","?"
"Rust","0","no","no","checked","yes","?","?"
"Sass","1","no","no","checked","arrayofarray","init","?"
"S-Lang","0","?","no","checked","yes","yes","yes"
"Scala","0","no","no","checked","arrayofarray","init","yes(map)"
"Scheme","0","?","no","checked","arrayofarray","init","yes(map)"
"Smalltalk","1","?","no","checked","arrayofarray","yes","?"
"Swift","0","no","no","checked","arrayofarray","yes","?"
"VisualBasic","0","no","yes","checked","yes","yes","?"
"VisualBasic.NET","0","no","partial","checked","yes","yes","yes(LINQselect)"
"WolframLanguage","1","no","no","checked","yes","yes","yes"
"WindowsPowerShell","0","no","no","checked","yes","heap","?"
"Xojo","0","no","no","checked","yes","yes","no"
"XPath/XQuery","1","no","no","checked","arrayofarray","yes","yes"
