"","construction","destruction"
"ABAPObjects","datavariabletypereftoclass.createobjectvariable«exportingparameter=argument».",""
"APL(Dyalog)","variable??NEWclass«parameters»","?EX'variable'"
"C++(STL)","classvariable«(parameters)»;orclass*variable=newclass«(parameters)»;","deletepointer;"
"C#","classvariable=newclass(parameters);","variable.Dispose();"
"Java","classvariable=newclass(parameters);",""
"D","classvariable=newclass(parameters);","destroy(variable);"
"eC","class«instancehandle»{«properties/datamembersassignments,instancemethodoverrides»}","deleteinstancehandle;"
"Objective-C(Cocoa)","class*variable=[[classalloc]init];orclass*variable=[[classalloc]initWithFoo:parameter«bar:parameter...»];","[variablerelease];"
"Swift","letvariable=class(parameters)",""
"Python","variable=class(parameters)","delvariable(Normallynotneeded)"
"VisualBasic.NET","DimvariableAsNewclass(parameters)","variable.Dispose()"
"Xojo","DimvariableAsNewclass(parameters)","variable=Nil"
"Eiffel","createvariableorcreate«{TYPE}»variable.make_foo«(parameters)»orvariable:=create{TYPE}orvariable:=create{TYPE}.make_foo«(parameters)»",""
"PHP","$variable=newclass«(parameters)»;","unset($variable);"
"Perl5","«my»$variable=class->new«(parameters)»;","undef($variable);"
"Raku","«my»$variable=class.new«(parameters)»;","$variable.undefine;"
"Ruby","variable=class.new«(parameters)»",""
"WindowsPowerShell","$variable=New-Object«-TypeName»class««-ArgumentList»parameters»","Remove-Variable«-Name»variable"
"OCaml","letvariable=newclass«parameters»orletvariable=objectmembersend",""
"F#","letvariable=«new»class(«parameters»)",""
"Smalltalk","TheclassisanObject.Justsendamessagetoaclass,usually#newor#new:,andmanyothers,forexample:Pointx:10y:20.Arraywith:-1with:3with:2.",""
"JavaScript","varvariable=newclass«(parameters)»orvarvariable={«key1:value1«,key2:value2...»»}",""
"ObjectPascal(Delphi)","ClassVar:=ClassType.ConstructorName(parameters);","ClassVar.Free;"
"Scala","valobj=newObject//noparametersvalobj=newObject(arg0,arg1,arg2...)valobj=Object(arg0,arg1,arg2...)//caseclassvalobj=newObject(arg0,arg1,param1=value1,...)//namedparameters",""
"COBOL","INVOKEclass""NEW""RETURNINGvariableorMOVEclass::""NEW""TOvariable",""
"Cobra","variable«asclass»=class(parameters)","variable.dispose"
"ISLISP","(setqvariable(create(class<some-class>[:field-1value-1[:field-2value-2]..])))",""
