"","sRGB","AdobeRGB(1998)","Indexed","Grayscale","CMYK","LAB","HSV"
"AbilityPhotopaint","Yes","?","Yes","Yes","Importonly","",""
"ACDCanvas","Yes","?","Yes","Yes","Yes","",""
"ACDSee(Win)","Yes","Yes","Yes","Yes","No","No","No"
"AcornImageEditor","Yes","Yes","Importonly","Importonly","Yes","Importonly","Importonly"
"AdobeFireworks*","Yes","Yes","Yes","Yes","Yes","No","Yes"
"AdobePhotoshop","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AdobePhotoshopLightroom","Yes","Yes","?","Yes","Importonly","?","?"
"AffinityPhoto","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"AutodeskSketchBookPro","Yes","?","Yes","No","No","",""
"Artipic","Yes","Yes","Yes","Importonly","Importonly","Importonly","Importonly"
"ArtRage","Yes","?","No","No","No","",""
"Artweaver","Yes","?","?","?","?","",""
"BlackInkSoftware|BlackInk*","Yes","No","No","No","No","No","No"
"Bibble*","Yes","Yes","?","Yes","?","?","?"
"BrushStrokesImageEditor","Yes","?","?","?","?","",""
"CaptureOne","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ChasysDrawIES","Yes","No","Yes","Yes","Partial","Partial","Partial"
"CinePaint","Yes","Yes","No","Yes","Yes","Yes",""
"CodedColorPhotoStudioPro","Yes","Yes","Yes","Yes","Yes","",""
"CorelPaintShopPro","Yes","Yes","Yes","Yes","Yes","Partial","Partial"
"CorelPainter","Yes","?","No","No","Yes","",""
"CorelPhoto-Paint","Yes","Yes","Yes","Yes","Yes","Yes",""
"darktable","Yes","Yes","?","?","?","Yes","?"
"DeluxePaint*","Yes","?","Yes","Yes","No","","Yes"
"ErdasImagine","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Fatpaint","Yes","No","Partial","Partial","Partial","No","Partial"
"Fotografix","Yes","No","Importonly","Importonly","Importonly","No","No"
"GIMP","Yes","Yes","Yes","Yes","Partial","2.10+","Yes"
"GIMPshop","Yes","Yes","Yes","Yes","Partial","No","Yes"
"GrafX2","No","No","Yes","No","No","No","No"
"GraphicConverter","Yes","Yes","Yes","Yes","Yes","",""
"HeliconFilter","Yes","Yes","?","Yes","Yes","",""
"iPhoto*","Yes","Yes","No","Yes","Yes","Yes","Yes"
"IrfanView","Yes","?","Yes","Yes","No","",""
"IridientDeveloper","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kolourpaint","Yes","?","No","Yes","No","",""
"Krita","Yes","Yes","No","Yes","Yes","Yes","Yes"
"MacPaint*","No","No","No","Yes","No","",""
"MicrosoftOfficePictureManager*","Yes","?","?","?","No","",""
"MicrosoftPaint","Yes","?","Importonly","No","No","No","No"
"MicrosoftPhotoEditor*","Yes","?","Yes","Yes","No","",""
"mtPaint","Yes","Importonly","Yes","Yes","Importonly","No","Yes"
"OpenCanvas","Yes","?","?","Yes","No","",""
"Paint.NET","Yes","No","Partial","Partial","Partial","No","Partial"
"PaintToolSAI","Yes","No","?","Yes","?","?","?"
"PCPaintbrush*","No","?","Yes","No","No","",""
"Photogenics","Yes","Yes","Yes","Yes","Yes","",""
"PhotoLine","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PhotoPerfect*","Yes","Importonly","No","Yes","Importonly","Curveeditingonly","No"
"Photos","Yes","Yes","No","Yes","Yes","Yes","Yes"
"PhotoRaster","Yes","No","No","Partial","No","No","No"
"Picasa*","Yes","?","Partial","Partial","No","",""
"PicMaster","Yes","No","No","Yes","Yes","Yes","Yes"
"PixBuilderPhotoEditor","Yes","Yes","Yes","Yes","No","",""
"Pixelmator","Yes","Yes","Yes","No","No","No","No"
"Pixia","Yes","?","No","No","No","",""
"ProjectDogwaffle","Yes","?","No","No","No","",""
"QFX","Yes","Yes","Yes","Yes","Yes","",""
"RawTherapee","Yes","Yes","No","Yes","No","Yes","Yes"
"Seashore","Yes","Yes","?","Yes","Yes","?","?"
"SerifPhotoPlus","Yes","Yes","?","Yes","Yes","?","?"
"TurboPlay","Yes","No","No","No","No","No","No"
"TuxPaint","Yes","No","No","No","No","No","No"
"TVPaint","Yes","?","No","No","No","",""
"UleadPhotoImpact*","Yes","Yes","Yes","Yes","Importonly","No","Yes"
"UltimatePaint*","Yes","?","Yes","Yes","No","",""
"WinImages","Yes","?","?","?","Yes","","Yes"
"XaraPhoto&GraphicDesigner","Yes","Partial","Partial","Partial","Partial","No","Partial"
"XnView","Yes","?","Yes","Yes","Partial","No","Partial"
"XPaint","Yes","No","Partial","Yes","No","No","No"
"ZonerPhotoStudio","Yes","Yes","Yes","Yes","Partial","Partial","No"
