"Server","Security","Security","Security","Virtualhosting","Dynamiccontent","Dynamiccontent","Dynamiccontent","Dynamiccontent","Dynamiccontent","Dynamiccontent","Dynamiccontent","Dynamiccontent","Runsinuserorkernelspace","Adminis-trationconsole","Additionalprotocolsupport","Additionalprotocolsupport","Additionalprotocolsupport","Additionalprotocolsupport"
"Server","Basicaccessauthenti-cation","Virtualhosting","Digestaccessauthenti-cation","Runsinuserorkernelspace","Adminis-trationconsole","SSL/TLShttps","CGI","FCGI","SCGI","WSGI","JavaServlets","SSI","ISAPI","SSJS","IPv6","HTTP/2","QUIC","HTTP/3"
"AOLserver","Yes","No","Yes","Yes","Yes","No","Unknown","No","No","Yes","Unknown","Unknown","user","Unknown","Unknown","Unknown","Unknown","Unknown"
"ApacheHTTPServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unknown","user","Yes","Yes","Yes","Unknown","Unknown"
"ApacheTomcat","Yes","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","Yes","No","Unknown","user","Yes","Yes","Yes","Unknown","Unknown"
"Boa","No","No","Yes","Yes","Yes","No","Unknown","No","No","No","No","No","user","Unknown","Yes","No","No","No"
"BusyBoxhttpd","Yes","No","No","No","Yes","No","No","No","No","No","No","No","user","No","Yes","No","No","No"
"Caddy","Yes","No","Yes","Yes","Partial","Yes","No","No","No","No","No","No","user","No","Yes","Yes","Yes","Yes"
"CauchoResinServer","Yes","Yes","paidversion","Yes","Yes","Yes","Unknown","No","Yes","Yes","No","Unknown","user","Yes","Yes","Unknown","Unknown","Unknown"
"Caudium","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","Yes","Unknown","Unknown","user","Yes","Yes","Unknown","Unknown","Unknown"
"CherokeeHTTPServer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","user","Yes","Yes","Unknown","Unknown","Unknown"
"HFS","Yes","No","No","No","No","No","Unknown","No","No","No","Unknown","Unknown","user","Unknown","No","Unknown","Unknown","Unknown"
"HiawathaHTTPServer","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Unknown","user","Yes","Yes","No","No","No"
"IBMHTTPServer","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Yes","Yes","Unknown","Unknown","Unknown"
"InternetInformationServices","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","kernelanduser","Yes","Yes","Yes","Unknown","Unknown"
"Jetty","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","No","Yes","Unknown","Unknown","Yes","user","Unknown","Unknown","Yes","Unknown","Unknown"
"Jexus","No","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","user","Yes","No","Unknown","Unknown","Unknown"
"lighttpd","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","user","No","Yes","Yes","No","No"
"LiteSpeedWebServer","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","No","Unknown","user","Yes","Yes","Yes","Yes","Yes"
"Mongoose","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","user","Yes","Yes","Unknown","Unknown","Unknown"
"MonkeyHTTPServer","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","user","No","Yes","Unknown","Unknown","Unknown"
"NaviServer","Yes","No","Yes","Yes","Yes","No","Unknown","No","No","Yes","Unknown","Unknown","user","Yes","Yes","Unknown","Unknown","Unknown"
"NCSAHTTPd","Yes","Yes","Unknown","Partial","Yes","Unknown","Unknown","No","No","Yes","No","No","user","No","No","No","No","No"
"nginx","Yes","Yes(module)","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Unknown","user","Yes","Yes","Yes","No","Yes"
"OpenBSDhttpd","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","user","No","Yes","No","No","No"
"OpenLinkVirtuoso","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","user","Yes","No","No","Unknown","Unknown"
"OracleHTTPServer","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Yes","Yes","Unknown","Unknown","Unknown"
"OracleiPlanetWebServer","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","Yes","No","Yes","user","Yes","Yes","Unknown","Unknown","Unknown"
"thttpd","Yes","Unknown","No","Yes","Yes","No","Unknown","No","No","No","No","Unknown","user","No","Yes","Unknown","Unknown","Unknown"
"TUXwebserver","No","No","No","Yes","Yes","No","Unknown","No","No","No","No","Unknown","kernel","Unknown","Unknown","Unknown","Unknown","Unknown"
"uhttpd","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","user","No","Yes","No","No","No"
"WakandaServer","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","user","Yes","Yes","Unknown","Unknown","Unknown"
"WebServerforChrome","Yes","No","Yes","No","No","No","No","No","No","No","No","No","user","No","Yes","No","No","No"
"Xitami","Yes","Unknown","paidversion","Yes","Yes","Unknown","Unknown","No","Unknown","Yes","Unknown","Unknown","user","Unknown","Unknown","Unknown","Unknown","Unknown"
"Yaws","Yes","Unknown","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Unknown","Yes","Unknown","Unknown","Unknown"
"ZeusWebServer","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","Yes","Unknown","user","Yes","No","Unknown","Unknown","Unknown"
