"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Clockrate","Clockrate","Fillrate","Memory","Memory","APIsupport(version)","Memory","Fillrate","Fillrate","Coreconfig","Fillrate","Memory","TDP(Watts)","APIsupport(version)","ReleasePrice(USD)"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Core(MHz)","Coreconfig","Memory(MHz)","MOperations/s","MPixels/s","MVertices/s","ReleasePrice(USD)","MTexels/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Max.","Direct3D","OpenGL"
"RadeonX1300","Oct.5,2005(PCI-E)Dec.1,2005(AGP)","RV515","90","107","100","AGP8xPCIPCI-Ex16","450","250","4:2:4:4","1800","1800","225","1800","128256","8.0","DDR2","128","","9.0c","2.1","$"
"RadeonX1300HyperMemory","Oct.5,2005","RV515","90","107","100","PCI-Ex16","450","250","4:2:4:4","1800","1800","225","1800","128256512","8.0","DDR2","64","","9.0c","2.1","$"
"RadeonX1300PRO","Oct.5,2005(PCI-E)Nov.1,2006(AGP)","RV515","90","107","100","AGP8xPCI-Ex16","600","400","4:2:4:4","2400","2400","300","2400","128256","12.8","DDR2","128","31","9.0c","2.1","$"
"RadeonX1300XT","Aug.12,2006","AGP8xPCI-Ex16","RV530","400","90","157","150","500","128256","12.8","128","12:5:4:4","6000","2000","625","2000","22","DDR2","9.0c","2.1","$"
"RadeonX1550","Jan.8,2007","RV516","90","400","500","107","100","AGP8xPCIPCI-Ex16","4:2:4:4","2200","12.8","128","2200","275","2200","128256512","27","DDR2","9.0c","2.1","$"
"RadeonX1600PRO","Oct.10,2005","RV530","90","157","500","150","AGP8xPCI-Ex16","390","12:5:4:4","6000","128256512","2000","128","625","2000","12.48","41","DDR2","9.0c","2.1","$"
"RadeonX1600XT","Oct.10,2005(PCI-E)","RV530","157","150","AGP8xPCI-Ex16","590","12:5:4:4","90","780","7080","2360","737.5","2360","256512","22.08","128","GDDR3","42","9.0c","2.1","$"
"RadeonX1650","Feb.1,2007","RV530","157","150","AGP8xPCI-Ex16","500","12:5:4:4","256512","90","400","6000","2000","625","2000","12.8","DDR2","128","","9.0c","2.1","$"
"RadeonX1650SE","","RV516","400","90","105","","PCI-Ex16","12.8","635","","4:2:4:4","","","128","","","256","DDR2","9.0c","2.1","$"
"RadeonX1650GT","May1,2007(PCI-E)Oct.1,2007(AGP)","RV560","400","80","330","230","AGP8xPCI-Ex16","12.8","400","","24:8:8:8","9600","3200","128","800","3200","256512","GDDR3","9.0c","2.1","$"
"RadeonX1650PRO","Aug.23,2006(PCI-E)Oct.15,2006(AGP)","RV535","80","330","131","AGP8xPCI-Ex16","600","700","12:5:4:4","7200","2400","750","256512","GDDR3","2400","128","22.4","44","9.0c","2.1","$"
"RadeonX1650XT","Oct.30,2006","RV560","80","330","700","230","AGP8xPCI-Ex16","525","24:8:8:8","12600","22.4","4200","1050","4200","256512","GDDR3","55","128","9.0c","2.1","$"
"RadeonX1700FSC","Nov.5,2007(OEM)","RV535","80","330","131","PCI-Ex16","587","695","12:5:4:4","7044","2348","733","128","GDDR3","2348","256","22.2","44","9.0c","2.1","$"
"RadeonX1700SE","Nov.30,2007","RV560","80","PCI-Ex16","330","230","500","500","24:8:8:8","12000","4000","1000","4000","128","GDDR3","512","16.0","50","9.0c","2.1","$"
"RadeonX1800CrossFireEdition","Dec.20,2005","R520","90","PCI-Ex16","321","288","600","700","16:8:16:16","9600","9600","900","9600","512","GDDR3","46.08","256","113","9.0c","2.1","$"
"RadeonX1800GTO","Mar.9,2006","R520","90","321","288","500","495","PCI-Ex16","12:8:12:8","6000","6000","1000","6000","256512","256","32.0","48","$249","9.0c","GDDR3","2.1"
"RadeonX1800XL","Oct.5,2005","500","R520","90","321","288","500","16:8:16:16","PCI-Ex16","32.0","8000","8000","1000","8000","256","70","256","$","9.0c","2.1","GDDR3"
"RadeonX1800XT","Oct.5,2005","625","16:8:16:16","R520","90","321","288","750","10000","PCI-Ex16","10000","1250","10000","256512","48.0","113","256","$549","9.0c","2.1","GDDR3"
"RadeonX1900CrossFireEdition","Jan.24,2006","R580","90","10000","1250","10000","384","PCI-Ex16","352","625","725","48:8:16:16","30000","512","46.4","100","$599","256","9.0c","GDDR3","2.1"
"RadeonX1900GT","May5,2006","R580","384","352","575","90","600","PCI-Ex16","36:8:12:12","20700","6900","1150","6900","256","38.4","75","$","256","9.0c","GDDR3","2.1"
"RadeonX1900GTRev.2","Sept.7,2006","R580","600","36:8:12:12","384","352","512","90","256","18432","PCI-Ex16","$","6144","1024","6144","42.64","","9.0c","2.1","GDDR3","256"
"RadeonX1900XT","Jan.24,2006","R580","384","352","625","90","725","PCI-Ex16","48:8:16:16","30000","10000","1250","10000","256512","46.4","100","$549","256","9.0c","GDDR3","2.1"
"RadeonX1900XTX","Jan.24,2006","R580","650","48:8:16:16","384","352","90","775","PCI-Ex16","31200","10400","1300","10400","512","49.6","135","$649","9.0c","256","2.1","GDDR3"
"RadeonX1950CrossFireEdition","Aug.23,2006","650","R580+","384","48:8:16:16","352","80","512","PCI-Ex16","1000","31200","10400","1300","10400","64","GDDR4","","$449","9.0c","256","2.1"
"RadeonX1950GT","Jan.29,2007(PCI-E)Feb.10,2007(AGP)","RV570","80","330","230","AGP8xPCI-Ex16","500","600","36:8:12:12","18000","6000","1000","6000","256512","38.4","256","GDDR3","57","$140","9.0c","2.1"
"RadeonX1950PRO","Oct.17,2006(PCI-E)Oct.25,2006(AGP)","RV570","330","230","AGP8xPCI-Ex16","575","80","36:8:12:12","690","20700","6900","1150","256512","6900","GDDR3","44.16","66","$","9.0c","2.1","256"
"RadeonX1950XT","Oct.17,2006(PCI-E)Feb.18,2007(AGP)","R580+","80","384","352","AGP8xPCI-E1.0x16","625","700(AGP)900(PCI-E)","48:8:16:16","$","30000","10000","1250","256512","10000","GDDR3","44.8(AGP)57.6(PCI-E)","96","256","9.0c","2.1"
"RadeonX1950XTX","Oct.17,2006","R580+","384","352","PCI-E1.0x16","80","650","48:8:16:16","1000","31200","10400","1300","10400","512","64","GDDR4","125","$449","9.0c","256","2.1"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Core(MHz)","Memory(MHz)","Coreconfig","MOperations/s","MPixels/s","MVertices/s","MTexels/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Max.","Direct3D","OpenGL","ReleasePrice(USD)"
"Clockrate","Fillrate","Memory","Memory","APIsupport(version)","Memory","Fillrate","Fillrate","Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","Clockrate","Fillrate","Coreconfig","Memory","TDP(Watts)","APIsupport(version)","ReleasePrice(USD)"
