"Model(Codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Core","Fillrate","Processingpower(GFLOPS)","Memory","Memory","Memory","Core","Fillrate","Processingpower(GFLOPS)","Memory","TBP","Businterface"
"Model(Codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Config","Clock(MHz)","Texture(GT/s)","Pixel(GP/s)","TBP","Businterface","Single","Double","Bustype&width","Size(GiB)","Clock(MT/s)","Band-width(GB/s)"
"Radeon520","April18,2017OEM","GCN1gen28nm","Unknown","320:20:45CU","1030","20.6","4.1","659","Unknown","GDDR564-bit","12","4500","48","Unknown","Unknown"
"Radeon530","April18,2017OEM","GCN3gen28nm","?125mm","320:20:8384:24:86/5CU","1024","24.6","8.2","655786","Unknown","GDDR564-bit","124","4500","48","Unknown","Unknown"
"Radeon530","April18,2017OEM","GCN3gen28nm","?125mm","320:20:8384:24:86/5CU","1024","24.6","8.2","655786","Unknown","DDR3","124","Unknown","Unknown","Unknown","Unknown"
"RadeonRX540(Lexa)","April18,2017OEM","GCN4genSamsung/GloFo14LPP","2.2×10101mm","512:32:168CU","1219","39","19.5","1248","78","GDDR5128-bit","24","6000","96","Unknown","PCIe3.0×8"
"RadeonRX550(Lexa)","April20,2017$79USD","GCN4genSamsung/GloFo14LPP","2.2×10101mm","640:40:1610CU","11001183","35.237.9","17.618.9","11261211","70.475.7","GDDR5128-bit","24","7000","112","50W","PCIe3.0×8"
"Radeon550X(Lexa)","April11,2018OEM","GCN4genSamsung/GloFo14LPP","2.2×10101mm","640:40:1610CU","1287","51.48","20.6","1647","103","GDDR564-bit","24","7000","56","50W","PCIe3.0×8"
"RadeonRX550X(Lexa)","April3,2018$79USD","GCN4genSamsung/GloFo14LPP","2.2×10101mm","512:40:16640:40:168/10CU","1287","51.48","20.6","13181647","82.4103","GDDR5128-bit","24","7000","112","50W","PCIe3.0×8"
"RadeonRX560D","July2017OnlyavailableinChinaandthroughOEMs","GCN4genSamsung/GloFo14LPP","3.0×10123mm","896:56:1614CU","10901175","61.065.8","17,418.8","GDDR5128-bit","19532106","122,0131.6","6000","24","96","65W","PCIe3.0×8"
"RadeonRX560(Baffin)","October2017$99USD","3.0×10123mm","GCN4genSamsung/GloFo14LPP","896:56:1614CU","10901175","61.065.8","17.418.8","19532106","GDDR5128-bit","122.0131.6","7000","112","24","60-80W","PCIe3.0×8"
"RadeonRX560(Baffin)","May2017$99USD","3.0×10123mm","GCN4genSamsung/GloFo14LPP","1024:64:1616CU","11751275","75.281.6","18.820.4","24062611","GDDR5128-bit","150.4163.2","7000","112","24","60–80W","PCIe3.0×8"
"RadeonRX570(Polaris20XL)","April18,2017$169USD","GCN4genSamsung/GloFo14LPP","5.7×10232mm","2048:128:3232CU","11681244","149.5159.2","37.439.8","47845095","299.0318.4","GDDR5256-bit","48","7000","224","150W","PCIe3.0×16"
"RadeonRX580(Polaris20XT)","April18,2017$199USD(4GB)$229USD(8GB)","5.7×10232mm","GCN4genSamsung/GloFo14LPP","2304:144:3236CU","12571340","181.0193.0","40.242.9","57926175","GDDR5256-bit","48","362.0385.9","8000","256","PCIe3.0×16","185W"
"RadeonRX590GME","March9,2020OnlyavailableinChina","5.7×10232mm","Unknown","2304:144:3236CU","12571380","181.0198.7","40.244.2","57926359","GDDR5256-bit","362.0397.4","8","8000","256","PCIe3.0×16","Unknown"
"RadeonRX590(Polaris30XT)","November15,2018$279USD","5.7×10232mm","GCN4genSamsung/GloFo12LP(14LP+)","2304:144:3236CU","14691545","211.5222.5","47.049.4","67697120","8","GDDR5256-bit","423.0444.9","8000","256","225W","PCIe3.0×16"
