"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","APIcompliance(version)","Memory","Memory","Fillrate","Memory","APIcompliance(version)","Processingpower(GFLOPS)","Notes"
"Model","Launch","ModelNumber","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Processingpower(GFLOPS)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"MobilityRadeonHD4200","September10,2009","Unknown","RV620","55","InternalPCIex161.1","500","800(systemmemory)","40:4:4","2","2","upto512fromsystemmemory","6.4/12.8","DDR2DDR3","64/128","10.1","3.3","40","UVD2,PowerPlay7.0"
"MobilityRadeonHD4225","May1,2010","Unknown","RV620","55","InternalPCIex161.1","380","800(systemmemory)","40:4:4","1.52","1.52","upto512fromsystemmemory","6.4/12.8","DDR2DDR3","64/128","10.1","3.3","30.4","UVD2,PowerPlay7.0"
"MobilityRadeonHD4250","May1,2010","Unknown","500","RV620","55","InternalPCIex161.1","2","800(systemmemory)","40:4:4","2","40","upto512fromsystemmemory","6.4/12.8","DDR2DDR3","64/128","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4270","May1,2010","Unknown","590","RV620","55","InternalPCIex161.1","2.36","800(systemmemory)","40:4:4","2.36","47.2","upto512fromsystemmemory","6.4/12.8","DDR2DDR3","64/128","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4330","January9,2009","M92","RV710","55","PCIex162.0","450","600","80:8:4","1.8","3.6","512","9.6","DDR2DDR3GDDR3","64","10.1","3.3","72","UVD2,PowerPlay7.0"
"MobilityRadeonHD4530","January9,2009","M92","RV710","PCIex162.0","500","700","80:8:4","2","55","512","4","DDR2DDR3GDDR3","64","11.2","80","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4550","January1,2010","700","M92","RV710","11.2","PCIex162.0","550","2.2","80:8:4","55","4.4","512","80","DDR2DDR3GDDR3","64","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4570","January9,2009","M92","RV710","PCIex162.0","680","800","80:8:4","55","2.72","512","5.44","DDR2DDR3GDDR3","64","12.8","108.8","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4650","January9,2009","M96","RV730","500550","PCIex162.0","55","600800","320:32:8","44.4","1617.6","5121024","19.225.6","DDR2DDR3GDDR3","128","320352","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4670","January9,2009","RV730","M96-XT","675","320:32:8","800","PCIex162.0","5121024","55","DDR2DDR3GDDR3","128","5.4","21.6","12.825.6","432","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4830","March3,2009","M97","RV740","PCIex162.0","40","400/600400/600","800/900800/900","5121024","640:32:16","6.4/9.66.4/9.6","128","12.8/19.212.8/19.2","25.6/28.825.6/28.8","GDDR3DDR3","512/768512/768","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4850","January9,2009","M98","RV770","PCIex162.0","55","500","850700","800:40:16","8","20","1024","54.489.6","GDDR3GDDR5","256","800","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4860","March3,2009","M97","RV740","PCIex162.0","40","650","1000","640:32:16","10.4","1024","20.8","64.0","GDDR5","128","832","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4870","January9,2009","M98-XT","RV770","PCIex162.0","55","550","888700","800:40:16","8.8","22","5121024","56.83289.6","GDDR3GDDR5","256","880","10.1","3.3","UVD2,PowerPlay7.0"
"MobilityRadeonHD4870X2","January9,2009","M98-XT","RV770","55","550","700","2x[800:40:16]","PCIex162.0","2x8.8","2x22","2048","2x89.6","GDDR5","2x256","2x880","UVD2,PowerPlay7.0DualGPUsolution","10.1","3.3"
