"Model(Codename)","Launch","Architecture(Fab)","Core","Fillrate","Core","Memory","Memory","Memory","Fillrate","Processingpower(GFLOPS)","Memory","TDP(W)"
"Model(Codename)","Launch","Architecture(Fab)","Config","Clock(MHz)","Processingpower(GFLOPS)","Texture(GT/s)","TDP(W)","Pixel(GP/s)","Bustype&width(bit)","Size(GiB)","Clock(MHz)","Band-width(GB/s)"
"RadeonHD8550M/8630M(SunLE)","8January2013","GCN1gen(28nm)","384:24:8","650700","5.25.6","15.616.8","537.6","DDR364","1","900","14.4","Unknown"
"RadeonHD8570M/8650M(SunPro)","8January2013","GCN1gen(28nm)","384:24:8","650700","5.25.6","15.616.8","537.6","GDDR564","1","1125","36","Unknown"
"RadeonHD8670M(MarsXT)","8January2013","GCN1gen(28nm)","384:24:8","775825","6.26.6","18.619.8","633.6","DDR364","1","900","14.4","Unknown"
"RadeonHD8690M(SunXT)","8January2013","GCN1gen(28nm)","384:24:8","775825","6.26.6","18.619.8","633.6","GDDR564","1","1125","36","Unknown"
"RadeonHD8730M(MarsLE)","8January2013","GCN1gen(28nm)","384:24:8","650700","5.25.6","15.616.8","537.6","DDR3128","2","1000","32","Unknown"
"RadeonHD8750M(MarsPro)","8January2013","GCN1gen(28nm)","384:24:8","620–775670–825","4.966.6","14.8819.8","514.56633.6","DDR3GDDR5128","2","1000","3264","Unknown"
"RadeonHD8770M(MarsXT)","8January2013","GCN1gen(28nm)","384:24:8","775825","6.26.6","18.619.8","633.6","GDDR5128","2","1125","72","Unknown"
"RadeonHD8790M(MarsXTX)","8January2013","GCN1gen(28nm)","384:24:8","850900","6.87.2","20.421.6","691.2","GDDR5128","2","1125","72","Unknown"
"RadeonHD8830M(VenusLE)","8January2013","GCN1gen(28nm)","640:40:16","575625","9.210","2325","800","DDR3128","2","1000","32","Unknown"
"RadeonHD8850M(VenusPro)","8January2013","GCN1gen(28nm)","640:40:16","575–725625–775","9.212.4","2331","800992","DDR3GDDR5128","2","10001125","3272","Unknown"
"RadeonHD8870M(VenusXT)","8January2013","GCN1gen(28nm)","640:40:16","725775","11.612.4","2931","992","DDR3GDDR5128","2","10001125","3272","Unknown"
"RadeonHD8970M(NeptuneXT)","8January2013","GCN1gen(28nm)","1280:80:32","850900","27.228.8","6872","2304","GDDR5256","24","1200","153.6","100"
